ein,org_name,website,state,ntee_code,mission_snippet,total_revenue,employee_count,new_icp_score
311287785,CANCER SUPPORT COMMUNITY - GREATER,WWW.CANCERSUPPORTCINCINNATI.ORG,OH,P740,"OUR MISSION IS TO HELP PEOPLE AFFECTED BY CANCER ENHANCE THEIR HEALTH AND WELL-BEING THROUGH PARTICIPATION IN A PROFESSIONAL PROGRAM OF EMOTIONAL SUPPORT, EDUCATION AND HOPE. ALL SERVICES ARE OFFERED ",1242506.00,9,11
824397332,AMERICAN WARRIOR ASSOCIATION,WWW.AMERICANWARRIORASSOCIATION.ORG,TX,P20,"THE ASSOCIATION'S MISSION IS TO HONOR THE MILITARY, VETERANS, FIRST RESPONDERS AND THEIR FAMILIES IN MIND, BODY, AND SOUL. THE AWA USES A HOLISTIC APPROACH TO HEALING BY STRENGTHENING THE MIND, BODY, ",1207594.00,8,11
465399558,ACCESS OPPORTUNITY,https://www.accessopportunity.org/,CO,P99,"Create opportunities for high-potential students from low-income households to define their individual path through high school, college, and career.",1121503.00,9,11
237398695,REGIONAL EMS COUNCIL OF NYC INC,WWW.NYCREMSCO.ORG,NY,E50,"THE REGIONAL EMERGENCY MEDICAL SERVICES COUNCIL OF NEW YORK CITY, INC. IS A NOT-FOR-PROFIT, TAX EXEMPT CORPORATION WHOSE FUNCTION IS TO IMPROVE EMERGENCY MEDICAL SERVICES IN NEW YORK CITY.THE PRIMARY ",1110062.00,7,11
454766711,TENDERLOVE COMMUNITY CENTER,www.tenderlovecommunitycenter.org,NM,P75,The mission of TenderLove Community Center is to help homeless near homeless and low-income individuals achieve stable self-supporting lives for themselves and their families. We seek to break cycles ,1101400.00,8,11
820927815,BASIN DREAM CENTER FOR ORPHANS,basindreamcenterfororphans.org,TX,P72,BDCO Exists to provide a safe and secure housing option for Midland's Foster and Homeless Youth to stabilize and to find hope and healing.,1065215.00,3,11
231365188,BETHANY CHILDRENS HOME,WWW.BETHANYHOME.ORG,PA,P12,"BETHANY CHILDREN'S HOME, INC. (BETHANY), LOCATED IN BERKS COUNTY, PENNSYLVANIA, PROVIDES ADMINISTRATIVE AND MANAGEMENT SERVICES, STRATEGIC AND FINANCIAL PLANNING, ASSET MANAGEMENT AND BUDGETING SERVIC",4619835.00,4,10
561762824,CHILDREN'S FLIGHT OF HOPE,WWW.CHILDRENSFLIGHTOFHOPE.ORG,NC,E62Z,SEE SCHEDULE O,4302914.00,8,10
743087284,THE TANZANIAN CHILDRENS FUND INC,www.tanzanianchildrensfund.org,MA,P20,"The Tanzanian Childrens Fund provides support for the Rift Valley Childrens Village which provides a permanent home for children in the Karatu District of Tanzania, as well as additional community-bas",2991592.00,3,10
222692940,THE COMMUNITY HOSPICE FOUNDATION INC,WWW.GIVETOCOMMUNITYHOSPICE.ORG,NY,P74Z,"WE, ST. PETER'S HEALTH PARTNERS AND TRINITY HEALTH, SERVE TOGETHER IN THE SPIRIT OF THE GOSPEL AS A COMPASSIONATE AND TRANSFORMING HEALING PRESENCE WITHIN OUR COMMUNITIES. THE COMMUNITY HOSPICE FOUNDA",2231425.00,4,10
911074716,EMERGENCY SUPPORT SHELTER,HTTPS://WWW.ESSHELTER.COM/,WA,P43Z,"OUR MISSION IS TO END SEXUAL AND DOMESTIC VIOLENCE WHILE PROVIDING EDUCATION, SAFETY AND SUPPORT TO OUR COMMUNITY.",1988928.00,46,10
592543362,HOSPICE FOUNDATION OF PALM BEACH COUNTY,WWW.PBIHF.ORG,FL,P117,"PALM BEACH ISLAND HOSPICE FOUNDATION WAS ESTABLISHED EXCLUSIVELY TO SUPPORT THE PROGRAMS, SERVICES AND ACTIVITIES WHICH FURTHER COMPREHENSIVE HOSPICE CARE IN PALM BEACH COUNTY, FLORIDA THROUGH ITS FUN",1889322.00,1,10
222595584,ANDOVER HEBRON MARLBOROUGH YOUTH,AHMYOUTH.ORG,CT,P36Z,"TO PROVIDE MENTAL HEALTH AND POSITIVE YOUTH DEVELOPMENT SERVICES WHICH ASSIST CHILDREN, YOUNG PEOPLE AND THEIR FAMILIES IN CREATING A SUPPORTIVE AND CARING ENVIRONMENT.",1855743.00,41,10
431886096,SHELTERING WINGS INC,www.sheltering-wings.org,MO,P60,"TO BRING THE RECONCILIATION OF CHRIST TO THE NATIONS THROUGH PARTNERING MISSIONARIES WITH A HEART FOR SERVICE WITH COUNTRIES THAT HAVE NEED OF TRANSFORMATION PHYSICALLY, BUT ESPECIALLY SPRITUALLY.",1839858.00,5,10
813014160,HOWARD COUNTY VETERANS FOUNDATION INC,HTTPS://WWW.HOWARDCOUNTYVETERANS.ORG,MD,P20,"THE HOWARD COUNTY VETERANS FOUNDATION, INC. IS TO PROVIDE EDUCATION, AWARENESS AND ADVOCACY FOR THE NEARLY 20,000 VETERANS AND THEIR FAMILIES WHO CALL HOWARD COUNTY, MARYLAND HOME.",1813274.00,1,10
814282343,CHILDREN IN CONFLICT INC,CHILDRENINCONFLICT.ORG,NY,P20,"VISION: A WORLD WHERE NO CHILD'S LIFE IS TORN APART BY WAR.CHILDREN IN CONFLICT WORKS TIRELESSLY TO RESTORE HOPE, SAFETY AND CHILDHOODS TO CHILDREN WHOSE LIVES ARE AFFECTED BY WAR.",1786118.00,7,10
208156916,FAMILIES BEHIND THE BADGE CHILDREN'S,HTTP://WWW.FBBCF.ORG,PA,P20,"TO PROVIDE FINANCIAL RELIEF TO THE FAMILIES OF FALLEN AND CRITICALLY INJURED FIRST RESPONDERS AT THEIR TIME OF GREATEST GRIEF AND HIGHEST NEED. THROUGH OUR POLICE YOUTH ALLIANCE PROGRAM, WHICH WAS CRE",1774705.00,4,10
043610154,COLLIER COUNTY HUNGER & HOMELESS,WWW.COLLIERHOMELESSCOALITION.ORG,FL,P85,"TO SUPPORT THE PLANNING, DELIVERY AND COORDINATION OF HIGH QUALITY SERVICES TO THE HUNGRY, HOMELESS AND THOSE AT-RISK OF HOMELESSNESS IN COLLIER COUNTY.",1704448.00,8,10
205254885,VAIL VETERANS FOUNDATION INC,WWW.VAILVETERANSPROGRAM.ORG,CO,P99,VAIL VETERANS FOUNDATION PROVIDES MILITARY INJURED AND THEIR FAMILIES INNOVATIVE AND TRANSFORMATIONAL PROGRAMS THAT BUILD CONFIDENCE AND IMPROVE LIVES.,1682696.00,7,10
521826860,NATIONAL COALITION FOR HOMELESS VETERANS,www.nchv.org,DC,P85Z,"THE NATIONAL COALITION FOR HOMELESS VETERANS WILL END HOMELESSNESS AMONG VETERANS BY SHAPING PUBLIC POLICY, PROMOTING COLLABORATION, AND BUILDING THE CAPACITY OF SERVICE PROVIDERS.",1641452.00,7,10
593060139,COVENANT HOSPICE FOUNDATION INC,WWW.CHOOSECOVENANT.ORG/HOSPICE,FL,P74Z,"THE ORGANIZATIONS MISSION IS TO PROVIDE FUNDING TO COVENANT HOSPICE, INC. IN ORDER TO SUPPLEMENT CHARITY AND INDIGENT CARE.",1550736.00,0,10
222720958,United Methodist Homes of New Jersey,www.umcommunities.org,NJ,P75,Fundraising in support of The United Methodist Homes of New Jersey.,1540800.00,4,10
593598933,FRIENDS OF FOSTER CHILDREN FOREVER INC,HTTPS://FOSTERINGSUCCESS.NET/,FL,P40,TO FOCUS ON THE CHILDREN WE SERVE WITH EDUCATIONAL AND ENRICHMENT OPPORTUNITIES THAT ALLOW EACH CHILD TO FULFILL HIS OR HER POTENTIAL.,1539058.00,9,10
582139259,Partners for Children & Families Inc,www.pfcfmc.org,NC,P50,Partner's for Children and Families unites the community to effectively: support and empower families; prepare children to succeed in school; and encourage life-long learning; thereby contributing to ,1517387.00,9,10
823434643,South End Childrens Cafe Inc,www.southendchildrenscafe.org,NY,P20,"The mission of the South End Children's Cafe is to impact food security, address food equality and food justice, enhance academic success and positively influence the physical and mental health of chi",1515950.00,13,10
204191319,AGAPE CHILDREN'S MINISTRY INC,WWW.AGAPECHILDREN.ORG,CA,P300,"AGAPE CHILDREN'S MINISTRY, INC. (THE MINISTRY) IS A NOT-FOR-PROFIT CORPORATION ESTABLISHED UNDER THE LAWS OF THE STATE OF CALIFORNIA. THE MINISTRY IS A RELIGIOUS ORGANIZATION DEDICATED TO THE FOLLOWIN",1512132.00,5,10
562084639,SENIOR PHARMASSIST INC,www.seniorpharmassist.org,NC,E70Z,"SENIOR PHARMASSIST PROMOTES HEALTHIER LIVING FOR OLDER ADULTS IN DURHAM BY HELPING THEM OBTAIN AND BETTER MANAGE NEEDED MEDICATIONS AND BY PROVIDING TAILORED HEALTH EDUCATION, MEDICARE INSURANCE COUNS",1487226.00,10,10
201738995,INTERNATIONAL CHILDREN'S NETWORK,WWW.ICNCHILDREN.NET,WA,P60,TO FIND AS MANY EDUCATIONAL SPONSORSHIPS AS POSSIBLE FOR OUR WORLD'S 600 MILLIOMN ORPHANED AND AT-RISK CHULDREN IN PROVIDING A COMPLETE EDUCATION THRU THEIR NATIONS HIGHEST UNIVERSITY OF VOCATIONAL LE,1461245.00,5,10
383674666,LIBERTY YOUTH RANCH INC,LibertyYouthRanch.org,FL,P73,"To provide residential care and education for boys and girls who, through no fault of their own, are in need of a home, a family, and the opportunity to be children. To support and care for vulnerable",1435183.00,8,10
866057789,ASSISTANCE LEAGUE OF TUCSON INC,ALTUCSON.ORG,AZ,P44Z,VOLUNTEERS WORKING IN THE TUCSON COMMUNITY TO HELP THOSE IN NEED.,1428549.00,3,10
271328579,Advocates for Children and Families,www.cherishcac.org,IN,P11,Child and family advocacy related to abuse,1364864.00,8,10
522372998,FLORIDA'S CHILDREN FIRST INC,FLORIDASCHILDRENFIRST.ORG,FL,P30,"ORGANIZATION MISSION: FLORIDA'S CHILDREN FIRST IS A NON-PROFIT, NONPARTISAN, INDEPENDENT ADVOCACY ORGANIZATION COMMITTED TO PROTECTING AND ADVANCING THE RIGHTS OF CHILDREN AND YOUTH IMPACTED BY THE CH",1362686.00,7,10
201664531,IRAQ AND AFGHANISTAN VETERANS OF AMERICA,WWW.IAVA.ORG,DC,P20,"WE ARE THE LEADING VOICE OF THE POST-9/11 GENERATION OF VETERANS, AND WE BELIEVE THE DYNAMIC MEN AND WOMEN OF OUR COMMUNITY REPRESENT AMERICA'S FUTURE OUR NEXT GREATEST GENERATION. THEY ARE OUR TRUE N",1337846.00,14,10
204192265,FIREFIGHTER CANCER SUPPORT NETWORK INC,FIREFIGHTERCANCERSUPPORT.ORG,CA,P20,NONE,1306429.00,0,10
521706059,FIGHT FOR CHILDREN INC,WWW.FIGHTFORCHILDREN.ORG,DC,P30J,"FIGHT FOR CHILDREN'S MISSION IS TO HELP INDIVIDUALS, ORGANIZATIONS, AND COMMUNITIES IN THE METROPOLITAN WASHINGTON, DC AREA LEVERAGE THE POWER OF SPORTS TO IMPROVE THE LIVES OF UNDERSERVED YOUTH.",1302468.00,5,10
464274413,EMPOWER YOUTH NETWORK,EMPOWERYOUTHNETWORK.ORG,WA,E60,"THE MISSION IS TO PROMOTE AND INSPIRE YOUTH TO LEAD SAFE, HEALTHY, AND SUCCESSFUL LIVES. THIS IS ACCOMPLISHED THROUGH PROGRAMS THAT OPEN THE DOOR FOR HEALTHY YOUTH, SUPPORTED FAMILIES, AND AN ENGAGED ",1290235.00,17,10
473060566,HOMELESS CHILDREN'S FOUNDATION OF,WWW.HCFIRC.COM,FL,P85,"THE MISSION OF THE HOMELESS CHILDREN'S FOUNDATION OF INDIAN RIVER COUNTY IS TO MAKE GRANTS TO OR FOR THE BENEFIT OF HOMELESS CHILDREN, INCLUDING TO FUND THEIR ATTENDANCE AT SUMMER CAMPS, SCHOOL BREAK ",1273838.00,6,10
271062106,EQUIPMENT CONNECTIONS FOR CHILDREN INC,https://www.equipforchildren.org/,MD,P20,"ECFC connects with families of children living with disabilities in order to help fulfill vital unmet adaptive equipment needs, provide educational workshops, and foster community, free of charge.",1252993.00,2,10
480879502,KANSAS ACTION FOR CHILDREN INC,WWW.KAC.ORG,KS,P30A,"KANSAS ACTION FOR CHILDREN, INC. IS A NONPARTISAN, NONPROFIT ORGANIZATION DEDICATED TO SHAPING HEALTH, EDUCATION AND ECONOMIC POLICY THAT IMPROVES THE LIVES OF KANSAS CHILDREN AND THEIR FAMILIES.",1247470.00,13,10
300584360,One Heart For Women and Children Inc,www.oneheartforwomenandchildren.org,FL,P40,"One Heart for Women and Childrens focus is to empower families living in poverty, eliminatehunger and provide education and advocacy.",1240839.00,2,10
830811569,WARRIOR FOR CHILDREN,WWW.WARRIORFORCHILDREN.ORG,CA,P40,ENGAGE IN CHARITABLE AND EDUCATIONAL ACTIVITIES ADVOCATING FOR AT-RISK AND TRAUMATIZED INFANTS AND CHILDREN,1240096.00,9,10
202843418,The Children's Hospital Foundation at Saint,www.saintfrancis.com,OK,E11,SEE SCHEDULE O,1237318.00,1,10
911156576,SOUTHEAST SEATTLE SENIOR CENTER,WWW.SESSC.ORG,WA,P81Z,SEE SCHEDULE O.,1229816.00,10,10
522114748,GLOBAL CHILDREN FOUNDATION INC,www.globalchildren.org,CA,P600,"To provide assistance to children around the world who need food, education and medical attention.",1204641.00,1,10
825453821,Verde Valley Homeless Coalition,www.verdevalleyhomelesscoalition.com,AZ,P85,"Community emergency homeless shelter, transitional housing & outreach services",1193920.00,9,10
201584617,CHILDREN OF RESTAURANT EMPLOYEES,COREGIVES.ORG,GA,P12,CHILDREN OF RESTAURANT EMPLOYEES LTD PROVIDES GRANTS TO HELP FOODSERVICE FAMILIES BRIDGE THE FINANCIAL GAP DURING A QUALIFYING CRISIS.,1153213.00,3,10
680014506,CHILDREN'S NETWORK OF SOLANO COUNTY,CHILDNET.ORG,CA,P30Z,"IMPROVE THE LIVES OF CHILDREN IN SOLANO COUNTY THROUGH EDUCATION, ADVOCACY, COORDINATION OF COMMUNITY SERVICES AND COMMUNITY-BASED COLLABORATIVES. CHILDREN'S NETWORK OF SOLANO COUNTY CONDUCTS AND DISS",1137478.00,6,10
061456561,STAMFORD SENIOR CENTERINC,WWW.STAMFORDSENIORCT.ORG,CT,P81,"PROVIDE PROGRAMMING TO HELP STAMFORD SENIORS REMAIN ACTIVE, HEALTHY AND CONTRIBUTING MEMBERS OF COMMUNITY.",1136205.00,5,10
943111898,Coalition On Homelessness,www.cohsf.org,CA,P050,We work to organize homeless people and front-line service providers to create permanent solutions to homelessness while protecting the civil and human rights of those forced to remain on the streets.,1114608.00,10,10
472733144,CASCADIA ART MUSEUM,CASCADIAARTMUSEUM.ORG,WA,P99,"Cascadia Art Museum is an educational nonprofit 501(c)3 organization celebrating the rich tradition of the visual arts in the Northwest region, as shaped by the Cascade Mountains. The museum provides ",1098939.00,9,10
251585859,MEL BLOUNT YOUTH HOME OF PA INC,MELBLOUNTYOUTHHOME.ORG,PA,P700,"TO PROVIDE A SAFE AND HEALTHY ENVIRONMENT FOR YOUTH WHERE THEY CAN GROW AND DEVELOP MENTALLY, PHYSICALLY AND MORALLY AND BE BETTER EQUIPPED TO MAKE A CONTRIBUTION TO SOCIETY AS PRODUCTIVE CITIZENS AND",1095603.00,8,10
521289657,HOSPICE HOUSE INC,WWW.WILLIAMSBURGHOSPICE.ORG,VA,P74Z,"""WE GIVE CARE, COMFORT, AND COMPASSION THROUGH AND BEYOND END OF LIFE.""",1087553.00,25,10
464537457,CHILDREN'S BRAIN TUMOR PROJECT,WWW.CHILDRENSBRAINTUMORPROJECT.ORG,NY,E11,THE ORGANIZATION'S MISSION IS TO RAISE FUNDS TO IMPROVE THE OUTCOME FOR CHILDREN WITH BRAIN TUMORS BY ADVANCING SCIENTIFIC DISCOVERY AND CLINICAL RESEARCH THAT FOCUSES ON:* TARGETED THERAPY* EFFECTIVE,1081010.00,1,10
043095890,ROSENBERG FUND FOR CHILDREN INC,WWW.RFC.ORG,MA,P60Z,"SEE SCHEDULE O.THE ROSENBERG FUND FOR CHILDREN WAS ESTABLISHED TO PROVIDE FOR THE EDUCATIONAL AND EMOTIONAL NEEDS OF CHILDREN WHOSE PARENTS HAVE BEEN HARASSED, INJURED, LOST JOBS, OR DIED IN THE COURS",1074337.00,6,10
431278967,BETHESDA HEALTH GROUP FOUNDATION INC,WWW.BETHESDAHEALTH.ORG,MO,E120,TO BE THE PREMIER PROVIDER OF CARE AND SERVICES FOR SENIORS IN THE ST. LOUIS REGION WHILE MAINTAINING FINANCIAL STRENGTH AND PROVIDING FULFILLING CAREER OPPORTUNITIES.,1072141.00,4,10
462471547,HOSPICE HOME OF JOHNSON COUNTY,WWW.HOSPICEHOMEJC.ORG,IA,P74,"THE ORGANIZATION IS ORGANIZED FOR THE PURPOSE OF PURCHASING OR CONSTRUCTING, AND OPERATING A HOSPICE HOME IN JOHNSON COUNTY, IOWA.",1039075.00,2,10
383537982,CHILDREN WITH HAIR LOSS INC,WWW.CHILDRENWITHHAIRLOSS.ORG,MI,P30,SEE STATEMENT O,1033038.00,8,10
461596255,LIGHTHOUSE FOR THE HOMELESS,WWW.TRUEWORTHPLACE.ORG,TX,P85,"THE ONLY FREE DAY SHELTER IN THE AREA COMPRISED OF A COLLECTION OF COMMUNITY AGENCIES AND SERVICE PROVIDERS, ALL FOCUSED ON A SINGLE MISSION: ENDING HOMELESSNESS IN TARRANT COUNTY.",1029996.00,46,10
522305620,Children's Environmental Health Network,www.cehn.org,DC,E70,The Children's Environmental Health Network is a national multi-disciplinary organization whose mission is to protect the developing child from environmental hazards and promote a healthier environmen,1013973.00,6,10
582556130,youthSpark Inc,www.youth-Spark.org,GA,P12,"Our mission is to provide cutting edge services, education, and advocacy to combat youth trafficking, exploitation, and abuse. youthSpark's core work has always centered on working to end child sex tr",910424.00,10,10
843955561,PROJECT FIRE BUDDIES INC,WWW.PROJECTFIREBUDDIES.ORG,IL,P12,WE ARE FIREFIGHTERS WHO OFFER SUPPORT AND GIVE BACK TO CHILDREN FIGHTING CRITICAL ILLNESSES.EVERY CRITICAL ILLNESS A CHILD IS BATTLING IS A FIGHT WE WILL GIVE OUR ALL TO. WE STRIVE TO ENSURE THAT EACH,862898.00,3,10
561424818,ROWAN REGIONAL MEDICAL CENTER,WWW.SUPPORTNOVANTHEALTH.ORG,NC,E112,SEE SCHEDULE O,4767135.00,4,9
237320638,Methodist Healthcare Foundation,WWW.METHODISTHEALTH.ORG/GIVE,TN,E120,"TO UPLIFT METHODIST LE BONHEUR HEALTHCARE'S COMPASSIONATE CARE FOR OUR ENTIRE COMMUNITY THROUGH PHILANTHROPY, HEALTH ADVOCACY, AND A VISION OF HEALING AND HOPE.",4659980.00,10,9
411768237,IMMUNIZEORG,WWW.IMMUNIZE.ORG,MN,E60Z,SEE SCHEDULE 'O',4556652.00,8,9
746074210,CHRISTUS Foundation for HealthCare,www.christusfoundation.org,TX,E110,"CHRISTUS Foundation for HealthCare is dedicated to extending the healing ministry of Jesus Christ, continuing the legacy of the Congregation of the Sisters of Charity of the Incarnate Word through the",4370967.00,10,9
431867039,LEAST OF THESE INC,LEASTOFTHESEFOODPANTRY.ORG,MO,P60,"ALLEVIATE FOOD INSECURITY IN CHRISTIAN COUNTY BY PROVIDING FOOD, RESOURCES, AND EDUCATION TO ADDRESS THE CHALLENGES OF OUR NEIGHBORS IN NEED.",4209305.00,9,9
470648586,CHI HEALTH FOUNDATION,WWW.CHIHEALTH.COM,NE,E122,"AS AN AFFILIATE OF COMMONSPIRIT HEALTH, WE MAKE THE HEALING PRESENCE OF GOD KNOWN IN OUR WORLD BY IMPROVING THE HEALTH OF THE PEOPLE WE SERVE, ESPECIALLY THOSE WHO ARE VULNERABLE, WHILE WE ADVANCE SOC",3861708.00,7,9
203584556,CHILD'S PLAY,WWW.CHILDSPLAYCHARITY.ORG,WA,E86,CHILD'S PLAY SEEKS TO IMPROVE THE LIVES OF CHILDREN AND TEENS IN PEDIATRIC HOSPITALS AND OTHER CHILD WELFARE FACILITIES THROUGH THE KINDNESS AND GENEROSITY OF THE GAMER COMMUNITY AND THE POWER OF PLAY,3714680.00,7,9
431349021,THE RESEARCH FOUNDATION,WWW.THERESEARCHFOUNDATIONKC.ORG,MO,E110,"THE RESEARCH FOUNDATION INVESTS IN HEALTH-CENTERED PROGRAMS AND PARTNERSHIPS THAT BENEFIT HEALTH CARE STUDENTS AND PROFESSIONALS, PATIENTS, AND PEOPLE IN THE KANSAS CITY COMMUNITY.",3712503.00,9,9
366150906,ACADEMY OF NUTRITION AND DIETETICS,WWW.EATRIGHT.ORG,IL,E122,"THROUGH PHILANTHROPY, EMPOWER CURRENT AND FUTURE FOOD AND NUTRITION PRACTITIONERS TO OPTIMIZE GLOBAL HEALTH.",3543349.00,8,9
201469976,TOUCH HEALTH INC,WWW.TOUCHHEALTH.ORG,NY,P80,THE MISSION OF TOUCH HEALTH IS TO HELP BUILD THE HEALTH SYSTEMS OF THE FUTURE FOR SUB-SAHARAN AFRICA. WE DO THIS BY STRENGTHENING THE FOUNDATIONAL BUILDING BLOCKS OF HIGH-QUALITY CARE: A STRONG HEALTH,3507085.00,5,9
208741625,Wuqu Kawoq SA,www.wuqukawoq.org,VT,P99,"Wuqu' Kawoq is a non-governmental organization that unites language, culture, and science to transform the health of Maya people in the indigenous highlands of Guatemala. Programs include primary and ",3450507.00,3,9
061559393,GLOBAL LYME ALLIANCE INC,GLOBALLYMEALLIANCE.ORG,CT,E60,"GLOBAL LYME ALLIANCE IS THE LEADING NONPROFIT DEDICATED TO CONQUERING LYME AND OTHER TICK-BORNE DISEASES. OUR MISSION: CURE LYME AND OTHER TICK-BORNE DISEASES THROUGH INNOVATIVE RESEARCH, AWARENESS, A",3221015.00,10,9
311768378,PARTNERS IN EVANGELISM INC,WWW.WAUPARTNERS.ORG,MD,P99,"PARTNERS MINISTRIES PROVIDE FREE OF CHARGE COPIES OF ""THE WORD AMONG US"" MAGAZINE AND OTHER RESOURCES TO PRISONERS IN THE U.S. AND CANADA, MEN AND WOMEN IN MILITARY SERVICES AROUND THE WORLD, WOMEN IN",3185217.00,5,9
844746926,Maine Needs Inc,maineneeds.org,ME,P20,"We strive to help individuals and families in Maine meet their basic, material needs by providing donated clothing, hygiene products, household items, and other necessities. We focus our work on those",2982971.00,2,9
311624871,Integrated Care Collaboration,connxus.org,TX,E80,"ICC is a nonprofit alliance of health care providers in Central Texas dedicated to the collection, analysis and sharing of health information with the goal of improving health care quality and cost ef",2886648.00,6,9
942597514,SAINT FRANCIS FOUNDATION,WWW.SAINTFRANCISFOUNDATION.ORG,CA,E110,THE MISSION OF THE SAINT FRANCIS FOUNDATION IS TO RAISE FUNDS AND MAKE GRANTS THAT SUPPORT AND ENHANCE THE ABILITY OF SAINT FRANCIS MEMORIAL HOSPITAL TO DELIVER EXCEPTIONAL HEALTH CARE SERVICES AND CO,2862846.00,6,9
050532415,COUNCIL FOR LIFE,COUNCILFORLIFE.ORG,TX,P45,"TO EMPOWER WOMEN, MEN AND YOUTH TO MAKE LIFE AFFIRMING CHOICES. MOTIVATED BY CHRIST-LIKE LOVE & RESPONSIVE COMPASSION, CFL IS COMMITTED TO RAISING PUBLIC AWARENESS OF THE COMPLEX ISSUES THAT SURROUND ",2796252.00,6,9
161493404,HILLSIDE FOUNDATION,WWW.HILLSIDE.COM,NY,P120,"HILLSIDE FOUNDATION WAS ESTABLISHED TO SOLICIT, RECEIVE, AND MAINTAIN FUNDS EXCLUSIVELY FOR THE BENEFIT OF ITS TAX EXEMPT AFFILIATE; HILLSIDE CHILDREN'S CENTER.",2750520.00,10,9
