ein,org_name,website,email,all_emails,source_page,confidence,error
823434643,South End Childrens Cafe Inc,www.southendchildrenscafe.org,ethel@southendchildrenscafe.org,ethel@southendchildrenscafe.org,https://www.southendchildrenscafe.org,high,
204191319,AGAPE CHILDREN'S MINISTRY INC,WWW.AGAPECHILDREN.ORG,,,,none,Failed to fetch
562084639,SENIOR PHARMASSIST INC,www.seniorpharmassist.org,info@seniorpharmassist.org,info@seniorpharmassist.org;user@domain.com,https://www.seniorpharmassist.org,high,
201738995,INTERNATIONAL CHILDREN'S NETWORK,WWW.ICNCHILDREN.NET,,,,none,Failed to fetch
383674666,LIBERTY YOUTH RANCH INC,LibertyYouthRanch.org,,,,none,
866057789,ASSISTANCE LEAGUE OF TUCSON INC,ALTUCSON.ORG,,,,none,Failed to fetch
271328579,Advocates for Children and Families,www.cherishcac.org,admin@cherishcac.org,admin@cherishcac.org;user@domain.com,https://www.cherishcac.org,high,
522372998,FLORIDA'S CHILDREN FIRST INC,FLORIDASCHILDRENFIRST.ORG,contact@mysite.com,contact@mysite.com;fcf@floridaschildrenfirst.org,https://www.FLORIDASCHILDRENFIRST.ORG,high,
201664531,IRAQ AND AFGHANISTAN VETERANS OF AMERICA,WWW.IAVA.ORG,info@iava.org,info@iava.org,https://www.IAVA.ORG,high,
204192265,FIREFIGHTER CANCER SUPPORT NETWORK INC,FIREFIGHTERCANCERSUPPORT.ORG,,,,none,
521706059,FIGHT FOR CHILDREN INC,WWW.FIGHTFORCHILDREN.ORG,cropped-ffc_full-logo_stacked_solid_color@4x-8-270x270.webp,cropped-ffc_full-logo_stacked_solid_color@4x-8-270x270.webp;cropped-ffc_full-logo_stacked_solid_color@4x-8-192x192.webp;ffc.email@fightforchildren.org;cropped-ffc_full-logo_stacked_solid_color@4x-8-180x180.webp;cropped-ffc_full-logo_stacked_solid_color@4x-8-32x32.webp,https://FIGHTFORCHILDREN.ORG,medium,
464274413,EMPOWER YOUTH NETWORK,EMPOWERYOUTHNETWORK.ORG,admin@empoweryouthnetwork.org,admin@empoweryouthnetwork.org,https://empoweryouthnetwork.org/contact-us/,high,
473060566,HOMELESS CHILDREN'S FOUNDATION OF,WWW.HCFIRC.COM,hannah@hcfirc.com,hannah@hcfirc.com;info@indiantypefoundry.com,https://www.HCFIRC.COM,high,
271062106,EQUIPMENT CONNECTIONS FOR CHILDREN INC,https://www.equipforchildren.org/,,,,none,
480879502,KANSAS ACTION FOR CHILDREN INC,WWW.KAC.ORG,,,,none,
300584360,One Heart For Women and Children Inc,www.oneheartforwomenandchildren.org,info@helponeheart.org,info@helponeheart.org;info@oneheartorlando.org;user@domain.com,https://oneheartforwomenandchildren.org,high,
830811569,WARRIOR FOR CHILDREN,WWW.WARRIORFORCHILDREN.ORG,info@warriorforchildren.org,info@warriorforchildren.org,https://www.WARRIORFORCHILDREN.ORG,high,
202843418,The Children's Hospital Foundation at Saint,www.saintfrancis.com,,,,none,
911156576,SOUTHEAST SEATTLE SENIOR CENTER,WWW.SESSC.ORG,,,,none,Failed to fetch
522114748,GLOBAL CHILDREN FOUNDATION INC,www.globalchildren.org,gcfhq@globalchildren.org,gcfhq@globalchildren.org,https://www.globalchildren.org,high,
825453821,Verde Valley Homeless Coalition,www.verdevalleyhomelesscoalition.com,info@verdevalleyhomelesscoalition.com,info@verdevalleyhomelesscoalition.com;info@vvhomeless.dynamicwebclients.com,https://www.verdevalleyhomelesscoalition.com,high,
201584617,CHILDREN OF RESTAURANT EMPLOYEES,COREGIVES.ORG,info@coregives.org,info@coregives.org,https://COREGIVES.ORG,high,
680014506,CHILDREN'S NETWORK OF SOLANO COUNTY,CHILDNET.ORG,child@childnet.org,child@childnet.org;childnet@childnet.org;alankerzin@gmail.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.CHILDNET.ORG,high,
061456561,STAMFORD SENIOR CENTERINC,WWW.STAMFORDSENIORCT.ORG,stamfordseniorcenter@stamfordct.gov,stamfordseniorcenter@stamfordct.gov,https://STAMFORDSENIORCT.ORG,medium,
943111898,Coalition On Homelessness,www.cohsf.org,,,,none,
472733144,CASCADIA ART MUSEUM,CASCADIAARTMUSEUM.ORG,,,,none,
251585859,MEL BLOUNT YOUTH HOME OF PA INC,MELBLOUNTYOUTHHOME.ORG,,,,none,
521289657,HOSPICE HOUSE INC,WWW.WILLIAMSBURGHOSPICE.ORG,,,,none,Failed to fetch
464537457,CHILDREN'S BRAIN TUMOR PROJECT,WWW.CHILDRENSBRAINTUMORPROJECT.ORG,nate@poirierwebdesign.com,nate@poirierwebdesign.com,https://www.CHILDRENSBRAINTUMORPROJECT.ORG,high,
043095890,ROSENBERG FUND FOR CHILDREN INC,WWW.RFC.ORG,info@rfc.org,info@rfc.org,https://www.RFC.ORG,high,
431278967,BETHESDA HEALTH GROUP FOUNDATION INC,WWW.BETHESDAHEALTH.ORG,llsanders@bethesdahealth.org,llsanders@bethesdahealth.org;mcmalecek@bethesdahealth.org;celuna@bethesdahealth.org,https://bethesdahealth.org/foundation/contact-the-foundation/,high,
462471547,HOSPICE HOME OF JOHNSON COUNTY,WWW.HOSPICEHOMEJC.ORG,,,,none,
383537982,CHILDREN WITH HAIR LOSS INC,WWW.CHILDRENWITHHAIRLOSS.ORG,info@childrenwithhairloss.org,info@childrenwithhairloss.org,https://www.CHILDRENWITHHAIRLOSS.ORG,high,
461596255,LIGHTHOUSE FOR THE HOMELESS,WWW.TRUEWORTHPLACE.ORG,kourtnee.stokes@icloud.com,kourtnee.stokes@icloud.com,https://www.TRUEWORTHPLACE.ORG,medium,
522305620,Children's Environmental Health Network,www.cehn.org,cehn@cehn.org,cehn@cehn.org,https://www.cehn.org,high,
582556130,youthSpark Inc,www.youth-Spark.org,info@youth-spark.org,info@youth-spark.org,https://www.youth-Spark.org,high,
843955561,PROJECT FIRE BUDDIES INC,WWW.PROJECTFIREBUDDIES.ORG,,,,none,
561424818,ROWAN REGIONAL MEDICAL CENTER,WWW.SUPPORTNOVANTHEALTH.ORG,,,,none,
237320638,Methodist Healthcare Foundation,WWW.METHODISTHEALTH.ORG/GIVE,mhfoundation@mlh.org,mhfoundation@mlh.org,https://www.METHODISTHEALTH.ORG/GIVE,high,
411768237,IMMUNIZEORG,WWW.IMMUNIZE.ORG,,,,none,
746074210,CHRISTUS Foundation for HealthCare,www.christusfoundation.org,james.nicas@christushealth.org,james.nicas@christushealth.org;chris.harrison@christushealth.org;wade.hopwood@christushealth.org;colleen.hargraves@christushealth.org;molly.marshall@christushealth.org;marcia.ford2@christushealth.org;jeannette.baughman@christushealth.org,https://christusfoundation.org/about-us/,medium,
431867039,LEAST OF THESE INC,LEASTOFTHESEFOODPANTRY.ORG,,,,none,Failed to fetch
470648586,CHI HEALTH FOUNDATION,WWW.CHIHEALTH.COM,,,,none,
203584556,CHILD'S PLAY,WWW.CHILDSPLAYCHARITY.ORG,kcarlile@childsplaycharity.org,kcarlile@childsplaycharity.org,https://www.CHILDSPLAYCHARITY.ORG/about,high,
431349021,THE RESEARCH FOUNDATION,WWW.THERESEARCHFOUNDATIONKC.ORG,info@theresearchfoundationkc.org,info@theresearchfoundationkc.org,https://THERESEARCHFOUNDATIONKC.ORG,high,
366150906,ACADEMY OF NUTRITION AND DIETETICS,WWW.EATRIGHT.ORG,nnm@eatright.org,nnm@eatright.org,https://EATRIGHT.ORG/about-national-nutrition-month,high,
201469976,TOUCH HEALTH INC,WWW.TOUCHHEALTH.ORG,info@touchhealth.org,info@touchhealth.org,https://www.TOUCHHEALTH.ORG,high,
208741625,Wuqu Kawoq SA,www.wuqukawoq.org,contact@wuqukawoq.org,contact@wuqukawoq.org,https://www.wuqukawoq.org,high,
061559393,GLOBAL LYME ALLIANCE INC,GLOBALLYMEALLIANCE.ORG,info@gla.org,info@gla.org,https://www.GLOBALLYMEALLIANCE.ORG,high,
311768378,PARTNERS IN EVANGELISM INC,WWW.WAUPARTNERS.ORG,maasaf@wau.org,maasaf@wau.org;tmoser@wau.org;james@wau.org;kate@wau.org;ricardog@wau.org;orlando@wau.org;amb@wau.org,https://www.WAUPARTNERS.ORG/about,high,
844746926,Maine Needs Inc,maineneeds.org,user@domain.com,user@domain.com;maineneeds@gmail.com;info@maineneeds.org,https://www.maineneeds.org,high,
311624871,Integrated Care Collaboration,connxus.org,info@connxus.org,info@connxus.org,https://www.connxus.org,high,
942597514,SAINT FRANCIS FOUNDATION,WWW.SAINTFRANCISFOUNDATION.ORG,sff@saintfrancisfoundation.org,sff@saintfrancisfoundation.org,https://www.SAINTFRANCISFOUNDATION.ORG,high,
050532415,COUNCIL FOR LIFE,COUNCILFORLIFE.ORG,,,,none,Failed to fetch
161493404,HILLSIDE FOUNDATION,WWW.HILLSIDE.COM,,,,none,
463395393,GATEWAY WELLNESS FOUNDATION,GATEWAYWELLNESSFOUNDATION.ORG,,,,none,
453810502,CAROLINA ABORTION FUND,HTTPS://WWW.CAROLINAABORTIONFUND.ORG,hello@carolinaabortionfund.org,hello@carolinaabortionfund.org;user@domain.com,https://www.CAROLINAABORTIONFUND.ORG,high,
471339945,Little Lambs Foundation for Kids Inc,www.littlelambsofutah.org,info@littlelambsofutah.org,info@littlelambsofutah.org;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;046c982186afa15dc9513490293d26b1@o37417.ingest.sentry.io;littlelambsofutah@aol.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.littlelambsofutah.org,high,
911307991,GIG HARBOR PENINSULA FISH,WWW.GHPFISH.ORG,info@ghpfish.org,info@ghpfish.org;user@domain.com,https://www.GHPFISH.ORG,high,
521903777,AMERICAN FRIENDS OF RABIN MEDICAL CENTER,WWW.AFRMC.ORG,afrmc@afrmc.org,afrmc@afrmc.org,https://www.AFRMC.ORG,high,
233027589,Amigos de Jesus,WWW.AMIGOSDEJESUS.ORG,amigos@amigosdejesus.org,amigos@amigosdejesus.org;user@domain.com,https://www.AMIGOSDEJESUS.ORG,high,
750945926,UNITED WAY OF MIDLAND INC,WWW.UWMIDLAND.ORG,,,,none,
320112866,MAJELLA CARES,HTTPS://HEROICMEDIA.ORG,,,,none,
