Company Name,Website
STONE BRIDGE SCHOOL,WWW.STONEBRIDGESCHOOL.ORG
LAFAYETTE LIBRARY AND LEARNING CENTER,WWW.LLLCF.ORG
BlueSkies for Children Inc,www.blueskies4children.org
WINGS LEARNING CENTER INC,WINGSLEARNINGCENTER.ORG
BERKELEY ROSE SCHOOL,WWW.BERKELEYROSE.ORG
Moraga Education Foundation,http://moragaeducation.org
ATHENA ACADEMY INC,www.athenaacademy.org
NORTH PENINSULA JEWISH CAMPUS,WWW.JEWISHCAMPUS.ORG
IN YOUR HANDS INC,paloaltoprep.com
Nihonmachi Little Friends,nlfchildcare.org
GEOKIDS,WWW.GEOKIDS.ORG
FOUNDATION FOR HEARING RESEARCH INC,WWW.FOUNDATIONFORHEARING.ORG
Berkeley Public Schools Fund,www.berkeleypublicschoolsfund.org
AMES CHILD CARE CENTER,ameschildcare.org
The Oakland Museum Womens Board,www.whiteelephantsale.org
Civic Space Foundation,www.civicspacefoundation.org/
INSTITUTE FOR THE STUDY OF KNOWLEDGE,WWW.ISKME.ORG
EARLY CHILDHOOD EDUCATION STEP,www.ecestep.org
ENVISIONEERS INC,WWW.THEENVISIONEERS.ORG
Southeast Asian Development Center,www.seadcenter.org
PlayGroup,WWW.PLAYGRP.ORG
Orinda Academy,www.orindaacademy.org
NEW HOPE FOR YOUTH,NEWHOPEFORYOUTH.ORG
ENTERPRISE FOR YOUTH,ENTERPRISEFORYOUTH.ORG
San Francisco Schoolhouse,www.sfschoolhouse.org
SLS PRESCHOOL,WWW.SLSSANFRANCISCO.ORG
San Francisco Jewish Community,www.jweekly.com
LONE MOUNTAIN CHILDREN'S CENTER INC,LONEMOUNTAIN.ORG
JOINT VENTURE SILICON VALLEY NETWORK,WWW.JOINTVENTURE.ORG
JUSOOR,WWW.JUSOORSYRIA.COM
SHE-CAN GLOBAL INC,www.shecan.global
Community Tech Network,www.communitytechnetwork.org
LINKED LEARNING ALLIANCE,LINKEDLEARNING.ORG
FOUNDATION FOR EXCELLENCE INC,WWW.FFEUS.ORG
NORTH OAKLAND COMMUNITY CHARTER SCHOOL,WWW.NOCCS.ORG
CHRISTIAN EDUCATION DEVELOPMENT COMPANY,WWW.CELEBRATIONCENTER.COM
Child Care Law Center,www.childcarelaw.org
LIL INC,www.yfacademy.org
WOMENS FUNDING NETWORK,WWW.WOMENSFUNDINGNETWORK.COM
SILICON VALLEY ACADEMY PROJECT,"www,svaschool.org"
MENLO-ATHERTON HIGH SCHOOL,WWW.MAFOUNDATION.ORG
826 National Inc,www.826national.org
NEXTFLEX LEARNING PROGRAMS,WWW.NEXTFLEX.US
Old Skool Cafe,www.oldskoolcafe.org
STARTING ARTS INC,WWW.STARTINGARTS.COM
ARISE EDUCATIONAL CENTER,ariseeducationalcenter.com
STRIVE FOR COLLEGE INC,www.ustrive.org
THE ODYSSEY SCHOOL,www.odysseydenver.org
Living Wisdom School of Palo Alto,livingwisdomschool.org
Center for Early Intervention on,www.ceid.org
SPORTS MEDICINE INSTITUTE INTERNATIONAL,WWW.SMIWEB.ORG
MARIN PROMISE PARTNERSHIP,marinpromisepartnership.org
SILICON VALLEY EMPLOYERS' FORUM,WWW.SVEFORUM.ORG
ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,ACCHS.EDU
Child Education Center,www.childeducationcenter.org
Schools Mentoring and Resource Team,www.thesmartprogram.org
FRIENDS OF THE MANDARIN SCHOLARS,MANDARINSCHOLARS.ORG
BERKELEY YOUTH ALTERNATIVES,WWW.BYAONLINE.ORG
BREAKTHROUGH SILICON VALLEY,WWW.BREAKTHROUGHSV.ORG
WOODROE INC,WOODROESNEWBEGINNING.ORG
LIVE OAK ACADEMY,WWW.LIVEOAKACADEMY.ORG
ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE BERKELEY,www.aimc.edu
BIG MINDS INCORPORATED,HTTP://WWW.BIGMINDSUNSCHOOL.ORG/
ReThink Media,www.rethinkmedia.org
DIGITAL EDUCATION PROJECT,HTTPS://INQUIRYGROUP.ORG
INSTITUTE OF BUDDHIST STUDIES,WWW.SHIN-IBS.EDU
Mission Kids,WWW.Missionkidsco-op.org
IGNITE,WWWW.IGNITEPROMISE.ORG
NAPA VALLEY FARMWORKER FOUNDATION,WWW.FARMWORKERFOUNDATION.ORG
A HOME WITHIN INC,www.ahomewithin.org
NUS AMERICA FOUNDATION INC,WWW.NUSAMERICA.ORG
RIVER MONTESSORI CHARTER SCHOOL,WWW.RIVERMONTESSORICHARTER.ORG
KID STREET LEARNING CENTER INC,WWW.KSTREET.ORG
ERUDITE TECHNOLOGY GROUP,www.hopetechnologyschool.org
YOUTH UPRISING,YOUTHUPRISING.ORG
SCANDINAVIAN SCHOOL IN SAN FRANCISCO,http://www.scandinavianschool.org/
FIELD MIDDLE SCHOOL,WWW.FIELDMIDDLE.ORG
Grassroots Power Project,www.grassrootspowerproject.org
TAMALPAIS - STRAWBERRY,TAMALPAISSTRAWBERRYPRESCHOOLS.ORG
Family Engagement Lab,www.familyengagementlab.org
NAPA VALLEY CHRISTIAN EDUCATION GROUP,https://veritasnapa.org
ORION ACADEMY,WWW.ORIONACADEMY.ORG
COASTSIDE CHILDREN'S PROGRAMS,WWW.COASTSIDECHILDREN.ORG
The Burkard School,www.theburkardschool.org
Chai Preschool Inc,www.ChaiSchool.com
After School Enrichment Program,www.asepsf.org
THE FOUNDATION OF THE CITY COLLEGE OF,WWW.FOUNDATIONCCSF.ORG
ANGELA MERICI AND JOHN HENRY NEWMAN,WWW.CARDINALNEWMAN.ORG
LOTUS BLOOM,WWW.LOTUSBLOOMFAMILY.ORG
The Charlie Cart Project,www.charliecart.org
OPEN SOURCE ROBOTICS FOUNDATION INC,WWW.OPENROBOTICS.ORG
GNOME Foundation Inc,www.gnome.org
Montessori Childrens House,WWW.MONTESSORIFRANKTOWN.ORG
Islamic Scholarship Fund,islamicscholarshipfund.org
SHINE TOGETHER,SHINETOGETHER.ORG
THE PEACH FOUNDATION,WWW.PEACHFOUNDATIONUSA.ORG
Bay Area Hispano Institute for Advancement Inc,www.behiainc.com
Compass High School,www.compasshigh.org
Collegespring Inc,www.collegespring.org
REDWOOD CITY CHILD DEVELOPMENT PROGRAMINC,WWW.RCCDP.ORG
The John Paul Stevens Foundation,www.jpstevensfoundation.org
Oakland Lacrosse Club,www.oaklandlacrosse.org
HARVEST CHRISTIAN SCHOOL,WWW.HARVESTPETALUMA.ORG
TOPOS INSTITUTE,WWW.TOPOS.INSTITUTE
SAN FRANCISCO ELITE ACADEMY,WWW.SFELITEACADEMY.ORG
EAST PALO ALTO ACADEMY FOUNDATION,WWW.EPAAF.ORG
LEADERSHIP AND DESIGN,WWW.LEADERSHIPANDDESIGN.ORG
INSTITUTE FOR DEMOCRATIC EDUCATION,WWW.DEMOCRATICEDUCATION.ORG
The Digital Distributed Community,CLOCKSS.ORG
CITIZEN FILM INC,WWW.CITIZENFILM.ORG
Northstar School,northstarschool.org
Khan Schools Network,https://khanschoolsnetwork.org
CITY ARTS & LECTURES INC,CITYARTS.NET
NGPF MISSION 2030 FUND,HTTPS://WWW.NGPF.ORG/WHY-FIN-ED/
AMERICAN LEADERSHIP FORUM -,WWW.ALFSV.ORG
The Teaching Well Inc,www.theteachingwell.org
Oakland Kids First,www.oaklandkidsfirst.org
PRISM REPORTS INC,WWW.PRISMREPORTS.ORG
GROWING TOGETHER BAY AREA INC,https://www.growingtogetherprojects.org/
Victory Christian Academy,www.victoryca.org
WALDEN FOUNDATION INC,WWW.WALDENCENTERSCHOOL.ORG
Imagination Lab School,www.imagination-school.org
Mandala Childrens House Inc,www.mandalachildrenshouse.com
DONUM DEI CLASSICAL ACADEMY,HTTPS://WWW.DONUMDEI.ORG/
Project Scientist Inc,www.projectscientist.org
Children and Family Circle,www.cfckids.org
THE SOAR FOUNDATION,WWW.SOARONLINE.ORG
EAST BAY CONSORTIUM OF EDUC INSTITUTIONS,eastbayconsortium.org
POPS FOUNDATION,popsfoundation.org
Families in Action for Quality Education,https://fiaoakland.org
THE NEW VILLAGE SCHOOL,THENEWVILLAGESCHOOL.ORG
BITSAA INTERNATIONAL INC,WWW.BITSAA.ORG
UP ON TOP,www.upontop.org
WALNUT ACRES DAY CARE CENTER INC,www.walnutacreschildrenscenter.org
WOOD ROSE ACADEMY,HTTPS://WWW.WOODROSEACADEMY.ORG/
Marin School for Gifted Education,www.gateacademy.org
Manzanita Charter Middle School,www.manzy.org
COMPETENT EDUCATIONAL SERVICES INC,https://www.davincisv.org/
ASSOCIATED STUDENTS INC OF CALIFORNIA,WWW.CSUEASTBAY.EDU/ASI
MAKER NEXUS,www.makernexus.org
Lightcone Infrastructure Inc,https://www.lightconeinfrastructure.com/
Cake4kids,https://www.cake4kids.org/
RISE UNIVERSITY PREPARATORY,WWW.RISEPREP.ORG
YOUTH SPIRIT ARTWORKS,www.youthspiritartworks.org
NATIONAL COUNCIL FOR WORKFORCE EDUCATION,WWW.NCWE.ORG
CALL OF THE SEA,WWW.CALLOFTHESEA.ORG
Field Semester,www.fieldsemester.org
PALO ALTO VA CHILD DEVELOPMENT INC,HTTP://WWW.WHISTLE-STOP.ORG
SILICON VALLEY DEFENSE WORKING GROUP CO,siliconvalleydefense.org
Literacy for Environmental Justice,www.lejyouth.org
CORE EDUCATION ACADEMY,www.coreacademy.net
WILLOW GLEN COMMUNITY EXTENDED DAY ENRICHMENT PROG,WWW.WGDAYCARE.ORG
THE CATS2 FOUNDATION,WWW.CATS.ORG
Friends of the Fromm Institute,www.fromminstitute.org
ARBOR BAY SCHOOL,WWW.ARBORBAYSCHOOL.ORG
CABRILLO MONTESSORI SCHOOLS INC,HTTPS://MSOSV.COM/
FIRENUGGETS INC,WWW.FIRENUGGETS.COM
PERALTA COLLEGES FOUNDATION,HTTP://PERALTAFOUNDATION.ORG
Bay Area Tutoring Asociation,http://www.bayareatutor.org/
FRIENDS OF SAIACS,SAIACS.ORG
Mills Montessori School,www.millsmontessori.com
COVENANT CHILDREN'S CENTER,HTTP://WWW.COVENANTCHILDRENSCENTER.COM/
Happiness Hill School,Happinesshill.org
MINDFUL SCHOOLS,WWW.MINDFULSCHOOLS.ORG
CALIFORNIA TAMIL ACADEMY,https://www.catamilacademy.org/
VINEYARD ACADEMY,WWW.VINEYARDACADEMY.ORG
Lowell Alumni Association,www.lowellalumni.org
CORTE MADERA LARKSPUR SCHOOL FOUNDATION,WWW.SPARKSCHOOLS.ORG
