ein,organization_name,state,city,total_assets,total_revenue,website,phone,tax_year,mission_description
237160400,GREATER HOUSTON COMMUNITY FOUNDATION,TX,HOUSTON,1019145902.00,242881362.00,WWW.GHCF.ORG,7133332200,2023,"THE MISSION OF THE GREATER HOUSTON COMMUNITY FOUNDATION (GHCF) IS EXPANDING PHILANTHROPIC IMPACT BY CONNECTING DONORS TO THE CAUSES THEY CARE ABOUT, PROVIDING EXCELLENT STEWARDSHIP OF ASSETS ENTRUSTED TO US, AND CONVENING RESOURCES TO ADDRESS IMPORTANT COMMUNITY NEEDS. THROUGH DONOR ADVISED FUNDS, FIELD OF INTEREST FUNDS, DESIGNATED FUNDS, GIVING CIRCLES, SCHOLARSHIP AND OTHER FUNDS ESTABLISHED BY INDIVIDUALS AND CORPORATIONS, GHCF MAKES GRANTS TO OTHER NONPROFIT ORGANIZATIONS THAT PROVIDE A VARIETY OF SERVICES TO THEIR COMMUNITIES. DONORS TO THESE FUNDS ARE PROVIDED WITH EDUCATIONAL OPPORTUNITIES RELATED TO PHILANTHROPY AND COMMUNITY NEEDS. A DATABASE OF NONPROFITS IS MAINTAINED FOR THE BENEFIT OF GHCF DONORS AND THE COMMUNITY AT LARGE. GHCF HAS PROVIDED A NEUTRAL PLATFORM FROM WHICH TO FACILITATE COLLABORATIVE EFFORTS TO ADDRESS SPECIFIC NEEDS IN THE COMMUNITY."
990261283,HAWAII COMMUNITY FOUNDATION,HI,HONOLULU,1018292508.00,270321822.00,WWW.HAWAIICOMMUNITYFOUNDATION.ORG,8085376333,2023,SEE STATEMENT 1
731554474,TULSA COMMUNITY FOUNDATION,OK,TULSA,942737761.00,329499026.00,WWW.TULSACF.ORG,9184948823,2023,TCF IS ORGANIZED AND OPERATED FOR CHARITABLE PURPOSES PRIMARILY FOR THE LONG TERM BENEFIT OF THE TULSA METROPOLITAN AREA AND EASTERN OKLAHOMA CHARITABLE CAUSES.
581723645,COMMUNITY FOUNDATION,TN,MEMPHIS,908669779.00,110784632.00,WWW.CFGM.ORG,9017284600,2023,"THE COMMUNITY FOUNDATION IS A PHILANTHROPIC ORGANIZATION THAT MANAGES CHARITABLE FUNDS WITH A BROAD BASE OF DONORS TO BENEFIT THE AREAS OF WESTERN TENNESSEE, EASTERN ARKANSAS, AND NORTHERN MISSISSIPPI. SINCE 1969, THE COMMUNITY FOUNDATION OF GREATER MEMPHIS HAS BEEN WORKING WITH DONORS, PROFESSIONAL ADVISORS, AND NONPROFITS TO HELP STRENGTHEN THE COMMUNITY THROUGH STRATEGIC PHILANTHROPY AND COMMUNITY GIVING."
460398115,SOUTH DAKOTA COMMUNITY FOUNDATION,SD,Pierre,886126970.00,69242401.00,www.sdcommunityfoundation.org,6052241025,2023,"SEE PART 1, LINE 1."
222743917,COMMUNITY FOUNDATION FOR GREATER BUFFALO,NY,BUFFALO,880132334.00,54971299.00,WWW.CFGB.ORG,7168522857,2023,"THE MISSION OF THE FOUNDATION IS CONNECTING PEOPLE, IDEAS AND RESOURCES TO IMPROVE LIVES IN WESTERN NEW YORK. THE FOUNDATION IS A PUBLIC CHARITY DEDICATED TO HELPING CLIENTS/DONORS MAKE THE MOST OF THEIR GENEROSITY. THE FOUNDATION MANAGES ENDOWED AND NON-ENDOWED FUNDS FOR INDIVIDUALS, FAMILIES AND ORGANIZATIONS AND IS CURRENTLY HOME TO OVER 1,100 NAMED FUNDS. CLIENTS/DONORS CHOOSE TO WORK WITH THE FOUNDATION BECAUSE OF THE FLEXIBILITY IT PROVIDES THEM WHEN ADVISING THEIR GIFTS, ITS SOUND MANAGEMENT OF CHARITABLE ASSETS AND ITS DEEP KNOWLEDGE OF COMMUNITY NEEDS AND GRANTMAKING. THE FOUNDATION ALSO ACTS AS A COMMUNITY LEADER AND CONVENER TO ADDRESS SPECIFIC NEEDS IN OUR REGION. THESE EFFORTS HAVE RESULTED IN SIGNIFICANT IMPROVEMENTS IN EDUCATIONAL ACHIEVEMENT, INCREASING RACIAL/ETHNIC EQUITY, IMPROVING OUR NATURAL ENVIRONMENT, CATALYZING URBAN REVITALIZATION AND STRENGTHENING THE CULTURAL ORGANIZATIONS THAT ANCHOR OUR COMMUNITY."
770528216,SKOLL FUND CO SILICON VALLEY COMMUNITY FOUNDATION,CA,Mountain View,867424730.00,32535459.00,WWW.SKOLL.ORG,6504555411,2023,"The Skoll Fund is a supporting organization associated with Silicon Valley Community Foundation. Together with the Skoll Foundation, a private foundation, its mission is to catalyze transformational social change by investing in, connecting, and championing social entrepreneurs and other social innovators who together advance bold and equitable solutions to the world's most pressing problems."
222281783,COMMUNITY FOUNDATION OF NEW JERSEY,NJ,MORRISTOWN,865093625.00,145893936.00,WWW.CFNJ.ORG,9732675533,2023,"TO CONNECT DONORS TO ORGANIZATIONS, ISSUES AND GEOGRAPHIC AREAS IMPORTANT TO THEM OVER TIME, TO PROVIDE LEADERSHIP AND SUPPORT TO DONORS, COMMUNITY ORGANIZATIONS, LEADERS AND FOUNDATIONS TO ACHIEVE THE ART OF LASTING PHILANTHROPY."
237024262,OKLAHOMA CITY COMMUNITY FOUNDATION INC,OK,OKLAHOMA CITY,857261413.00,77835583.00,WWW.OCCF.ORG,4052355603,2022,TO SERVE THE CHARITABLE NEEDS OF OUR DONORS AND THE OKLAHOMA CITY AREA THROUGH THE DEVELOPMENT AND ADMINISTRATION OF ENDOWMENTS AND OTHER CHARITABLE FUNDS WITH THE GOAL OF ENHANCING VALUE.
237009135,THE COMMUNITY FOUNDATION INC,VA,RICHMOND,800875567.00,119331194.00,WWW.CFRICHMOND.ORG,8043307400,2023,WE BRING PEOPLE TOGETHER TO TRANSFORM OUR COMMUNITY THROUGH INFORMED AND INSPIRED PHILANTHROPY.
521055743,ARKANSAS COMMUNITY FOUNDATION INC,AR,LITTLE ROCK,744463704.00,94928038.00,WWW.ARCF.ORG,5013721116,2023,"ARKANSAS COMMUNITY FOUNDATION ENGAGES PEOPLE, CONNECTS RESOURCES AND INSPIRES SOLUTIONS TO BUILD COMMUNITY."
010391479,Maine Community Foundation Inc,ME,Ellsworth,732240535.00,108670378.00,www.mainecf.org,2076679735,2023,The Maine Community Foundation brings people and resources together to build a better Maine.
066032106,THE COMMUNITY FOUNDATION FOR GREATER NEW,CT,NEW HAVEN,712043213.00,55299428.00,WWW.CFGNH.ORG,2037772386,2023,THE MISSION OF THE COMMUNITY FOUNDATION IS TO CREATE POSITIVE AND SUSTAINABLE CHANGE IN GREATER NEW HAVEN BY INCREASING THE AMOUNT AND ENHANCING THE IMPACT OF COMMUNITY PHILATHROPY.
330378778,ORANGE COUNTY COMMUNITY FOUNDATION,CA,IRVINE,688161320.00,167906641.00,WWW.OC-CF.ORG,9495534202,2023,TRANSFORMING OUR COMMUNITY'S HEARTFELT INTENTION INTO GREATER IMPACT FOR GOOD.
621471789,THE COMMUNITY FOUNDATION OF MIDDLE,TN,NASHVILLE,683009799.00,169682165.00,WWW.CFMT.ORG,6153214939,2023,"THE COMMUNITY FOUNDATION OF MIDDLE TENNESSEE, INC. (THE ""FOUNDATION"") IS A CHARITABLE ORGANIZATION WHOSE PURPOSE IS TO BE A LEADER, CATALYST, AND RESOURCE FOR PHILANTHROPY BY BUILDING AND HOLDING A PERMANENT AND GROWING ENDOWMENT FOR THE MIDDLE TENNESSEE COMMUNITY'S CHANGING NEEDS AND OPPORTUNITIES. THE FOUNDATION PROVIDES FLEXIBLE AND COST-EFFECTIVE WAYS FOR CIVIC-MINDED INDIVIDUALS, FAMILIES, AND COMPANIES TO CONTRIBUTE TO THEIR COMMUNITY. THE ASSETS OF THE FOUNDATION ARE DEVOTED TO CHARITABLE USES OF A PUBLIC NATURE PRIMARILY BENEFITING THE RESIDENTS OF MIDDLE TENNESSEE IN FIELDS SUCH AS SOCIAL SERVICES, EDUCATION, HEALTH, THE ENVIRONMENT, AND THE ARTS."
952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,CA,SAN DIEGO,671468910.00,172547847.00,WWW.JCFSANDIEGO.ORG,8582792740,2022,"TO COLLABORATE WITH INDIVIDUALS AND ORGANIZATIONS, AND LEVERAGE PHILANTHROPIC CAPITAL FOR POSITIVE IMPACT. TO COMBINE DONOR-DRIVEN PHILANTHROPY, INVESTING, AND EDUCATION WITH TRUSTED, PERSONALIZED SERVICE, ENABLING INDIVIDUALS AND ORGANIZATIONS TO EFFECTIVELY DEDICATE THEIR RESOURCES FOR MAXIMUM BENEFIT IN THE COMMUNITY."
411744184,CATHOLIC COMMUNITY FOUNDATION,MN,ST PAUL,666642788.00,75457779.00,WWW.CCF-MN.ORG,6513890300,2023,"THE MISSION OF THE CATHOLIC COMMUNITY FOUNDATION OF MINNESOTA IS TO SUPPORT FINANCIALLY THE SPIRITUAL, EDUCATIONAL, AND SOCIAL NEEDS OF OUR CATHOLIC COMMUNITY."
593001853,COMMUNITY FOUNDATION OF TAMPA BAY INC,FL,TAMPA,663874004.00,160041596.00,WWW.CFTAMPABAY.ORG,8132821975,2022,INSPIRING AND GROWING PHILANTHROPY AND CIVIC LEADERSHIP FOR MAXIMUM IMPACT IN LOCAL COMMUNITIES.
596150746,THE COMMUNITY FOUNDATION FOR,FL,JACKSONVILLE,655396947.00,104313293.00,JAXCF.ORG,9043564483,2023,WE SERVE THE CITIZENS OF NORTHEAST FLORIDA THROUGH A RANGE OF CHARITABLE AND CIVIC ACTIVITIES WHILE HELPING INDIVIDUALS ACHIEVE THEIR PHILANTHROPIC GOALS.
310997017,THE COMMUNITY FOUNDATION OF,KY,LOUISVILLE,642554528.00,143692154.00,WWW.CFLOUISVILLE.ORG,5025854649,2022,"TO MOBILIZE PEOPLE, NETWORKS, AND CAPITAL TO SPARK MEANINGFUL CHANGE IN AND BEYOND LOUISVILLE. WE CONNECT COMMUNITY RESOURCES AND RELATIONSHIPS TO RELEVANT CAUSES. THE FOUNDATION ADDRESSES A WIDE RANGE OF COMMUNITY ISSUES WITH A KEY PRIORITY TO ADVANCE RACIAL EQUITY AND OPEN OPPORTUNITY FOR ALL."
383333202,KALAMAZOO COMMUNITY FOUNDATION,MI,KALAMAZOO,639999796.00,40712525.00,HTTP://WWW.KALFOUND.ORG,2693814416,2023,"KALAMAZOO COMMUNITY FOUNDATION'S MISSION IS TO MOBILIZE PEOPLE, RESOURCES, AND EXPERTISE TO ADVANCE RACIAL, SOCIAL, AND ECONOMIC JUSTICE."
593649871,GIVEWELL COMMUNITY FOUNDATION INC,FL,LAKELAND,620895896.00,189521247.00,HTTP://WWW.GIVECF.ORG,8636833131,2023,"THE MISSION OF GIVEWELL COMMUNITY FOUNDATION IS TO CHAMPION CHARITABLE GIVING TO IMPROVE THE QUALITY OF LIFE IN THE AREAS WE SERVE, BOTH FOR NOW AND FOR FUTURE GENERATIONS."
751750059,CHRISTIAN COMMUNITY FOUNDATION INC,CO,COLORADO SPRINGS,616655526.00,263240053.00,WWW.WATERSTONE.ORG,7194474620,2023,"HONORING GOD THROUGH THE TRANSFORMATIONAL POWER OF GIVING, SERVING GIVERS AT THE INTERSECTION OF FAITH AND FINANCE, AND BUILDING THE KINGDOM BY TRANSFORMING ASSETS TO LIVING WATER."
946070996,EAST BAY COMMUNITY FOUNDATION,CA,OAKLAND,555507029.00,35927720.00,WWW.EBCF.ORG,5108363223,2022,"THE EAST BAY COMMUNITY FOUNDATION IS A LEADING RESOURCE FOR MOBILIZING RESOURCES AND COMMUNITY LEADERSHIP TO TRANSFORM THE LIVES OF PEOPLE IN THE EAST BAY WITH PRESSING NEEDS. WE HAVE IDENTIFIED TWO, INTER-RELATED ISSUES THAT CAN LEAD TO THIS TRANSFORMATION: SUPPORT FOR YOUNG CHILDREN TO SUCCEED WITH A FOCUS ON THE CRITICAL PERIOD FROM BIRTH TO THIRD GRADE, AND ENHANCING THE ECONOMIC OPPORTUNITIES FOR ADULTS AND FAMILIES, PARTICULARLY THOSE WITH SIGNIFICANT BARRIERS TO ACHIEVING EMPLOYMENT AND FINANCIAL STABILITY."
351793680,Central Indiana Community Foundation Inc,IN,INDIANAPOLIS,546807672.00,67778335.00,WWW.CICF.ORG,3176342423,2023,"TO MOBILIZE PEOPLE, IDEAS AND INVESTMENTS TO MAKE THIS A COMMUNITY WHERE ALL INDIVIDUALS HAVE EQUITABLE OPPORTUNITY TO REACH THEIR FULL POTENTIAL - NO MATTER PLACE, RACE OR IDENTITY."
237343119,Greater Washington Community Foundation,DC,WASHINGTON,530876833.00,99984918.00,www.thecommunityfoundation.org,2029555890,2023,WE ARE GALVANIZING A UNITED COALITION OF DONORS AND DOERS TO ADVANCE A BOLD VISION - GROUNDED IN ECONOMIC JUSTICE - THAT WILL GROW OPPORTUNITY AND SECURE PROSPERITY FOR ALL WHO CALL THIS REGION HOME.(CONTINUED ON SCHEDULE O)
741934031,AUSTIN COMMUNITY FOUNDATION INC,TX,AUSTIN,529456359.00,114740139.00,WWW.AUSTINCF.ORG,5124724486,2023,WE MOBILIZE IDEAS AND RESOURCES TO STRENGTHEN CENTRAL TEXAS.
470645958,Omaha Community Foundation,NE,Omaha,516359184.00,124836841.00,www.omahafoundation.org,4023423458,2023,To serve the community by cultivating generosity and strengthening nonprofits.
221714130,JEWISH COMMUNITY FOUNDATION OF GREATER METROWEST NJ,NJ,Whippany,514926770.00,68519465.00,www.jcfgmw.org,9739293000,2022,"THE MISSION OF JCF IS TO SERVICE THE CHARITABLE AIMS AND INTERESTS OF JCF DONORS BY GATHERING, INVESTING AND DISBURSING CHARITABLE FUNDS ON THEIR BEHALF AND ENCOURAGING ALLOCATION OF THESE MONIES TO ENHANCE AND ENSURE THE CONTINUITY OF CHARITABLE INSTITUTIONS DESIGNATED BY THE DONOR AND APPROVED BY THE JCF BOARD."
752267767,COMMUNITY FOUNDATION OF NORTH TEXAS (TAX,TX,FORT WORTH,513519962.00,86329351.00,WWW.NORTHTEXASCF.ORG,8178770702,2023,TO STRENGTHEN THE COMMUNITY THROUGH CIVIC LEADERSHIP AND TO ENCOURAGE PHILANTHROPY BY PROVIDING COMMUNITY KNOWLEDGE AND RELIABLE STEWARDSHIP TO THOSE WHO WISH TO FULFILL THEIR CHARITABLE GOALS IN A MEANINGFUL WAY--EITHER DURING OR BEYOND THEIR LIFETIMES.
391548450,COMMUNITY FOUNDATION FOR THE FOX VALLEY,WI,APPLETON,502430788.00,50139028.00,WWW.CFFOXVALLEY.ORG,9208301290,2023,WE STRENGTHEN OUR COMMUNITY FOR CURRENT AND FUTURE GENERATIONS BY HELPING PEOPLE MAKE A DIFFERENCE IN THE LIVES OF ALL.
542035996,HAMPTON ROADS COMMUNITY FOUNDATION,VA,NORFOLK,499976716.00,22135120.00,WWW.HAMPTONROADSCF.ORG,7576227951,2023,"MAKE LIFE BETTER IN HAMPTON ROADS THROUGH LEADERSHIP, PHILANTHROPY, AND CIVIC ENGAGEMENT."
237250641,ROCHESTER AREA COMMUNITY FOUNDATION,NY,ROCHESTER,490582295.00,47939929.00,WWW.RACF.ORG,5852714100,2023,TO BUILD A PERMANENT COMMUNITY ENDOWMENT THAT MEETS THE CURRENT AND CHANGING NEEDS OF THIS REGION THROUGH CREATIVE AND EFFECTIVE PHILANTHROPY.
591052433,GULF COAST COMMUNITY FOUNDATION INC,FL,VENICE,482820352.00,54435281.00,WWW.GULFCOASTCF.ORG,9414864600,2023,"TOGETHER WITH OUR DONORS, WE TRANSFORM OUR REGION THROUGH BOLD AND PROACTIVE PHILANTHROPY."
237290968,COMMUNITY FOUNDATION OF THE OZARKS INC,MO,SPRINGFIELD,479855535.00,57707211.00,WWW.CFOZARKS.ORG,4178646199,2023,"THE COMMUNITY FOUNDATION OF THE OZARKS MISSION IS TO ENHANCE THE QUALITY OF LIFE THROUGH RESOURCE DEVELOPMENT, COMMUNITY GRANTMAKING, COLLABORATION, AND PUBLIC LEADERSHIP."
591956886,THE COMMUNITY FOUNDATION OF SARASOTA CO,FL,SARASOTA,464554636.00,80655057.00,WWW.CFSARASOTA.ORG,9419553000,2023,COMMUNITY IMPACT POWERED BY PHILANTHROPY.
311255886,COMMUNITY FOUNDATION,IN,ELKHART,461316930.00,58848264.00,WWW.INSPIRINGGOOD.ORG,5742958761,2023,TO IMPROVE THE QUALITY OF LIFE IN ELKHART COUNTY BY INSPIRING GENEROSITY
581661700,NORTH CAROLINA COMMUNITY FOUNDATION,NC,RALEIGH,459056537.00,47936678.00,WWW.NCCOMMUNITYFOUNDATION.ORG,9198284387,2023,OUR MISSION IS TO INSPIRE NORTH CAROLINIANS TO MAKE LASTING AND MEANINGFUL CONTRIBUTIONS TO THEIR COMMUNITIES. (SEE SCHEDULE O)
382877959,GRAND RAPIDS COMMUNITY FOUNDATION,MI,GRAND RAPIDS,446007139.00,27886402.00,WWW.GRFOUNDATION.ORG,6164541751,2023,OUR MISSION IS TO BUILD AND MANAGE OUR COMMUNITY'S PERMANENT ENDOWMENT AND LEAD THE COMMUNITY TO STRENGTHEN THE LIVES OF ITS PEOPLE.
561223384,THE COMMUNITY FOUNDATION,NC,ASHEVILLE,434889192.00,25935032.00,WWW.CFWNC.ORG,8282544960,2023,THE COMMUNITY FOUNDATION OF WESTERN NORTH CAROLINA PROMOTES AND EXPANDS REGIONAL PHILANTHROPY AND DEVELOPS LOCAL FUNDS THAT ADDRESS CHANGING NEEDS AND OPPORTUNITIES IN THE 18 COUNTIES OF WESTERN NORTH CAROLINA.
431758789,ST LOUIS COMMUNITY FOUNDATION INC,MO,ST LOUIS,421179395.00,90297138.00,WWW.STLGIVES.ORG,3145888200,2023,"TO IMPROVE THE QUALITY OF LIFE IN THE GREATER ST LOUIS METROPOLITAN AREA BY CONNECTING INDIVIDUALS, FAMILIES, AND BUSINESSES TO THEIR PHILANTHROPIC GOALS."
150626910,CENTRAL NEW YORK COMMUNITY FOUNDATION,NY,SYRACUSE,389455496.00,34290952.00,WWW.CNYCF.ORG,3154229538,2022,"OUR MISSION IS TO FOSTER A THRIVING AND EQUITABLE CENTRAL NEW YORK REGION BY LEADING AND INSPIRING A COMMUNITY CULTURE OF GIVING, CELEBRATING LEGACY AND STEWARDING CHARITABLE RESOURCES FOR TODAY AND TOMORROW."
237390313,COASTAL COMMUNITY FOUNDATION,SC,N CHARLESTON,389376801.00,58989034.00,WWW.COASTALCOMMUNITYFOUNDATION.ORG,8437235736,2023,"THE FOUNDATION'S PURPOSE IS TO HELP CREATE VIBRANT COMMUNITIES BY UNITING PEOPLE AND INVESTING RESOURCES. THE FOUNDATION OFFICIALLY SERVES NINE COASTAL COUNTIES - BEAUFORT, BERKELEY, CHARLESTON, COLLETON, DORCHESTER, GEORGETOWN, HAMPTON, HORRY, AND JASPER. THE FOUNDATION ADMINISTERS MORE THAN 800 INDIVIDUAL FUNDS, EACH ESTABLISHED WITH AN INSTRUMENT OF GIFT DESCRIBING EITHER THE GENERAL OR SPECIFIC PURPOSES FOR WHICH GRANTS ARE TO BE MADE. THE FOUNDATION'S WORK IS CARRIED OUT THROUGH ITS DEVELOPMENT & STEWARDSHIP AND GRANTMAKING & COMMUNITY LEADERSHIP EFFORTS."
840920862,Rose Community Foundation,CO,Denver,386893743.00,42222956.00,www.rcfdenver.org,3033987400,2023,"SEE SCHEDULE O. Rose Community Foundation strives to advance inclusive, engaged and equitable Greater Denver communities through values-driven philanthropy. The Foundation envisions a thriving region strengthened by its diversity and generosity, and it utilizes the varied tools at its disposal grantmaking, advocacy and philanthropic services to advance this aspiration. Since its founding in 1995, the Foundation has granted more than $405 million to over 2,000 organizations and initiatives, including $74 million in facilitated grantmaking from donor-advised funds. The Foundation also supports nearly 100 nonprofit organizations in creating and growing endowments to sustain their vital work into the future, currently stewarding $73 million in endowed assets. The Foundation has $396 million in total assets under management and deployed more than $30 million in discretionary, restricted and donor-advised grants in 2023."
941615897,COMMUNITY FOUNDATION FOR MONTEREY COUNTY,CA,MONTEREY,380129927.00,85155926.00,WWW.CFMCO.ORG,8313759712,2023,TO INSPIRE PHILANTHROPY AND BE A CATALYST FOR STRENGTHENING COMMUNITIES THROUGHOUT MONTEREY COUNTY.
911246778,Community Foundation for SW Washington,WA,Vancouver,379675532.00,12440734.00,WWW.CFSWW.ORG,3606942550,2023,"THE FOUNDATIONS MISSION IS TO INSPIRE A CULTURE OF GIVING TO CREATE A VIBRANT AND ENGAGED COMMUNITY. SINCE OUR FOUNDING IN 1984, WE HAVE GRANTED MORE THAN $302 MILLION."
340943665,STARK COMMUNITY FOUNDATION,OH,CANTON,372413705.00,40791835.00,WWW.STARKCF.ORG,3304543426,2023,"WE PARTNER WITH INDIVIDUALS, FAMILIES, BUSINESSES AND NONPROFITS TO HELP THEM ACHIEVE THEIR CHARITABLE GOALS."
256032032,ERIE COMMUNITY FOUNDATION,PA,ERIE,364098561.00,33733321.00,ERIECOMMUNITYFOUNDATION.ORG,8144540843,2023,"THE ERIE COMMUNITY FOUNDATION WORKS TO IMPROVE THE QUALITY OF LIFE FOR ALL IN OUR REGION BY EVALUATING AND ADDRESSING COMMUNITY ISSUES, BUILDING PERMANENT CHARITABLE ENDOWMENTS, AND BY PROMOTING PHILANTHROPIC AND COMMUNITY LEADERSHIP."
222712160,THE VERMONT COMMUNITY FOUNDATION,VT,MIDDLEBURY,358219150.00,52792202.00,WWW.VERMONTCF.ORG,8023883355,2023,THE VERMONT COMMUNITY FOUNDATION HELPS TO BUILD PHILANTHROPIC RESOURCES TO SUSTAIN HEALTHY AND VITAL VERMONT COMMUNITIES. THE FOUNDATION CONNECTS AND MOBILIZES PEOPLE THROUGH GIVING TO MULTIPLY THE IMPACT OF PHILANTHROPY.
582381589,COMMUNITY FOUNDATION OF THE,GA,COLUMBUS,349038349.00,43424174.00,WWW.CFCV.COM,7063200027,2023,"THE COMMUNITY FOUNDATION OF THE CHATTAHOOCHEE VALLEY ENABLES AND PROMOTES PHILANTHROPY THAT INSPIRES, FACILITATES AND FOSTERS A VIBRANT AND ENGAGED CHATTAHOOCHEE VALLEY."
222804785,DELAWARE COMMUNITY FOUNDATION INC,DE,WILMINGTON,346147169.00,32192970.00,WWW.DELCF.ORG,3025718004,2023,OUR MISSION IS TO STRENGTHEN DELAWARE BY MAXIMIZING COMMUNITY-BASED PHILANTHROPY.
