email,first_name,company,state,website
aromasfresno@gmail.com,,Aromas,CA,https://aromasfresno.com/
asccatering@aspensnowmass.com,,Elk camp,0,https://www.aspensnowmass.com/visit/dining/snowmass/elk-camp
ASHLEY@GLENELLENSTAR.COM,,Glen Ellen Star,CA,https://glenellenstar.com/
asiathaisushi2019@gmail.com,,Kin D Thai and Sushi,CT,https://www.kin-dthaiandsushi.com
askus@fountainheadhotels.com,,Zach's Restaurant & Express Room Lounge,0,https://www.fountainheadhotels.com/sophie-station-dining.html
askus@nokealoha.com,,No Ke Aloha,CO,https://www.nokealoha.com/
aspeninfo@clarksoysterbar.com,,Clark's Oyster Bar,CO,https://clarksaspen.com/
astiditalia@gmail.com,,Asti D'Italia,CO,https://www.astiditalia.com/
astigma@astigmatic.com,,Grand Asia,CA,https://grandasia-riverbank.com/
asyluminjerome@gmail.com,,Asylum Restaurant,AZ,https://www.asyluminjerome.com/
atownpizza7575@gmail.com,,A-Town Pizza and Kabob House,CA,https://www.atownpizza.com/Default.aspx
atwatervillage@yunomihandroll.com,,Yunomi Handroll,0,https://yunomihandroll.com/
avleenkaur868@gmail.com,,New Star Indian Cuisine,CA,https://starindiancuisineca.com/
axumrestaurant@yahoo.ca,,Axum Ethiopian,0,https://www.axumrestaurant.ca/
azay.littletokyo@gmail.com,,Azay,CA,https://www.azaylittletokyo.com/
azcheesenstuff@gmail.com,,Cheese 'N Stuff Deli,AZ,http://cheesenstuffdeli.com/
azindiaoven@gmail.com,,India Oven,AZ,https://azindiaoven.com
babadi@renatascafe.com,,Renata's Cafe Italiano,0,https://www.renatascafe.com/
Baci@BaciCafeandWineBar.com,,Baci Cafe & Wine Bar,CA,http://bacicafeandwinebar.com/
backporchcafe@gmail.com,,Backporch Cafe,CO,http://thebackporchcafe.com/
bagel2@yahoo.com,,The Bagel Shack,0,https://thebagelshack.com/
bahaburger@gmail.com,,Baha Burger,AL,https://bahaburger.com/
baja_taco@yahoo.com,,Baja Taco,AK,https://bajatacoak.com/
bajacafetucson@gmail.com,,Baja Cafe,AZ,https://www.bajacafetucson.com/
bakeawishbywalter@gmail.com,,Bake A Wish By Walter,0,http://www.bakeawishbywalter.com/
baked@xyz.net,,Two Sisters Bakery & Cafe,AK,https://twosistersbakery.net
bakeyourdaysb@gmail.com,,Bake Your Day SB,0,http://www.bakeyourdaysb.com/
bananaleafla@gmail.com,,Banana Leaf,0,https://bananaleafla.com/
Bangkokhousesf@gmail.com,,Bangkok House,CA,https://bangkokthaisf.com/
banhmizon.foodtruck@gmail.com,,Bahn Mi Zon,CA,https://www.banhmizonus.com/
banquet.mkst@gmail.com,,Market Street Blade & Barrel,CA,https://marketstreetbladeandbarrel.com/
banquets@thewarehouserestaurant.com,,The Warehouse Restaurant and Gallery,CO,https://www.thewarehouserestaurant.com/
Banzaifresno@gmail.com,,Banzai Japanese Bar & Kitchen,CA,http://www.banzaifresno.com/
baosuachinese@hotmail.com,,Bao Su a Chinese Cuisine,CA,https://bao-su-a-chinese-cuisine.square.site
barbarycoastct@gmail.com,,Barbary Coast,0,http://barbarycoastct.com
barracudanewhaven@gmail.com,,Barracuda,0,https://www.barracudanewhaven.com/
barrel33ventura@icloud.com,,Barrel 33,CA,https://barrel33.squarespace.com/
bartbryant@att.net,,Gadwall's Grill,0,https://gadwallsgrillnlr.com
bawarchidenver@gmail.com,,Bawarchi Biryani Point,CO,https://www.bawarchidenver.com/
bbcm@bbcmcafe.com,,"The Butcher, The Baker, and The Cappuccino Maker",CA,https://www.bbcmcafe.com
bbfc-it@bahamabucks.com,,Bahama Buck’s,AZ,https://bahamabucks.com/shop/tucson/
bcleary@kokomosrestaurant.com,,Kokomo's Restaurant & Beach Bar,CT,https://www.kokomosrestaurant.com/
bd@grubhub.com,,0,0,https://www.allmenus.com/ca/san-diego/26682-sushi-house-japanese-restaurant/menu
beachcitiessocial@gmail.com,,Beach Cities Social,0,https://beachcitiessocialrb.com/
beachpitbbq@gmail.com,,Smoqued BBQ,CA,https://beachpitbbq.com/
beccastofac@comcast.net,,Teocali Tamale,0,https://www.teocallitamale.com/
beer@draughtsmenaleworks.com,,Mosaic Locale,CA,https://www.mosaiclocale.com/
beesbakeryoakhurst@gmail.com,,Bee’s Bakery Cafe,0,https://www.beesbakerycafe.com/
beisushiexpress@gmail.com,,Bei Express,AZ,https://www.beiexpress.com/
bellapaniniinc@gmail.com,,Bella Panini,CO,https://www.bellapanini.com
bellasiena127@gmail.com,,Bella Siena,0,https://www.bellasienarestaurant.com
ben@sushiloungesd.com,,Sushi Lounge,CA,https://sushiloungesd.com/encinitas-encinitas-sushi-lounge-encinitas-website-and-platform-locations
ben@wildroseeatery.com,,Wild Rose,CA,https://www.wildroseeatery.com/
bennett@eatgoodstuff.com,,Good Stuff,0,https://eatgoodstuff.com/
bentopeak4724@gmail.com,,Bento Peak,0,https://bentopeak.com
berkeley@5tacos.com,,5 Tacos & Beers,CA,https://www.5tacos.com/location/berkeley/
bernalheightspizzeria@gmail.com,,Bernal Heights Pizzeria,0,https://www.bernalheightspizzeria.com/
berrygreensacai@gmail.com,,Berry Greens Juice Bar,AZ,https://www.berrygreens.com/
bestbrew@sedona.net,,Oak Creek Brewing Company,AZ,https://oakcreekbrew.com/
bestchefrestaurant@gmail.com,,Parma Trattoria & Mozzarella Bar,CO,https://parmamozzarellabar.com/
bestmexicanfood@hotmail.com,,El Dorado Mexican Restaurant,CO,http://www.goldenmexicanfood.com
beth@thenuggetrestaurant.com,,The Nugget Restaurant,0,https://thenuggetrestaurant.com/
betosbistro@gmail.com,,Beto's Italian Bistro,0,https://betosbistro.com
betty@bettyburgers.com,,Betty Burgers,CA,https://bettyburgers.com/
beverly.eskew@gmail.com,,Spade & Spatula-Ca. Gastropub,0,https://www.spadespatula-cagastropub.com/
beverlysoontofu@gmail.com,,Beverly Soon Tofu Restaurant,0,https://www.beverlysoontofu.com/
bewine501@live.com,,Dynasty,0,http://www.bigbeardynasty.com
bfinn@goldhillinn.com,,Gold Hill Inn,0,https://www.goldhillinn.com/
bheath@imcmv.com,,LandShark Bar & Grill - Myrtle Beach,SC,https://myrtlebeach.landsharkbarandgrill.com/
bigjohnshq@gmail.com,,Big John’s BBQ and Company,AL,https://www.bigjohnsbbqandco.com/
bill@rizzutos.com,,Rizzuto's Oyster Bar & Restaurant,0,https://www.rizzutos.com/
billscafe@gmail.com,,Bill's Cafe,CA,https://www.billscafe.com/locations/kooser-road/
biminisoyster@gmail.com,,Bimini's Oyster Bar & Seafood Market,SC,http://www.biminisoysterbar.com/
birchandalderak@gmail.com,,Birch & Alder,AK,https://birchandalder.com
birdandjim@birdandjim.com,,Bird and Jim,0,https://www.birdandjim.com/
birmingham@bricktops.com,,BrickTop's,0,https://bricktops.com/birmingham
biryanihunterusa@gmail.com,,Biryani Hunter,CA,https://biryanihunter.com/
biryanispotusa@gmail.com,,Biryani Spot,CA,https://biryanispotusa.com/
bistro317owner@gmail.com,,Bistro 317,CO,https://www.bistro317.com/
BistroMoulinMonterey@gmail.com,,Bistro Moulin,0,https://www.bistromoulin.com/
bistrostmichael2001@gmail.com,,Bistro St. Michael,AZ,https://bistrostmikes.com/
bitargroupmh@gmail.com,,Milk & Honey Tapas,CA,https://milknhoneytapas.com/
bitargrouppalace@gmail.com,,The Palace Grill,CA,https://palacegrill.com/
black9@qq.com,,Caribbean Taste,CA,https://caribbeantaste.top
blackbookbar@gmail.com,,Blackbook,CA,https://www.blackbookbar.com
blackwoodeatery@gmail.com,,Blackwood,CA,https://www.blackwoodsf.com
blueagavegrillcolorado@gmail.com,,Blue Agave Grill,CO,https://ftcollins.blueagavegrillcolorado.com/
bluemooseatbreck@gmail.com,,Blue Moose,CO,https://www.bluemooseatbreck.com/
bluepheasantresturant@yahoo.com,,Blue Pheasant,CA,https://www.thebluepheasant.com/
blueroofbistro@gmail.com,,Blue Roof Bistro,0,https://www.blueroofbistro.com
bob@chicagohamburger.com,,Chicago Hamburger Co.,AZ,https://chicagohamburger.com/
Bobaholic602@gmail.com,,Bobaholic Milk Tea Lounge,AZ,https://www.ilovebobaholic.com/
bobbyperdana48@gmail.com,,Siam Orchid,CA,https://www.siamorchidca.com/
BocaRaton.FL@MyLittleGreek.com,,Little Greek Fresh Grill- Boca Raton,FL,https://littlegreekfreshgrill.com/store/boca-raton/
BOH@Labodeguita.com,,La Bodeguita Del Medio,0,https://www.labodeguita.com/
bombaypizzahouse@gmail.com,,Bombay Pizza House,CA,https://www.bombaypizzahouse.com/
Bonapizzasj@gmail.com,,Bona Pizza,0,https://mybonapizza.com/
bonezCBevents@gmail.com,,Bonez,CO,https://www.bonez.co
bonfirektap@gmail.com,,Bonfire Craft Kitchen and Tap House,AZ,https://www.bonfirektap.com/
Booking.FreshBrewedMB@gmail.com,,Fresh Brewed Coffee House,SC,https://freshbrewedmb.org/
booking@nautilustavern.com,,The Nautilus Tavern,0,https://nautilustavern.com
booking@sohosb.com,,Soho Restaurant & Music Club,CA,https://www.sohosb.com/
booking@stikineinn.com,,Stikine Inn and Restaurant,0,http://stikineinn.com
booktacoselhuequito@gmail.com,,Tacos El Huequito,CO,http://tacoselhuequito.com/
boranthaila@gmail.com,,Boran,0,http://boranthai.com/
boulder@vitalitybowls.com,,Vitality Bowls,0,https://vitalitybowls.com/locations/boulder/
boxofficesales@casinoaz.com,,Tash,0,https://talkingstickresort.com/dining/tash/
boye0597@163.com,,Newington Pizza & Restaurant,CT,http://www.newingtonpizza.com
brandon@brodysburgers.com,,Brody's Burgers and Beer,CA,https://www.brodysburgers.com
BrassAnvilCarbondale@gmail.com,,Brass Anvil,CO,https://www.brassanvilcarbondale.com/
braziliancoffeerestaurant@gmail.com,,Brazilian House & Restaurant Goiano,0,https://temperogoiao-braziliancoffeehouserestaurant.com/home/
breaderycb@gmail.com,,Breadery CB,CO,https://www.breaderycb.com
breckalehouse23@gmail.com,,Breckenridge Ale House & Pizza,CO,https://www.breckenridgealehouse.com/
brenda@dirtwatersprings.com,,Dirtwater Springs,AZ,https://www.dirtwatersprings.com/
brendaasaro17@gmail.com,,Cafe 67,CA,https://cafe67usa.com/
brendans101@gmail.com,,Brendan's 101,CT,https://www.brendans101.com/
brentwood@sugarfishsushi.com,,Sugarfish by Sushi Nozawa,CA,https://sugarfishsushi.com/our-locations/brentwood/
brian@blueagavemexicancantina.com,,Blue Agave,AZ,https://www.blueagavemexicancantina.com/
brian@cherne.net,,Panchitos,0,https://www.panchitosrestaurant.com/
brittany@oldcustomhouse.com,,The Oyster Loft,0,https://oysterloft.com/
BrLang@aol.com,,Healthy Food Factory (Shared-Use Commercial Commissary Kitchen),FL,http://www.healthyfoodfactory.com/
brooklynsfinestpizzeria@gmail.com,,Brooklyn's Finest Pizza,CO,https://sbroadway.brooklynsfinestpizza303.com/
brophybrotherssantabarbara@gmail.com,,Brophy Bros.,CA,https://www.brophybros.com/
brothersalliedgardens@gmail.com,,Brothers Family Resturaunt,CA,https://brothersalliedgardens.com/
bthibodeaux@bloominbrands.com,,Bonefish Grill,AL,https://locations.bonefishgrill.com/alabama/huntsville/4800-whitesburg-drive-s.
BuaDeOro@gmail.com,,Los Compadres Taqueria,0,https://www.lctaqueria.com/
burak@spassosc.com,,Spasso,CA,https://spassosc.com/
burbank@doghaus.com,,Dog Haus,CA,https://doghaus.com/location/burbank/
burbank@islandsrestaurants.com,,Islands,0,https://www.islandsrestaurants.com/locations/burbank
burgers@proudlyservingla.com,,Proudly Serving,0,https://proudlyservingla.com/
BurmaRoots@gmail.com,,Burma Roots,CA,https://burmarootssj.com/
burmaspicerwc@gmail.com,,Burma Spice,CA,https://burmaspicerwc.com/
bursa415@yahoo.com,,Bursa,CA,https://bursasf.com/
business@northerncafe.us,,Northern Cafe,0,https://www.northerncafe.us/
butcherblockcafe@gmail.com,,Butcher Block Cafe,CO,http://block.buffalodyl.com/
C00582@chilis.com,,Chili's,AZ,https://www.chilis.com/locations/us/arizona/phoenix/deer-valley
C00896@chilis.com,,Chili's,CA,https://www.chilis.com/locations/us/california/victorville/victorville
C01343@chilis.com,,Chili's,CT,https://www.chilis.com/locations/us/connecticut/windsor/windsor
cafe@benthaisf.com,,Ben Thai Cafe,CA,https://www.benthaicafe.com/
cafebrasilusa@gmail.com,,Cafe Brasil,CA,https://www.cafebrasil.us/
cafeindiavisalia@icloud.com,,Cafe India Cuisine Visalia,CA,https://www.cafeindia559.com
cafeluckgai@gmail.com,,Luck Gai Cafe,0,http://luckgai.com
caferae1@aol.com,,Cafe Rae,0,https://www.caferae.com/
cafesylvains@gmail.com,,Sylvain's Café,0,http://www.sylvainscafe.com/
caffenoorsimi@gmail.com,,Caffe Noor,CA,https://caffenoorrestaurant.com
cairosgyros@gmail.com,,Cairo's Gyros,AZ,https://www.cairosgyrosllc.com/
cakedepartie@gmail.com,,Cake de Partie,CA,https://cakedepartie.com
cakesdsabores@gmail.com,,Cakes D' Sabores,0,https://cakesdsabores.com/
cakestanddesserts@gmail.com,,Cake Stand Desserts,FL,https://www.cakestanddesserts.com/
camarcous@gmail.com,,Ca' Marco Ristorante Italiano,0,https://www.camarcoojai.com/
career-foh@kazunorisushi.com,,KazuNori,0,https://www.handrollbar.com/
Carey@TheMogul.com,,The Mogul,0,http://themogul.com/
carmelitastq@gmail.com,,Carmelita's Taqueria,CA,https://carmelitastq.square.site/
Carmelo@counselofmarketers.com,,New York Pizza and Grill,CA,https://www.newyorkpizzagrillmenu.com
carmines@carminesonpenn.net,,Little Carmine's,CO,https://carminescolorado.com/
carnitaspurepecha@yahoo.com,,Carnitas Purepecha,CA,https://carnitaspurepecha.com/
caroline.o@capstoneusallc.com,,Musashiya,CA,https://www.musashiyasd.com
caseyspizza@gmail.com,,Casey's Pizza,0,https://caseyspizzas.square.site/
casushi337@gmail.com,,California Sushi,CA,http://californiasushibar.com/
CatalinaLobsterTrap@gmail.com,,The Lobster Trap,CA,http://www.catalinalobstertrap.com/
cater@avocadohaven.com,,Avocado Haven Mexican Fresh,0,https://www.avocadohaven.com/
cater@coconutsinpaloalto.com,,Coconuts-Carribean & Jamican Jerk,CA,https://coconutspaloalto.com/
cater@smackngg.com,,SMACK'N Guamanian Grill,CA,https://www.smackngg.com/
cateredevents@smokingpigbbq.net,,Smoking Pig BBQ Company,0,https://www.smokingpigbbq.net/
catering@bayshoretaqueria.com,,Bayshore Taqueria,CA,https://bayshoretaqueria.com/
catering@bytetobite.com,,Burger Bitch,CA,https://www.burgerbitch.net/
catering@califchickencafe.com,,California Chicken Cafe,CA,https://www.califchickencafe.com/
catering@cookandcraftaz.com,,Cook & Craft,AZ,https://cookandcraftaz.com/
Catering@eastlostacoscorp.com,,East Los Tacos,0,http://eastlostacoscorp.com
catering@eatnopalitos.com,,Nopalito's,CO,https://nopalitosboulder.com/
catering@eatpanino.com,,Panino,CA,https://www.eatpanino.com/
Catering@ElijahsRestaurant.com,,Elijah's Restaurant & Catering,0,www.elijahsrestaurant.com
catering@elpolloguapo.com,,El Pollo Guapo,CT,https://www.elpolloguapo.com
catering@espostos.com,,Esposto's Borel Deli,CA,http://www.espostos.com/
Catering@GeorgiaBoys.com,,Georgia Boys BBQ,CO,https://georgiaboys.com
catering@gogobop.com,,Gogobop Korean Rice Bar,CA,https://www.gogobop.com/location/gogobop-koreatown/
catering@kasaindian.com,,Kasa,0,https://kasaindian.com
catering@lulusmexicanfood.com,,Lulu's,0,https://www.lulusmexicanfood.com/
catering@madgreens.com,,Mad Greens,0,https://www.madgreens.com/
catering@matsuhisabeverlyhills.com,,Matsuhisa,CA,https://matsuhisabeverlyhills.com/
Catering@McDevittTacoSupply.com,,McDevitt Taco Supply,0,https://www.mcdevitttacosupply.com/
catering@oasisgrill.com,,Oasis Grill,0,https://oasisgrill.com/
Catering@oldsanluisbbq.com,,Old San Luis BBQ Co,CA,https://oldsanluisbbq.com/
catering@onenhalf.com,,Poki One N Half,CA,https://www.onenhalf.com/
catering@ottavio.com,,Ottavio's Italian Restaurant,CA,https://www.ottavio.com
catering@pastajays.com,,Pasta Jay's,0,https://pastajays.com/locations/boulder/
catering@pineandcrane.com,,Joy,CA,https://www.joyonyork.com/
catering@pizzatimecaffe.com,,Pizza Time Caffe,0,http://www.pizzatimecaffe.com/
catering@pizzeriamarzano.com,,Pizzeria Marzano,CT,http://pizzeriamarzano.com
catering@postoakdenver.com,,Post Oak BBQ,CO,https://www.postoakdenver.com/
catering@someburros.com,,Someburros,AZ,https://someburros.com/
Catering@SPBHospitality.com,,Logan's Roadhouse,AL,https://logansroadhouse.com/
catering@tacoshore.com,,Taco Shore,0,https://tacoshore.com/
catering@www.ontheborder.com,,On The Border,0,https://www.ontheborder.com/
catering@zareensresturant.com,,Zareen's,CA,https://www.zareensrestaurant.com/
catering-orders@underdogscantina.com,,Underdogs Cantina,CA,https://underdogscantina.com/
catering-orders@underdogstres.com,,Underdogs Tres,0,https://underdogstres.com/
cava@tostadasprime.com,,Tostadas Prime,CA,https://www.tostadasprime.com/
ccp1455@yahoo.com,,Chennai Chettinaad Palace,AZ,http://www.chennaichettinaadpalace.com
cecilia@frenchsoulfood.com,,Brenda's French Soul Food,CA,https://www.frenchsoulfood.com
celebrate@grillatpointpinos.com,,The Grill at Point Pinos,0,https://www.grillatpointpinos.com/
centurydragonbb@gmail.com,,Century Dragon,0,https://www.centurydragonmagnolia.com/
ceo@zoemama.com,,Zoe Ma Ma,CO,http://zoemama.com
cerritos@islandsrestaurants.com,,Islands,0,https://www.islandsrestaurants.com/locations/cerritos-towne-center
cesarpiedmont@gmail.com,,Bar César,0,https://www.barcesar.com/
cffoodkitchen@yahoo.com,,CF Food Kitchen,CA,https://cffoodkitchen.com/
cfuentes@someburros.com,,Someburros,AZ,https://someburros.com/locations/
chaatbhavancatering@gmail.com,,Chaat Bhavan Express,0,https://www.chaatbhavan.com/location/chaat-bhavan-express/
chaatsncurrys@gmail.com,,Chaats and Curry,CA,https://www.chaatsandcurrys.com/chaatsandcurrys.html
chantaj123@yahoo.com,,Simi Thai Cuisine,CA,https://www.simithaicuisine.com
chantal@carmelbelle.com,,Carmel Belle,0,https://carmelbelle.com/
chantel.olivios@gmail.com,,Olivios Trattoria,CA,https://www.oliviostrattoriasimivalley.com
chaodownpoki@gmail.com,,Chao Down Poki,CA,https://chaodownpoki.com
charlie@futurereference.co,,Blue Line Pizza,CA,https://bluelinepizza.com/
cheers@alehousegj.com,,Ale House,CO,https://alehousegj.com/
cheers@thefamilyjones.co,,Family Jones Spirit House,CO,https://thefamilyjones.co
cheers@yellowbellytap.com,,Yellow Belly Tap,CA,https://www.yellowbellytap.com
chefghini@ghiniscafe.com,,Ghini's French Caffe,AZ,http://ghiniscafe.com/
chefmarcus@jmarcinc.com,,West Of Orleans,CA,https://westoforleans.com
Chefmendez35@gmail.com,,Chef Sergio's Kitchen,AZ,https://sergioskitchen.com
Chelseasbarbooking@gmail.com,,Chelsea's Corner Cafe,AR,https://chelseascafeeureka.com/
