foundation_ein,foundation_name,state,website_url,total_assets,annual_giving,total_grants_made,pf_to_pf_grant_count,pf_to_pf_total_amount,ca_grant_count,veteran_grant_count,veteran_grant_amount,target_grant_count,lasso_score,open_to_applicants,gives_in_ca,funds_pfs,latest_tax_year,source,known_funder,filter_passes,failed_filters,description,phone,app_contact_email,app_contact_name
131635303,RUSSELL SAGE FOUNDATION,NY,WWW.RUSSELLSAGE.ORG,466906661,5382138,946,32,968851,176,1,49994,0,,True,True,True,2023,keyword,False,3,,PUBLICATION SALES,2127506000,PROGRAMS@RSAGE.ORG,RSF PROGRAMS DEPT
201115566,COLUMBIA BANK FOUNDATION,NJ,HTTPS://WWW.COLUMBIABANKONLINE.COM/ABOUT-US,53992779,1930873,3025,30,50775,9,23,49850,0,,True,True,True,2023,keyword,False,3,,,2017945629,,COLUMBIA BANK FOUNDATION
436064859,EWING MARION KAUFFMAN FOUNDATION,MO,WWW.KAUFFMAN.ORG,2409622579,58134185,2465,30,32429876,105,13,1263030,0,,True,True,True,2023,keyword,False,3,,,8169321000,,EWING MARION KAUFFMAN FOUNDATION
381359217,THE KRESGE FOUNDATION,MI,WWW.KRESGE.ORG,4065070521,96522863,4484,25,7193925,514,4,575000,0,,True,True,True,2023,keyword,False,3,,,2486439630,GRANTSMANAGEMENT@KRESGE.ORG,THE KRESGE FOUNDATION
383681796,CARMAX FOUNDATION,VA,FOUNDATION.CARMAX.COM,6642085,6761964,8943,25,21407,1121,1,5000,0,,True,True,True,2024,keyword,False,3,,GIVING PORTAL FEES,8047470422,KMXFOUNDATION@CARMAX.COM,CARMAX FOUNDATION MANAGER
810465899,First Interstate BancSystem Foundation,MT,firstinterstatebank.com,20270202,3991939,4539,25,50519,5,1,250,0,,True,True,True,2024,both,False,3,,Unrealized Gain,4062555302,Foundation@fib.com,Amberly Pahut Exec Director
943362163,THE DUFFIELD FAMILY FOUNDATION,CA,WWW.MADDIESFUND.ORG,266741354,8109411,2821,24,290671,480,5,15700,0,,True,True,True,2023,keyword,False,3,,MISCELLANEOUS INCOME,9253105450,,AMY ZEIFANG
650464177,JOHN S AND JAMES L KNIGHT FOUNDATION,FL,WWW.KF.ORG,2533365916,90171127,2851,24,2796779,311,3,625000,0,,True,True,True,2023,keyword,False,3,,,3059082600,,WEBSITE WWWKFORG
396037928,The Lynde and Harry Bradley Foundation Inc,WI,www.bradleyfdn.org,987072699,31060861,1187,22,5700000,84,4,470000,0,,True,True,True,2023,keyword,False,3,,,4142919915,,Program Team
410754835,The McKnight Foundation,MN,https://www.mcknight.org/,2661443888,105922170,4766,22,22030550,148,3,97000,0,,True,True,True,2023,keyword,False,3,,,6123334220,apply@mcknight.org,The McKnight Foundation
943100217,CONRAD N HILTON FOUNDATION,CA,WWW.HILTONFOUNDATION.ORG,7099706570,180766112,5493,20,3365200,2287,18,5907500,0,,True,True,True,2023,keyword,False,3,,,8188513724,,CONRAD N HILTON FOUNDATION
916340739,RASMUSON FOUNDATION,AK,WWW.RASMUSON.ORG,760803239,22188753,4050,19,565820,24,6,169000,0,,True,True,True,2023,keyword,False,3,,,9072972700,,GRANTS MANAGER
954560243,FOUNDATION FOR GLOBAL SPORTS DEVELOPMENT,CA,GLOBALSPORTSDEVELOPMENT.ORG,6973203,1438361,405,19,272000,178,4,62000,0,,True,True,True,2024,keyword,False,3,,FILM DISTRIBUTIONS,8189393855,KHANSEN@GLOBALSPORTSDEVELOPMENT.ORG,KELLY HANSEN
366106074,LAVIN FAMILY FOUNDATION,IL,N/A,46666237,3687557,385,19,7814073,9,3,20000,0,,True,True,True,2023,keyword,False,3,,,3124777600,,CAROL L BERNICK
226029397,THE ROBERT WOOD JOHNSON FOUNDATION,NJ,WWW.RWJF.ORG,13678252785,329106856,18379,19,2141135,1797,1,225000,0,,True,True,True,2023,keyword,False,3,,,6096276000,,GRANTS MANAGEMENT
131760106,ROCKEFELLER BROTHERS FUND INC,NY,WWW.RBF.ORG,1402772081,33222749,1766,18,1877815,136,1,60000,0,,True,True,True,2023,keyword,False,3,,,2128124200,,REFER TO WEBSITE HTTPSWWWRBFORGGRAN
137029285,OPEN SOCIETY INSTITUTE,NY,WWW.OPENSOCIETYFOUNDATIONS.ORG,5268526545,123828823,4966,17,24198370,283,3,163333,0,,True,True,True,2023,keyword,False,3,,,2125480600,,OPEN SOCIETY INSTITUTE GRANTS DEPT
132626706,THE IRVING AND GERALDINE SCHAFFER,NY,https://www.intellispect.co/organizations/132626706-irving-and-geraldine-schaffer-foundation-inc,6095836,454625,365,16,292500,8,0,0,0,,True,True,True,2024,sibling,False,3,,NYS FILING FEE,9148993500,N/A,ROBIN SCHAFFER
841393308,DANIELS FUND,CO,WWW.DANIELSFUND.ORG,1303622638,51556998,2976,15,9519321,62,7,721991,0,,True,True,True,2023,keyword,False,3,,,3033937220,GRANTSINFO@DANIELSFUND.ORG,DANIELS FUND GRANTS PROGRAM
936021893,THE COLLINS FOUNDATION,OR,WWW.COLLINSFOUNDATION.ORG,227675139,11471530,2292,13,666000,18,7,82975,0,,True,True,True,2023,keyword,False,3,,,5032277171,INFORMATION@COLLINSFOUNDATION.ORG,CAROL CHENEY
330686779,THE RUDOLPH J & DAPHNE A MUNZER,CA,HTTPS://MUNZERFDN.ORG/,97933729,4937912,864,12,40000,630,2,10000,0,,True,True,True,2024,keyword,False,3,,OPERATING LEASE RIGHT-OF-USE ASSET,5629127732,,THE RUDOLPH J AND DAPHNE A MUNZER F
366009208,FREDERICK HENRY PRINCE TESTAMENTARY TRUST,IL,WWW.PRINCETRUSTS.ORG,111796588,2623249,1078,12,864750,7,1,20000,0,,True,True,True,2023,both,False,3,,,3124198700,,PRINCE CHARITABLE TRUSTS
720423887,BAPTIST COMMUNITY MINISTRIES,LA,BCM.ORG,369350022,8892633,1529,11,26000,2,7,417500,0,,True,True,True,2023,keyword,False,3,,SERVICE REVENUE,5045932309,,BCM GRANTS COMMITTEE
043342405,SALEM FIVE CHARITABLE FOUNDATION INC,MA,N/A,14984579,392207,1073,11,25000,2,0,0,0,,True,True,True,2023,sibling,False,3,,,9787455555,,BRIAN W SHAUGHNESSY
770348912,THE SOBRATO FAMILY FOUNDATION,CA,WWW.SOBRATO.ORG,876730998,49575768,1237,10,922000,1063,1,150000,0,,True,True,True,2023,keyword,False,3,,,6508767010,,2A APPLICATIONS ARE SENT OUT DIRECT
300127892,NEW YORK STATE HEALTH FDN,NY,WWW.NYHEALTHFOUNDATION.ORG,360607673,10964022,1051,9,436252,29,97,5480539,0,,True,True,True,2024,keyword,False,3,,RENTAL INCOME,2126647656,SANDMAN@NYHEALTHFOUNDATION.ORG,DAVID SANDMAN
472746460,DOMINION ENERGY CHARITABLE FOUNDATION,VA,https://www.dominionenergy.com/about/our-company/charitable-foundation,2263672,15282879,4446,9,194979,2,67,831815,0,,True,True,True,2024,keyword,False,3,,DEFERRED TAX INCOME,8043396760,N/A,HUNTER A APPLEWHITE
800057787,MARNI & MORRIS PROPP II FAMILY FOUNDATION INC,FL,,13895631,324072,799,9,9550,27,13,23800,0,,True,True,True,2023,keyword,False,3,,,,MORPROPP2@GMAIL.COM,MORRIS PROPP
141893520,LIBERTY MUTUAL FOUNDATION INC,MA,WWW.LIBERTYMUTUALFOUNDATION.ORG,46556209,38364407,3476,9,411000,12,4,190000,0,,True,True,True,2023,both,False,3,,STATE FILING FEE,6173579500,RUTH.COFFIN-VILLAROEL@LIBERTYMUTUAL.COM,RUTH COFFIN-VILLAROEL
205702192,DEACON CHARITABLE FOUNDATION,CA,WWW.DEACONCHARITABLEFOUNDATION.ORG,1665880,236779,819,8,29885,321,17,58500,0,,True,True,True,2023,keyword,False,3,,ACCOUNTS PAYABLE,9169690900,,DEACON CHARITABLE FOUNDATION
391577137,GREEN BAY PACKERS FOUNDATION,WI,https://www.packers.com/community/packers-foundation,51398422,2142872,2187,8,70556,1,15,68786,0,,True,True,True,2023,keyword,False,3,,TRUMBULL PROP FD,9205697500,,BOBBI JO EISENREICH SECRETARY - GRE
742170127,The Cynthia & George Mitchell Foundation,TX,www.cgmf.org,388623760,6817293,1480,8,108750,237,12,87500,0,,True,True,True,2023,keyword,False,3,,,7133775060,www.cgmf.org,The Cynthia George Mitchell Foundat
581709417,GEORGIA POWER FOUNDATION INC,GA,N/A,217918727,9069378,3530,8,49930,8,10,119700,0,,True,True,True,2023,keyword,False,3,,,4045066784,,GEORGIA POWER FOUNDATION
363705723,GARDNER FOUNDATION,NE,https://www.gardner-foundation.com,23148365,1857509,157,8,557900,1,8,143500,0,,True,True,True,2024,keyword,False,3,,INSURANCE,4022872538,,BOARD OF TRUSTEES GARDNER FOUNDATIO
416019050,OTTO BREMER TRUST,MN,WWW.OTTOBREMER.ORG,1419998555,56336528,4740,8,305000,11,7,277000,0,,True,True,True,2024,keyword,False,3,,PRI INTEREST,6512278036,,OTTO BREMER TRUST
943276694,THORNTON S JR AND KATRINA D,CA,WWW.GLIDEFOUNDATION.ORG,33651635,976317,976,8,35000,853,6,42000,0,,True,True,True,2023,keyword,False,3,,,5307533803,,THORNTON S GLIDE JR AND KATRINA D G
237966458,Hilda & Preston Davis Foundation,VA,www.hpdavis.org,49386686,2389833,330,8,402000,17,6,210000,0,,True,True,True,2023,keyword,False,3,,,,davis@fsllc.net,Geoffrey Parkinson
276985468,THE PETER AND JERI DEJANA FAMILY FOUNDATION,NY,https://www.dejanafoundation.org,33617454,1749474,387,8,131205,5,5,59622,0,,True,True,True,2023,keyword,False,3,,DIVIDENDS RECEIVABLE,5164909349,,THE FOUNDATION -PROGRAM DETAIL
136117501,THE HUISKING FOUNDATION INC,NC,HUISKINGFOUNDATION.ORG,34120853,1380840,1348,8,82000,28,3,7000,0,,True,True,True,2023,keyword,False,3,,,9194262665,FRH1027@LIVE.COM,FRANK R HUISKING
136001282,The Henry Luce Foundation Inc,NY,WWW.HLUCE.ORG,1090872427,26932126,1465,8,500250,115,1,110000,0,,True,True,True,2023,keyword,False,3,,,2124897700,GRANTS@HLUCE.ORG,ONLINE PORTAL
870643877,Philanthropy International,CA,www.picharity.org,12222533,1186725,828,7,108780,423,32,195206,0,,True,True,True,2023,keyword,False,3,,,9096254511,,Duke Draeger
010751046,SPECTEMUR AGENDO INC,DC,SRMFOUNDATION.ORG,569180,1025639,794,7,140800,109,8,62000,0,,True,True,True,2023,keyword,False,3,,,2025463732,,CONRAD MARTIN
942819322,DANFORD FOUNDATION,CA,http://danfordfoundation.org,15634837,946189,585,7,12900,525,4,17000,0,,True,True,True,2023,keyword,False,3,,,6504823082,admin@danfordfoundation.org,DANFORD FOUNDATION
231503488,THE WILLIAM PENN FOUNDATION,PA,WILLIAMPENNFOUNDATION.ORG,3286225714,81416472,3633,7,387000,58,4,8600,0,,True,True,True,2023,keyword,False,3,,,2159881830,,GRANTS CO THE WILLIAM PENN FOUNDATI
911504193,THE BAMFORD FOUNDATION,WA,WWW.BAMFORDFOUNDATION.ORG,24604080,1221016,705,7,155200,9,4,38250,0,,True,True,True,2024,keyword,False,3,,PASS-THROUGH: COLUMBIA PACIFIC INCOME FUND,2533838584,HOLLY@BAMFORDFOUNDATION.ORG,HOLLY BAMFORD
251127705,RICHARD KING MELLON FOUNDATION,PA,WWW.RKMF.ORG,2601768833,91373258,1458,7,1276000,24,3,390000,0,,True,True,True,2023,keyword,False,3,,,4123922800,,RICHARD KING MELLON FOUNDATION
261428733,THE COVIA FOUNDATION,OH,N/A,9964889,712045,1254,7,20400,12,2,5500,0,,True,True,True,2023,keyword,False,3,,,4402790262,,KRISTIN L LEWIS - COVIA
166071043,PARK FOUNDATION INC,NY,WWW.PARKFOUNDATION.ORG,383671762,18752854,1402,7,530000,147,1,100000,0,,True,True,True,2023,keyword,False,3,,,6072729124,,PARK FOUNDATION INC
680445376,Lillys Gift Foundation,CA,N/A,26474352,994000,241,7,56500,108,1,25000,0,,True,True,True,2023,keyword,False,3,,,5305987446,,LILLY'S GIFT FOUNDATION
392076346,Joseph and Vera Zilber Family Foundation Inc,WI,www.zilberfamilyfoundation.org,396066804,9416968,1505,7,77500,23,1,5000,0,,True,True,True,2023,keyword,False,3,,OTHER INCOME,4142742447,INFO@ZILBERFAMILYFOUNDATION.ORG,JOSEPH VERA ZILBER CHARITABLE
952560782,ISELI FOUNDATION,OR,N/A,1820587,35000,86,7,47500,4,1,500,0,,True,True,True,2023,keyword,False,3,,,5037063222,,ANDRE' W ISELI
396624684,THE CLARENCE WALLACE & DOLORES LYNCH,WI,N/A,6553588,372030,359,7,108000,3,1,5000,0,,True,True,True,2023,keyword,False,3,,,9202052536,MAIL@WALLACEFAMILY.FOUNDATION,WALLACE FAMILY FOUNDATION
223317340,Eastern Bank Foundation,MA,www.easternbank.com/foundation,249698317,15666110,5628,7,267500,46,0,0,0,,True,True,True,2024,sibling,False,3,,CITC Refund,8003278376,,Nancy Huntington Stager
141864317,TD CHARITABLE FOUNDATION,ME,HTTPS://WWW.TD.COM/US/EN/ABOUT-US/COMMUNITIES,8961309,17802804,5367,6,74000,5,69,1346500,0,,True,True,True,2023,keyword,False,3,,PARTNERSHIP INCOME,2073174829,,MATHEW DENHAM TD CHARITABLE FOUNDAT
526037034,THE HARRY AND JEANETTE WEINBERG,MD,HJWEINBERGFOUNDATION.ORG,1751272254,81252349,2678,6,586000,201,38,7567500,0,,True,True,True,2023,keyword,False,3,,,4106548500,,GRANTS INTAKE MANAGER - HARRY AND J
810523786,TOWN PUMP CHARITABLE FOUNDATION,MT,WWW.TOWNPUMPFOUNDATION.COM,63260816,1737224,3009,6,17300,1,16,59500,0,,True,True,True,2023,both,False,3,,,4064976700,,BILL MCGLADDERY
350868122,LILLY ENDOWMENT INC,IN,WWW.LILLYENDOWMENT.ORG,62180012552,873920344,9775,6,1049260,229,13,11897228,0,,True,True,True,2023,keyword,False,3,,,3179245471,,PROGRAM OFFICE
256773373,CLARK ASSOCIATES CHARITABLE FOUNDATION,PA,NONE,49416119,2965017,988,6,38800,7,12,60700,0,,True,True,True,2023,keyword,False,3,,,7173927550,,MICHAEL THORNTON
746013920,Houston Endowment Inc,TX,WWW.HOUSTONENDOWMENT.ORG,2370195483,57071805,2536,6,2167000,46,11,5890000,0,,True,True,True,2023,keyword,False,3,,,7132388100,,See supplemental info on page 14
256065959,HILLMAN FAMILY FOUNDATIONS,PA,HTTP://HILLMANFAMILYFOUNDATIONS.ORG/,1865996880,69504817,3535,6,76000,144,7,1720000,0,,True,True,True,2023,keyword,False,3,,,4123383466,N/A,DAVID K ROGER - DIRECTOR AND PRESID
136155080,INTERNATIONAL PAPER COMPANY FOUNDATION,TN,WWW.IPGIVING.COM,70730002,2220849,1679,6,59694,71,4,7500,0,,True,True,True,2023,keyword,False,3,,,9014193822,,SARAH NORTON
226930631,THE ROUNDHOUSE FOUNDATION,OR,ROUNDHOUSEFOUNDATION.ORG,358883108,7967949,1734,6,33000,18,3,8500,0,,True,True,True,2023,keyword,False,3,,,5419040700,INQUIRIES@ROUNDHOUSEFOUNDATION.ORG,SUBMIT ONLINE AT ROUNDHOUSEFOUNDATI
464367373,HALSEY FAMILY FOUNDATION INC,NY,NONE,475006,12018,136,6,3250,3,3,1000,0,,True,True,True,2023,keyword,False,3,,,6318357554,,GLENN HALSEY JR
954292101,THE CALIFORNIA WELLNESS FOUNDATION,CA,WWW.CALWELLNESS.ORG,1042135742,32753039,3061,6,235250,2545,2,205000,0,,True,True,True,2023,keyword,False,3,,,8187021900,,DIRECTOR OF GRANTS MANAGEMENT
931254171,MARIE LAMFROM CHARITABLE FOUNDATION,OR,WWW.MARIELAMFROM.ORG,374872001,14186478,2112,6,447500,21,2,61000,0,,True,True,True,2024,keyword,False,3,,401K PLAN,5037223490,GRANTS@MARIELAMFROM.ORG,TYLER HOBBS
742406069,WOLD FOUNDATION,WY,WWW.WOLDFOUNDATION.ORG,54115438,1716830,306,6,44328,5,2,6000,0,,True,True,True,2023,keyword,False,3,,,3072657252,,GLENDA THOMAS THE WOLD FOUNDATION
711010693,HEFFERNAN GROUP FOUNDATION,CA,WWW.HEFFERNANFOUNDATION.COM,8881384,672575,1314,6,23000,923,1,5000,0,,True,True,True,2023,keyword,False,3,,,9259424615,michellel@heffernanfoundation.com,Michelle Lonaker
731167188,INASMUCH FOUNDATION,OK,WWW.INASMUCHFOUNDATION.ORG,403161605,12044132,1176,6,203000,13,1,5000,0,,True,True,True,2022,keyword,False,3,,,4056045292,,SARAH ROBERTS
811386818,GARY E MILGARD FAMILY FOUNDATION - MARK,WA,WWW.GARYMILGARDFAMILYFOUNDATION.ORG,112655074,3910413,227,6,0,1,1,50000,0,,True,True,True,2023,keyword,False,3,,,2532740121,,EXCLUSIVELY ACCEPTED ONLINE VIA WWW
366152744,KOVLER FAMILY FOUNDATION,IL,N/A,35325473,3318364,575,6,14000,51,0,0,0,,True,True,True,2023,sibling,False,3,,,3126645050,,Kovler Family Foundation
366068724,Dr Scholl Foundation,IL,www.drschollfoundation.com,207489894,4719700,1757,5,55000,43,35,620000,0,,True,True,True,2023,keyword,False,3,,,8475597430,,Pamela Scholl President
043244069,The New England Patriots Charitable,MA,www.patriots.com/community,5382155,2555780,516,5,33000,1,20,262500,0,,True,True,True,2023,keyword,False,3,,,5086984618,,DONNA SPIGAROLO
846002373,EL POMAR FOUNDATION,CO,WWW.ELPOMAR.ORG,447556831,17143944,3043,5,60797,12,19,231000,0,,True,True,True,2024,keyword,False,3,,REGISTRATION FEES - ROCKY,7196337733,,BOARD OF TRUSTEES EL POMAR FOUNDAT
936021333,THE AUTZEN FOUNDATION,OR,HTTPS://WWW.AUTZENFOUNDATION.ORG/,7950301,1341733,1677,5,18574,10,13,64255,0,,True,True,True,2023,keyword,False,3,,,5032266051,GRETCHEN@AUTZENFOUNDATION.ORG,GRETCHEN KENT EXECUTIVE GRANTS ADMI
843123162,LB CHARITABLE FOUNDATION,CA,lbcharitablefoundation.org,50416848,990112,197,5,195000,119,11,290000,0,,True,True,True,2022,keyword,False,3,,,7605570088,GRANTS@LBCHARITABLEFOUNDATION.ORG,LB CHARITABLE FOUNDATION
237376427,Helen V Brach Foundation,IL,https://www.insidephilanthropy.com/find-a-grant-places/illinois-grants/helen-v-brach-foundation,127921392,6059710,2833,5,3750,42,9,52500,0,,True,True,True,2024,keyword,False,3,,"Security deposit, office space",3123724417,,Joseph J Griseta
770518326,THE SHANBROM FAMILY FOUNDATION,CA,N/A,8740111,801600,337,5,45000,217,7,70000,0,,True,True,True,2023,keyword,False,3,,,8056466864,,WILLIAM J SHANBROM
746070484,ALBERT & ETHEL HERZSTEIN,TX,WWW.HERZSTEINFOUNDATION.ORG,126529173,2558421,900,5,35500,11,7,72500,2,,True,True,True,2023,both,False,3,,,7136817868,,JUSTINA RENEE MASARYK
751879237,THOMAS M HELEN MCKEE & JOHN P RYAN FO,TX,WWW.RYANFOUNDATION.COM,118540369,3841720,766,5,165000,1,6,120000,0,,True,True,True,2023,keyword,False,3,,,8175294220,LEE@RYANFOUNDATION.COM,LEE A MCCONNELL
942797249,CHARLES H STOUT FOUNDATION,NV,WWW.CHSTOUTFOUNDATION.ORG,8451103,380200,221,5,34916,97,5,17250,0,,True,True,True,2023,keyword,False,3,,,7072393468,KCARTIGLIA@CHSTOUTFOUNDATION.ORG,THE CHARLES H STOUT FOUNDATION
206076603,Joseph and Licia Gimma Foundation,FL,N/A,405328,10750,79,5,4000,5,5,5000,0,,True,True,True,2023,keyword,False,3,,,2032477838,,Joseph Gimma
320249019,CHARLES P WILSON FOUNDATION INC,TN,N/A,17239966,818046,272,5,55000,6,4,7000,0,,True,True,True,2023,keyword,False,3,,,7314074561,,CHARLES P WILSON
366125570,Esper A Petersen Foundation,IL,https://www.villageofgrayslake.com/362/Features,6839449,673310,238,5,672000,191,3,15000,0,,True,True,True,2024,keyword,False,3,,Utility deposit,8473360900,,Esper A Petersen Foundation
751729449,GIL AND DODY WEAVER FOUNDATION,TX,N/A,10579111,625681,782,5,21500,14,3,10500,0,,True,True,True,2023,keyword,False,3,,NONDEDUCTIBLE FROM FOUNDATION MINERAL PARTNERS II,2149999494,,WILLIAM R WEAVER MD TRUSTEE
411958621,MORTENSON FAMILY FOUNDATION,MN,MORTENSONFAMILY.ORG,136619117,4013700,827,5,110000,22,2,2000,0,,True,True,True,2023,keyword,False,3,,,7632875500,AMBAR.HANSON@MORTENSONFAMILY.ORG,AMBAR HANSON
341595929,THE NORD FAMILY FOUNDATION,OH,WWW.NORDFF.ORG,198037055,7510550,1972,5,200000,30,1,50000,0,,True,True,True,2023,keyword,False,3,,,4409843939,,LATINA KIMBROUGH
824411649,THE ELEVATE PRIZE FOUNDATION INC,FL,HTTP://WWW.ELEVATEPRIZE.ORG,5132226,2447832,183,5,1250000,20,1,25000,0,,True,True,True,2023,keyword,False,3,,SECURITY DEPOSITS,3054180293,GO TO WWW.ELEVATEPRIZE.ORG,CAROLINA JAYARAM
746036466,The Brown Foundation Inc,TX,www.brownfoundation.org,1093838038,56442774,2618,5,5036000,11,1,1500,0,,True,True,True,2023,keyword,False,3,,,7135236867,bfi@brownfoundation.org,Ann Ziker The Brown Foundation Inc
990210467,BANK OF HAWAII CHARITABLE FDN,HI,,2804989,1776448,572,5,11625,7,1,7500,0,,True,True,True,2023,keyword,False,3,,,8086944399,CAROLTOM@BOH.COM,BANK OF HAWAII CHARITABLE FOUNDATI
262377296,SUTAR-SUTARUK-MEYER FOUNDATION,MI,https://lv.cybo.com/US-biz/sutar-sutaruk-meyer-foundation,4670270,225361,157,4,16000,16,48,146000,0,,True,True,True,2024,keyword,False,3,,UNCLEARED GRANTS 2024,2486314965,,STUART LEE SHERMAN
822524117,SECKINGER FOUNDATION CORPORATION,FL,N/A,245072,8874,702,4,250,74,23,1350,0,,True,True,True,2024,keyword,False,3,,OFFICE,3056672001,SECKINGER5215@GMAIL.COM,PATRICIA SECKINGER
452713666,The Bob & Renee Parsons Foundation,AZ,www.tbrpf.org,22823730,21164133,307,4,175000,36,19,64461135,0,,True,True,True,2023,keyword,False,3,,,4803875691,info@tbrpf.org,Laura Mitchell
731688102,The Ruvo Family Foundation,NV,N/A,4547753,516606,341,4,4000,26,19,11550,0,,True,True,True,2023,keyword,False,3,,,7024744500,,Camille Ruvo
256035748,PHILO & SARAH BLAISDELL FOUNDATION,PA,N/A,9820277,291179,616,4,8000,1,15,31738,0,,True,True,True,2023,keyword,False,3,,,8143626340,,PHILO SARAH BLAISDELL FOUNDATION
593790159,INGA ELLZEY CHIS FOUNDATION INC,FL,N/A,16579,96260,181,4,1247,11,11,3250,0,,True,True,True,2024,keyword,False,3,,N/A,4076784609,,INGA ELLZEY
546363202,EUGENE DUFFER TRUST,VA,N/A,532523,31582,54,4,9500,6,6,30000,0,,True,True,True,2023,keyword,False,3,,,8044351636,,GRAHAM H NEAL
251876666,HIGHMARK FOUNDATION,PA,http://www.highmarkfoundation.org,116255484,6317655,407,4,325428,4,6,786700,0,,True,True,True,2023,keyword,False,3,,,4125446668,,Katherine Hancock
251356145,RK MELLON FAMILY FOUNDATION,PA,N/A,35706514,2002722,882,4,46000,36,5,105000,0,,True,True,True,2023,keyword,False,3,,,7242381820,,RK MELLON FAMILY FOUNDATION
560529965,THE DUKE ENDOWMENT,NC,WWW.DUKEENDOWMENT.ORG,3502993986,156282313,1992,4,680000,6,4,865000,0,,True,True,True,2023,keyword,False,3,,NONE,7043760291,,MR RHETT N MABRY PRESIDENT
316314074,THE ALPAUGH FOUNDATION,OH,N/A,4376993,137699,371,4,400,21,3,300,0,,True,True,True,2022,keyword,False,3,,,5134779888,,THE ALPAUGH FOUNDATION
841090456,THE JOSEPH HENRY EDMONDSON FOUNDATION,CO,N/A,25414899,384900,452,4,52000,1,3,29000,0,,True,True,True,2023,keyword,False,3,,,7194711241,,HEATHER CARROLL
880233486,WILLIAM & FLORENCE WHEELER FOUNDATION,CA,N/A,4932358,225445,154,4,50000,138,2,6000,0,,True,True,True,2023,keyword,False,3,,PENALTIES,6612014119,,NANCY L WHEELER
200830053,ALBERT J CROSSON FAMILY FOUNDATION,CA,https://www.bizapedia.com/ca/albert-j-crosson-family-foundation.html,313018,48097,73,4,45707,62,2,2650,0,,True,True,True,2024,keyword,False,3,,,7142691418,,TIMOTHY J CROSSON
911663336,THE RUSSELL FAMILY FOUNDATION,WA,WWW.TRFF.ORG,77299440,1936089,955,4,-147248,26,2,76000,0,,True,True,True,2023,keyword,False,3,,,2538585050,,BRITTA FRANCESCONI
262700185,NEXTFIFTY INITIATIVE,CO,WWW.NEXT50INITIATIVE.ORG,244297749,5383410,630,4,191165,12,2,220000,0,,True,True,True,2023,keyword,False,3,,,3035471800,INFO@NEXT50INITIATIVE.ORG,ALL GRANT APPLICATIONS SHOULD BE CO
391748548,LENFESTEY FAMILY FOUNDATION INC,WI,N/A,2366147,166840,216,4,4000,11,2,10000,0,,True,True,True,2023,keyword,False,3,,,9204367800,,PRIVATE PHILANTHROPY SERVICES
