foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
CUMMINGS FOUNDATION GRANTS INC (FKA ONEWORLD BOSTON INC),MA,233134310,0,33333,2023,t
GEORGIA POWER FOUNDATION INC,GA,217918727,0,500,2023,t
THE WILLIAM H DONNER FOUNDATION INC,NY,209766808,0,4000,2020,f
ADOLPH COORS FOUNDATION,CO,206643009,0,10000,2022,t
BURTON D MORGAN FOUNDATION INC,OH,186139622,0,20000,2020,t
HAROLD KL CASTLE FOUNDATION,HI,173491448,0,150,2023,t
ROBINS FOUNDATION,VA,165243528,0,25000,2023,t
GAR FOUNDATION,PA,145781688,0,81750,2020,t
TEN TALENTS FOUNDATION,MO,143824901,0,55000,2023,f
CABIN ROAD FOUNDATION,CA,139844644,0,20000,2021,t
WATSON-BROWN FOUNDATION INC,GA,137990641,0,2500,2023,t
The Hyams Foundation Inc,MA,137975556,0,2000,2023,t
KOSASA FOUNDATION,HI,137474179,0,52500,2021,t
Amelia Peabody Foundation,MA,135682150,0,20000,2023,t
THE MARY MORTON PARSONS FOUNDATION,VA,131901277,0,10000,2023,t
THE CIGNA GROUP FOUNDATION,PA,129315317,0,511,2022,t
Helen V Brach Foundation,IL,127921392,0,10000,2024,t
THE SHAPIRO FOUNDATION,MA,125082465,0,10000,2017,f
FLORA FAMILY FOUNDATION,CA,120028387,0,2000,2022,f
Penner Family Foundation Inc,AR,118722019,0,10000,2022,f
THE DANIEL FOUNDATION OF ALABAMA,AL,115676328,0,20000,2023,t
BAIRD FOUNDATION INC,WI,115318490,0,80,2023,f
THE E&SS FOUNDATION INC,GA,114569902,0,5000,2023,f
ANDRE AGASSI FOUNDATION FOR EDUCATION,NV,114467176,0,37500,2022,f
FREDERICK HENRY PRINCE TESTAMENTARY TRUST,IL,111796588,0,25000,2023,t
THE WILLIAM G IRWIN CHARITY FOUNDATION,CA,111448347,0,100000,2023,t
THE KROGER CO FOUNDATION,OH,111434488,0,10000,2024,t
EQUITABLE FOUNDATION INC,NY,106085926,0,891,2023,t
BRADLEY-TURNER FOUNDATION INC,GA,104838859,0,129800,2023,t
QUEST FOUNDATION,CA,104441761,0,30000,2023,f
HUTTON FOUNDATION,CA,100798363,0,30000,2018,t
JOSEPH DROWN FOUNDATION,CA,94820956,0,40000,2024,t
PATRICIA BRAGG FOUNDATION,CA,90540070,0,17500,2024,f
SYNCHRONY FOUNDATION,CT,88394943,0,5000,2023,f
ISHIYAMA FOUNDATION,CA,86071134,0,10000,2022,f
MARY BLACK FOUNDATION INC,SC,85731539,0,20000,2020,t
NANCY ECCLES AND HOMER M HAYWARD,UT,85421658,0,50000,2023,f
AL WILLIAMS JR FAMILY FOUNDATION INC,GA,85391819,0,17750,2023,t
THE PRESSER FOUNDATION,PA,82869734,0,4000,2021,t
THE DANIEL P AMOS FAMILY FOUNDATION,GA,81370536,0,10000,2020,f
The Harold Juanita David Dennis & Gary Koon Family Charitable Foundation,KY,81154800,0,312500,2022,f
AIR PRODUCTS FOUNDATION,PA,79983470,0,5000,2023,t
OBERNDORF FAMILY FOUNDATION,CA,78524518,0,5000,2021,f
THE ALLSTATE FOUNDATION,IL,77865078,0,2368,2023,t
THE JAY & ROSE PHILLIPS FAMILY,CA,77606844,0,250000,2020,f
GRACE JONES RICHARDSON TESTAMENTARY,NC,74555635,0,2000,2023,f
CENTERPOINT ENERGY FOUNDATION INC,TX,74130417,0,6000,2022,f
SUN FAMILY FOUNDATION,CA,70175059,0,25000,2019,f
BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,68802568,0,1275,2023,t
The Sheila Dave & Sherry Gold Foundation,CA,68555184,0,3000,2020,f
EGG FOUNDATION,CA,67372200,0,25000,2020,f
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,0,63,2021,t
HERNDON FOUNDATION,VA,61989429,0,30000,2024,t
CME GROUP FOUNDATION,IL,59188963,0,25000,2020,f
SIERRA HEALTH FOUNDATION,CA,57860059,0,250,2022,t
EDWARDS LIFESCIENCES FOUNDATION,CA,56296533,0,2500,2023,t
Imaginable Futures Foundation,CA,55455566,0,5000,2023,f
CONSUMERS ENERGY FOUNDATION,MI,55085639,0,300,2020,t
PPL FOUNDATION,PA,54065811,0,5000,2022,f
The Wana Brands Foundation,CO,52905210,0,83000,2023,f
THE CABOT FAMILY CHARITABLE TRUST,MA,52539263,0,30000,2023,f
THE ALVIN L GLICK FOUNDATION,MI,52267448,0,200,2019,f
TOWN FAIR TIRE FOUNDATION INC,MA,50362459,0,500,2019,f
NATIONAL RECREATION FOUNDATION,IL,50284380,0,33000,2018,f
ROCKLAND TRUST CHARITABLE FOUNDATION,MA,50266676,0,1750,2023,t
R C KEMPER JR CHARITABLE TRUST 10023600,MO,50115950,0,7500,2023,f
Yagan Family Foundation,CO,49253554,0,55000,2023,f
THE THOMAS AND AGNES CARVEL FOUNDATION,NY,49177623,0,10000,2023,t
O L HALSELL FOUNDATION,CA,48863861,0,10000,2024,t
THE ANJULICIA FOUNDATION,OR,47755962,0,10000,2023,t
Fulk Family Foundation Inc,NE,47451697,0,75000,2021,f
AbbVie Foundation,IL,47404120,0,70,2019,f
LIBERTY MUTUAL FOUNDATION INC,MA,46556209,0,40000,2023,t
ALPHA FOUNDATION,AL,45897947,0,25000,2023,t
MANSUETO FOUNDATION,IL,44021065,0,15000,2022,f
IMC CHICAGO CHARITABLE FOUNDATION,IL,43735748,0,285189,2021,f
CHUBB CHARITABLE FOUNDATION,PA,43474175,0,250,2023,t
BOTHIN FOUNDATION,CA,42569751,0,25000,2020,t
RICHARD S REYNOLDS FOUNDATION,VA,40050201,0,130000,2023,t
JAMES B AND LOIS R ARCHER,TX,39170121,0,100000,2020,t
J R ALBERT FOUNDATION,IL,39096174,0,100000,2024,f
David & Barbara B Hirschhorn,MD,37299041,0,3500,2019,t
The Kirby-Jones Foundation,DE,36559059,0,5000,2022,f
MB AND EDNA ZALE FOUNDATION,TX,35950872,0,2500,2020,t
THE MARTIN FAMILY FOUNDATION,WY,35904649,0,25000,2018,f
ANALOG DEVICES FOUNDATION,MA,35836306,0,1015,2023,t
SELBY AND RICHARD MCRAE FOUNDATION,MS,35508094,0,10000,2019,f
THE TWENTY FIRST CENTURY FOUNDATION,OH,35032288,0,10000,2020,f
THE MCCONNELL EDUCATIONAL FOUNDATION,OH,34961494,0,7000,2023,f
JOHN AND SALLY HOOD FAMILY FOUNDATION,CA,33125807,0,2500,2019,f
SHELL USA COMPANY FOUNDATION,TX,33040486,0,2625,2023,f
DICK'S SPORTING GOODS FOUNDATION,PA,32857570,0,55000,2023,t
AGNES M LINDSAY TRUST,MA,32185880,0,2500,2023,t
JE FOUNDATION,CA,31175238,0,10000,2019,f
BRAEMAR CHARITABLE TRUST,OR,31133949,0,5635,2023,t
NORMAN RAAB FOUNDATION,WA,30712234,0,25000,2023,f
THE HENRY AND RUTH BLAUSTEIN ROSENBERG,MD,29551418,0,2500,2020,f
THE DEBORAH LOEB BRICE FOUNDATION,NY,29483635,0,30000,2023,f
TRADEWIND GROUP FOUNDATION,HI,29210343,0,104,2022,t
THE JERRY E BAKER FOUNDATION INC,KY,28960793,0,20000,2018,f
DOROTHY U DALTON FOUNDATION INC,MI,27415982,0,50000,2019,f
LULUMA CHARITABLE TRUST XXXXX8009,IL,27319244,0,10000,2023,f
THE CAROL AND JAMES COLLINS FOUNDATION,CA,27304167,0,30000,2020,f
ALBEMARLE FOUNDATION,NC,27297981,0,4300,2020,t
JAMES & ABIGAIL CAMPBELL FAMILY,HI,26664318,0,100000,2022,t
PEMA FOUNDATION INC,CO,26446644,0,10000,2023,f
ONEOK FOUNDATION INC,OK,26072223,0,25000,2023,t
VERIZON FOUNDATION,NJ,25968957,0,700,2023,f
MARVIN AND ROSALIE OKUN FOUNDATION,MI,25760831,0,110000,2019,t
THE JANE K LOWE CHARITABLE FOUNDATION,AL,25614515,0,21492,2023,f
GLOBE FOUNDATION,AZ,25540124,0,43250,2020,f
THE MELVILLE FOUNDATION,FL,25472842,0,2500,2021,f
MACKESY FAMILY FOUNDATION,NY,24205361,0,5000,2023,f
THE STRONG FOUNDATION,HI,24110409,0,50000,2022,t
THE MYLANDER FDN-2001,OH,24067641,0,33333,2023,t
NATIONAL LIFE GROUP CHARITABLE,VT,24058202,0,400,2023,t
SYNTHOMER FOUNDATION INC,OH,23983054,0,10500,2023,t
THE CHANDLER B AND OLIVER A EVANS,TX,23736698,0,15000,2020,f
ROBERT AND MARY JANE SMITH,OR,22686773,0,3000,2018,t
Mount Pleasant Foundation,IL,22677286,0,7500,2022,f
THE CHARLES & PEGGY STEPHENSON FAMILY,OK,22062835,0,500,2023,f
FORWARD VISION,NY,21943957,0,10000,2019,f
BELOCO FOUNDATION INC,GA,21611317,0,15000,2020,t
THE JAMES HUNTINGTON FOUNDATION,IL,21436151,0,2000,2023,f
Arvest Foundation,AR,21003898,0,5000,2024,f
THE AIELLO CHARITABLE FOUNDATION INC,CT,20976018,0,200,2020,f
SCHULER FAMILY FOUNDATION,WA,20723363,0,50000,2023,f
Teichert Foundation,CA,20512192,0,4000,2023,t
WILLIAMS-CORBETT FOUNDATION,CA,20488262,0,15000,2018,t
THE NORCLIFFE FOUNDATION,WA,20421324,0,15000,2022,t
First Interstate BancSystem Foundation,MT,20270202,0,2500,2023,t
CH ROBINSON WORLDWIDE FOUNDATION,SD,19235419,0,2500,2023,t
Hymowitz Family Foundation,DE,19064305,0,1000,2021,f
HAROLD AND GRACE UPJOHN FOUNDATION,MI,17671245,0,6750,2022,t
THE SCOTT FOUNDATION,LA,17597466,0,500,2022,f
ADAM R BRONFMAN FAMILY FOUNDATION INC,NY,17461511,0,25000,2023,f
FLAMBOYAN FOUNDATION INC,DC,17437503,0,750,2019,f
GE FOUNDATION,CT,17339609,0,112,2023,t
MARIO AND ALMA PASTEGA FAMILY FOUNDATION,OR,17125593,0,1000,2023,t
THE KELLY AND SAM BRONFMAN FAMILY,NY,16838357,0,7500,2022,f
AETNA FOUNDATION INC,CT,16647339,0,400,2020,t
THE AJL CHARITABLE FOUNDATION,CO,15839164,0,10250,2024,f
PARK NATIONAL CORPORATION FOUNDATION,OH,15652734,0,10000,2023,f
RALPH HULL FOUNDATION,OR,15503322,0,10000,2023,t
ARBELLA INSURANCE FOUNDATION,MA,15246058,0,1000,2022,t
CL WERNER FOUNDATION,NE,15172767,0,15000,2023,t
522 FOUNDATION INC,CT,14923233,0,5000,2020,f
EVAN & MARION HELFAER FOUNDATION,WI,14879708,0,2500,2023,t
BARTON FAMILY FOUNDATION,WA,14834106,0,2500,2020,f
YVONNE & LESLIE POLLACK FAMILY,NY,14694872,0,2500,2023,f
MOSZKOWSKI FAMILY FDN-CASH,NJ,14520483,0,50000,2024,f
KOKUA NA LANI,CA,14508159,0,5000,2020,t
SEMPRA FOUNDATION,CA,14132710,0,760,2023,f
WILLENS FAMILY FOUNDATION,NJ,13535105,0,5000,2024,f
DUTCH BROS FOUNDATION,OR,13358852,0,1696,2018,t
R H PARKERUNITED FOUNDATION,OR,13179429,0,500,2022,t
UNDER ARMOUR FOUNDATION INC,MD,13089960,0,15000,2018,f
GENESEE MOUNTAIN FOUNDATION,CO,12869629,0,4000,2020,f
FOX FAMILY FOUNDATION,CO,12773459,0,50000,2024,f
THE AVISTA FOUNDATION,WA,12636988,0,200,2023,t
THE W BRADFORD INGALLS,FL,12378885,0,5000,2024,t
J B REYNOLDS FOUNDATION,MO,12272331,0,10000,2023,f
THE SCHMAIER FAMILY FOUNDATION,CA,11970265,0,1000,2023,f
The Earl and Bettie Fields Automotive Group,IL,11897049,0,2000,2019,t
The Egerter Family Foundation,DE,11847867,0,8250,2023,f
LEPRINO FOODS COMPANY FOUNDATION,CO,11761168,0,10000,2018,f
SALLY HUGHES CHURCH FOUNDATION,CA,11706130,0,12000,2022,f
Belvedere Cares Foundation,IL,11527775,0,50208,2023,f
STIMAC FAMILY FOUNDATION,TX,11468982,0,2500,2023,f
ANDREW & PHYLLIS D'ARRIGO CHARITABLE,CA,11316296,0,12000,2022,f
TY COBB EDUCATIONAL FD TR UA,FL,11307732,0,6000,2020,t
BETTER PLACE FOUNDATION,AL,11019181,0,10000,2023,f
THOMAS WILSON SANITARIUM,MD,10857358,0,5000,2023,t
THE RIST FAMILY FOUNDATION,FL,10841838,0,25000,2021,f
MODESTUS BAUER FOUNDATION,IL,10839481,0,1000,2022,f
IRISH WOODS FOUNDATION,IL,10719957,0,1000,2021,f
JW & ETHEL I WOODRUFF FOUNDATION INC,GA,10603442,0,17250,2022,f
IMA FOUNDATION,KS,10418402,0,8750,2024,f
STEELE FAMILY FOUNDATION,FL,10365008,0,5150,2020,t
TOLER FAMILY FOUNDATION,FL,10093885,0,137500,2024,f
MURPHY FAMILY FOUNDATION LLC,FL,10069418,0,9255,2020,f
GREAT OAKS FOUNDATION,TN,9974095,0,25000,2023,f
LUCK COMPANIES FOUNDATION,VA,9966209,0,250,2019,t
THE AZEEZ FOUNDATION,FL,9715614,0,10000,2020,f
MIRAMAR CHARITABLE FOUNDATION,KY,9432424,0,11000,2022,f
MOVING LIVES AHEAD FOUNDATION,IL,9386834,0,6400,2020,f
JERRY AND ANITA ZUCKER FAMILY FOUNDATION INC,SC,9301732,0,5500,2022,f
RUDI SCHULTE FAMILY FOUNDATION,CA,9293293,0,2000,2021,f
THE PAULA AND WILLIAM BERNSTEIN FAMILY,CO,9249120,0,5000,2020,f
REGAL FOUNDATION,TN,9197284,0,332,2023,t
OAKWOOD FOUNDATION CHARITABLE TRUST,MS,9184533,0,1000000,2023,f
AMAZIN' METS FOUNDATION INC,NY,9183729,0,15000,2023,f
PREMIER BANK FOUNDATION,OH,9114062,0,750,2023,t
THE KENNEDY-HERTERICH FOUNDATION,NC,9112267,0,16000,2024,t
THE ALLISON & BENNETT ROSENTHAL,NJ,8840523,0,5000,2018,f
FIRST INSURANCE COMPANY,HI,8763864,0,2500,2020,t
TULLY FAMILY FOUNDATION,IL,8746494,0,10000,2023,f
GEORGE ISAAC FOUNDATION,OH,8721464,0,200,2023,f
SIGNET LOVE INSPIRES FOUNDATION,OH,8658055,0,1000,2023,t
LIVINGSTON FAMILY FOUNDATION,CA,8472312,0,5000,2022,f
PD Jackson Family Foundation,CA,8317404,0,2000,2023,t
THE STEVE MIHAYLO AND LOIS MIHAYLO,AZ,8207067,0,1000,2021,f
The Red Cabin Foundation Trust,DE,8090551,0,3250,2022,f
ASSURANT FOUNDATION,GA,8089617,0,103,2021,f
MEED FOUNDATION INC,FL,8065868,0,250,2023,t
HERBERT H KOHL CHARITIES INC,WI,8025976,0,250,2023,f
THE CHARTER FOUNDATION INC,FL,8016403,0,2000,2023,t
HARMAN FAMILY FOUNDATION,CA,7996623,0,17500,2020,f
CLEARY-KUMM FOUNDATION INC,WI,7992863,0,10000,2021,t
LT Murray Family Foundation,DE,7944040,0,2500,2019,f
HERN FAMILY FOUNDATION,OK,7879289,0,10000,2022,f
THE PROPST FOUNDATION,AL,7836656,0,22500,2023,f
FITE FAMILY FOUNDATION,CA,7729038,0,50000,2023,f
THE FENTON FAMILY FOUNDATION,CA,7715741,0,10000,2024,f
MCDONNELL FAMILY FOUNDATION,CO,7692120,0,75000,2020,f
THE WILLIAM D AND JOYCE E SEXTON,MN,7691365,0,1000,2018,f
THE BANK OF AMERICA CHARITABLE,NC,7556845,0,500,2023,t
JOHN P AND DOROTHY S ILLGES,GA,7415468,0,80000,2017,t
LPL Financial Foundation Inc,MA,7406176,0,500,2023,f
Arthur J Gallagher Foundation,IL,7239988,0,253,2023,f
STEPHENS FAMILY CHARITABLE FOUNDATION,NY,7201536,0,30000,2024,f
Robert & Terri Cohn Family Foundation,FL,6916367,0,1500,2021,f
ANCHORED FOUNDATION,CA,6818221,0,650,2023,f
BASKIN FAMILY FOUNDATION,IL,6802458,0,40000,2022,t
THE NICHOLSON FAMILY FOUNDATION,CA,6765169,0,5000,2023,t
TWO LIGHTS FOUNDATION INC,CO,6677897,0,10000,2018,f
CARMAX FOUNDATION,VA,6642085,0,1000,2020,t
CENTRAL PACIFIC BANK FOUNDATION,HI,6449681,0,16882,2023,t
WALTON COUNTY FOUNDATION INC,GA,6439980,0,6000,2023,t
FOUNTAIN 33 FOUNDATION INC,FL,6417682,0,91500,2022,f
THE SIDLEY AUSTIN FOUNDATION,IL,6279684,0,1000,2020,f
SHAUGHNESSY CHARITABLE TRUST,MA,6225786,0,2500,2019,f
THE HERBERT & JUDY PAIGE FAMILY,CO,6198646,0,10000,2023,f
DUKE ENERGY FOUNDATION,NC,6181774,0,150,2022,t
Gordon Rausser Foundation,CA,6154036,0,1000,2021,f
THE RIGHT TRACK FOUNDATION INC,VT,6085798,0,15000,2022,f
DOWNEY KIWANIS FOUNDATION,CA,6059762,0,1000,2018,t
DAVIDOW FAMILY FOUNDATION,CA,6009895,0,5500,2023,f
ARTHUR & CARLYSE CIOCCA CHARITABLE FOUNDATION,CA,5910947,0,25000,2024,f
Robert E & Evelyn McKee Foundation,TX,5729967,0,5000,2022,t
STRAIN FOUNDATION,AL,5613279,0,10000,2022,t
Rosebury Charitable Foundation,OK,5609043,0,12000,2022,f
The Howard S Dubin Family Foundation,IL,5595167,0,1000,2024,t
THE GOLDSTONE FUND INC,NY,5426741,0,1000,2023,f
MIRNAHILL FOUNDATION,CA,5395866,0,10000,2023,f
MARILYNN AND JOHN HILL FOUNDATION INC,SC,5371580,0,500,2023,f
GEOTRAC CHARITABLE FOUNDATION,OH,5323168,0,10000,2020,t
THE THALIA N AND CHRIS M CARLOS,GA,5292064,0,100000,2023,f
High Rock Foundation Inc,CO,5158330,0,2600,2022,f
WILLARD J & MARY G BREIDENTHAL,KS,5132403,0,50000,2023,t
Ninneweb Foundation,WA,5084379,0,27500,2024,f
FIRST FED FOUNDATION,WA,5075281,0,5000,2019,t
FW ALBRECHT FAMILY FOUNDATION,OH,4977203,0,7500,2021,t
Elizabeth Raymond Ambler Trust,CT,4869788,0,6000,2023,t
THE GAP FOUNDATION,CA,4777763,0,100,2023,t
UNIBANK CHARITABLE FOUNDATION INC,MA,4648813,0,25067,2023,t
JUNE & JULIAN FOSS FOUNDATION,WA,4630836,0,5000,2020,t
ALLAN & LALITA CHARITABLE FOUNDATION,CA,4611490,0,100,2021,f
Schlinger Family Foundation,DE,4512996,0,20000,2023,f
Tony and Kyra Rogers Foundation,DE,4414847,0,10000,2022,f
SUSAN CROWN EXCHANGE INC,IL,4405218,0,198900,2023,f
McNabb Foundation,DE,4295050,0,2000,2023,f
ALL POINTS NORTH FOUNDATION,MA,4247843,0,40000,2020,f
WEBSTER FAMILY FOUNDATION (FKA,FL,4239828,0,10000,2022,f
DAVID BUNTZMAN FOUNDATION,NJ,4233802,0,500,2022,f
FIRST HAWAIIAN BANK FOUNDATION,HI,4233525,0,25000,2023,t
Audacious Foundation,CA,4179100,0,74760,2022,f
LOUIE M & BETTY M PHILLIPS FOUNDATN,TN,4171311,0,1000,2023,t
Teamsters Local 986 Charity Fund Inc,CA,4168352,0,500,2018,f
Lincoln Financial Foundation Inc,PA,4076873,0,90,2022,t
THE SEAN AND BETH LANG FAMILY FOUNDATION,FL,4015492,0,2000,2020,f
GALADJIAN FAMILY FOUNDATION,CA,4013589,0,5138,2024,f
FRERES FOUNDATION,OR,3955480,0,250,2018,f
THE KILIN & CECILIE TO FOUNDATION,NV,3881991,0,1030,2020,t
Davidson Family Foundation,WA,3864741,0,101000,2022,f
THE RIMORA FOUNDATION,VA,3778928,0,175000,2023,f
HELEN PUMPHREY DENIT TR CHAR & EDUC PURPOSES,TX,3731570,0,5000,2019,t
George and Ann Swift Family Foundation Inc,GA,3688353,0,5000,2023,f
XCEL ENERGY FOUNDATION,MN,3671471,0,350,2023,t
HARRY F CHADDICK AND ELAINE,IL,3594257,0,5000,2023,f
ALTRES FOUNDATION,HI,3563853,0,1000,2023,t
The Gerard and Patricia Hipp Family,OH,3509751,0,10000,2020,f
NANCY AND GEOFFREY STACK FAMILY,CA,3506619,0,500,2020,f
P BRUCE & VIRGINIA C BENSON,CO,3502432,0,2000,2023,f
SUSAN & CHARLES SHANOR CHARITABLE TRUST,NC,3480173,0,15000,2023,f
PATAGONIAORG,CA,3456679,0,7000,2017,f
THE WOODRUFF FAMILY FOUNDATION INC,GA,3456436,0,85250,2022,f
STINCHCOMB FAMILY FOUNDATION INC,GA,3388034,0,2000,2021,t
THE REMMER FAMILY FOUNDATION INC,FL,3319319,0,11280,2023,f
CARDINAL FOUR FOUNDATION INC,NY,3298177,0,1000,2023,f
HERVEY FOUNDATION,TX,3139831,0,2400,2020,f
THE BEARD-YOUNG FAMILY FOUNDATION,AL,3121973,0,10000,2023,f
FALCONWOOD FOUNDATION,NY,3097680,0,1000,2023,t
BBR FOUNDATION,AZ,3094131,0,250,2018,f
CARL AND HENRIETTA HERRMANN FAMILY,CA,3055652,0,5000,2018,f
TL DAVIS FAMILY CHARITABLE TRUST,CA,3046573,0,1000,2022,f
PALO HILLS FOUNDATION,CA,2981801,0,5000,2019,f
RAY M & JANE R WRIGHT FOUNDATION INC,GA,2973565,0,15000,2023,f
LINDSAY & ALEX RAMSAY FOUNDATION,CA,2926349,0,1000,2020,f
THE ORLEBEKE FOUNDATION,IL,2878755,0,50000,2022,t
SARA D AND J KYLE SPENCER,GA,2872054,0,60000,2021,f
THE SWEAZEY FOUNDATION,CA,2861338,0,10000,2024,f
KEITH AND POLLY STEINER FAMILY FOUNDATION,HI,2848097,0,1000,2024,f
Isla Carroll Turner Friendship Trust,TX,2837326,0,10000,2019,t
JOHN A JURENKO ET AL FOUNDATION,AL,2827938,0,3000,2024,f
BANK OF HAWAII CHARITABLE FDN,HI,2804989,0,18125,2022,t
Steve & Amy Louis Foundation,FL,2773797,0,1000,2021,f
THE CLIFF AND GEORGANNE WILLIAMS FAMILY,FL,2749507,0,11673,2018,t
J A OPHELIA KILLGORE SCHOLARSHIP TRUST FUND,AL,2744954,0,2750,2019,t
THE AUTREY FOUNDATION,CO,2735006,0,2000,2020,f
THE HAINER FOUNDATION,CA,2725053,0,25000,2021,f
CREAG FOUNDATION,WA,2687779,0,2000,2018,t
WILLIAM N AND RUTH M WESTHOFF,MN,2609790,0,2500,2019,f
WENDELL FAMILY FOUNDATION,CA,2566424,0,1000,2021,f
LOCKWOOD PARTNERS FOUNDATION INC,GA,2556720,0,12500,2023,f
Adel B Korkor MD Foundation for Mental Health Inc,WI,2546074,0,21500,2023,f
DEMARTINI FAMILY FOUNDATION,NY,2539188,0,3000,2023,f
THOMAS AND SUMIE MCCABE FOUNDATION,HI,2521829,0,15000,2019,t
BETAGOLE FAMILY FOUNDATION INC,OH,2470981,0,50,2019,t
AT&T FOUNDATION,TX,2469666,0,25000,2020,t
KENJOHN AND JACQUELINE WANG FOUNDATION,CA,2447500,0,5000,2023,f
SOUTH SHORE BANK CHARITABLE,MA,2440640,0,2500,2019,f
SKY RANCH FOUNDATION INC,GA,2409754,0,50000,2020,t
GEISMAR FAMILY FOUNDATION,VA,2396705,0,75000,2023,f
ROUGH-J-RANCH FOUNDATION,CA,2361572,0,1000,2023,f
HECK FAMILY CHARITABLE TRUST 38598157,OH,2347552,0,12500,2022,f
THE JORDAN FOUNDATION INC,GA,2335280,0,28000,2022,t
THE TOMBLIN FAMILY FOUNDATION,TX,2312639,0,1000,2020,f
THE GROSEVNOR FOUNDATION,FL,2292303,0,2500,2022,f
HOBAN FAMILY CHARITABLE FOUNDATION,IL,2266446,0,2750,2023,f
DOMINION ENERGY CHARITABLE FOUNDATION,VA,2263672,0,1500,2023,t
HICKS FAMILY FOUNDATION,NV,2243516,0,5125,2019,f
LAND O'LAKES FOUNDATION,MN,2211820,0,500,2023,t
BERGMAN FAMILY FOUNDATION,CA,2196884,0,5000,2019,t
Caplin Foundation,DE,2172071,0,1000,2023,f
CHUNG KUN AI FOUNDATION,HI,2169070,0,1000,2023,t
THE HOLLIDAY FOUNDATION,NY,2130873,0,10000,2020,f
GEORGE P SWIFT JR FAMILY FOUNDATION,FL,2122101,0,1000,2020,f
