ein,organization_name,contact_first_name,contact_email,state,ntee_code,mission_description,email_quality_tier,foundation_count,display_count,sector_label
860972675,MAGGIE'S PLACE INC,Laura,email@maggiesplace.org,AZ,P450,"MAGGIE'S PLACE PROVIDES SAFE HOUSING AND A NURTURING COMMUNITY FOR HOMELESS PREGNANT WOMEN, EMPOWERING THEM TO THRIVE THROUGHOUT THEIR LIFETIME.",A,356,75,Human Services
943061685,HOUSE RABBIT SOCIETY,Edie,rabbit-center@houserabbit.org,CA,D200,"House Rabbit Society's mission is to save and improve domesticated rabbit lives. We do this though operating a local adoption and community resources facility in the San Francisco Bay Area and through providing up-to-date educational materials with a global reach to shelters and the public, primarily via our website, and online classes.",A,820,75,Animal-Related
330959505,THE BON TEMPS SOCIAL CLUB OF SAN DIEGO,Al,catherine@catherinemiller.com,CA,A6C,TO PROMOTE THE APPRECIATION OF CAJUN MUSIC AND CULTURE.,A,1336,75,Arts & Culture
330320305,Mainly Mozart Inc,Nancy,boxoffice@mainlymozart.org,CA,A610,"Enrich the lives of todays and tomorrows passionate music lovers by connecting them to the genius and innovation of Mozart and the Masters, to world-class musicians and music-making, and to each other.",A,1336,75,Arts & Culture
743184848,Groundwork San Diego-Chollas Creek,Leslie,groundworker@groundworksandiego.org,CA,C32,"Groundwork San Diego-Chollas Creek works at the intersection of social, environmental, and climate justice, grounded in strong university and community partnerships, to deliver education, green infrastructure, and climate safe neighborhoods. Groundworks mission is to bring about the regeneration, improvement and management of the environment through community-based partnerships which empower people, businesses and organizations to promote economic and social well-being. Groundwork is committed to revitalizing the Chollas Creek Watershed and its communities. Groundwork San Diego has spent 17 years building trusted relationships in the Chollas Creek Watershed through environmental and climate justice initiatives led by and for the community. Our flagship EarthLab Climate Action Center, developed on previously vacant land at Millennial Tech Middle School, has educated thousands of students and families about environmental science and climate resilience. We maintain active partnerships wit",A,975,75,Environment
844199825,Renova Inc,Lisa,connect@renovasandiego.com,CA,P45,"See Form 990, Part I, Line 1",A,1655,75,Human Services
951691297,NEIGHBORHOOD YOUTH ASSOCIATION,Robert,nya@nyayouth.org,CA,P36Z,"TO EMPOWER STUDENTS TO ACHIEVE 100% COLLEGE PLACEMENT AND ON-TIME HIGH SCHOOL GRADUATION THROUGH MENTORING, TUTORING, AND A HOLISTIC FAMILY APPROACH TO BREAK CYCLES OF POVERTY AND VULNERABILITY.",A,1655,75,Human Services
951652902,Bayside Community Center,Kim,baysideinfo@baysidec.org,CA,P28Z,"To empower our diverse community to improve its quality of life through services, education, and advocacy.",A,1655,75,Human Services
943256879,SPORTS MEDICINE INSTITUTE INTERNATIONAL,Kendra,Mark@smiweb.org,CA,B20Z,"THE SUCCESSFUL OPERATION OF THE CHARITABLE CLINIC IS FUNDAMENTAL TO THE DEVELOPMENT OF FACILITIES, TECHNIQUES, AND TRAINING THAT ARE NECESSARY TO SUPPORT OUR BENEFICIARIES PER OUR MISSION. THROUGH EXPANSIVE RESEARCH, EDUCATION, AND COACHING IN OUR CLINIC AND OUR WELLNESS CENTER WE HAVE EXTENDED OUR CAPABILITIES WHICH HAVE ALLOWED US TO BENEFIT THE PUBLIC WITH STATE-OF-THE-ART TESTING, COACHING, AND EDUCATION FOR A HEALTHIER AND MORE ACTIVE LIFESTYLE.",A,2322,75,Education
943248671,The Edible Schoolyard Project,Angela,kathryn@alicewatersinstitute.org,CA,B82,"The mission of The Edible Schoolyard Project is to build and share a national food curriculum for the education system. The Organization envisions this ""Edible Education"" as part of the core curriculum of every school in the country.",A,2322,75,Education
680298871,ALCOHOL AND DRUG AWARENESS PROGRAM,Dale,newdirections1981@sbcglobal.net,CA,Z99Z,"TO INCREASE THE NUMBER OF INDIVIDUALS WITHIN THE CRIMINAL JUSTICE SYSTEM THAT CEASE TO BE REPEAT OFFENDERS BY EMPOWERING THEM TO LEAD PRODUCTIVE, HEALTHY, DRUG-FREE LIVES.",A,491,75,Unknown
943215565,CALIFORNIA PRIMARY CARE ASSOCIATION,Francisco,advocacy@cpcaadvocates.org,CA,E99,"TO LEAD AND POSITION COMMUNITY CLINICS, HEALTH CENTERS, AND NETWORKSTHROUGH ADVOCACY, EDUCATION AND SERVICES AS KEY PLAYERS IN THE HEALTHCARE DELIVERY SYSTEM TO IMPROVE THE HEALTH STATUS OF THEIR COMMUNITIES.",A,1035,75,Health
842041713,SUGI FOUNDATION,Elise,hello@sugiproject.com,CA,C30,THE ORGANIZATION SEEKS TO PROVIDE GREEN SPACES IN PRIMARILY URBAN SETTINGS WORLDWIDE,A,975,75,Environment
202368621,NUS AMERICA FOUNDATION INC,Joseph,administrator@nusamerica.org,CA,B124,"THE FOUNDATION'S MISSION IS TO SUPPORT THE NATIONAL UNIVERSITY OF SINGAPORE'S (NUS) MISSION OF GLOBAL EDUCATION, RESEARCH AND SERVICE BY FACILITATING CHARITABLE GIVING AND FOSTERING SUPPORT FROM US-BASED ALUMNI.",A,2322,75,Education
202573758,HOUSING AND ECONOMIC RIGHTS ADVOCATES,Maeve,inquiries@heraca.org,CA,R20,"HERA is a California statewide, not-for-profit legal service and advocacy organization dedicated to helping Californians - particularly those most vulnerable - build a safe, sound financial future, free of discrimination and economic abuses, in all aspects of household financial concerns. We provide free legal services, consumer workshops, training for professionals and community organizing support, create innovative solutions and engage in policy work locally, statewide and nationally.",A,525,75,Civil Rights
562374305,PEER HEALTH EXCHANGE INC,Louise,jbelmont@peerhealthexchange.org,CA,O99,"PEER HEALTH EXCHANGE'S MISSION IS TO EMPOWER YOUNG PEOPLE WITH THE KNOWLEDGE, SKILLS, AND RESOURCES TO MAKE HEALTHY DECISIONS. WE DO THIS BY TRAINING COLLEGE STUDENTS TO TEACH A SKILLS-BASED HEALTH CURRICULUM IN UNDER-RESOURCED HIGH SCHOOLS ACROSS THE COUNTRY.",A,731,75,Youth Development
942663045,SHASTA WOMEN'S REFUGE INC DBA,Stephen,web@ospshasta.org,CA,P43Z,"PARTICIPATE IN INTERVENTION, EDUCATION, AND ADVOCACY TO PREVENT RELATIONAL, FAMILY ABUSE, AND SEXUAL VIOLENCE.",A,1655,75,Human Services
942632969,Central California Family Crisis Center,Mickie,services@ccfamilycrisis.org,CA,P43Z,"The Organization provides shelter, meals, clothing and counseling for victims of domestic violence, housing crisis, and/or poverty.",A,1655,75,Human Services
954604927,THE MR HOLLAND'S OPUS FOUNDATION,Felice,support@mhopus.org,CA,B80,"THE MR. HOLLAND'S OPUS FOUNDATION (MHOF) KEEPS MUSIC ALIVE IN OUR SCHOOLS BY PROVIDING VITAL SUPPORT SERVICES TO SCHOOL DISTRICTS, AND MUSICAL INSTRUMENTS TO UNDERFUNDED MUSIC PROGRAMS NATIONWIDE, GIVING UNDER-REPRESENTED YOUTH ACCESS TO THE MANY BENEFITS OF MUSIC EDUCATION, LEADING THEM TO SUCCESS IN SCHOOL, AND INSPIRING CREATIVITY AND EXPRESSION THROUGH PLAYING MUSIC. HUNDREDS OF THOUSANDS OF STUDENTS ACROSS THE COUNTRY HAVE BENEFITED.",A,2322,75,Education
942358275,ASSOCIATED REHABILITATION PROGRAM FOR WOMENINC,Lisa,alphaoaks@alphaoaks.org,CA,F20Z,RESIDENTIAL TREATMENT FOR WOMEN WITH ALCOHOL AND OTHER DRUG ABUSE CHALLENGES.,A,479,75,Mental Health
951590412,University Cooperative Housing Assoc,Woodburn,officecrew@ucha.coop,CA,B80Z,"The University Cooperative Housing Association ( UCHA) provides reasonable-cost housing to university students, visiting scholars, and faculty of UCLA. It also provides this service to other nearby educational institutions.",A,2322,75,Education
952083126,Death Valley Natural History Association,David,memberships@dvnha.org,CA,C60Z,Preserving & interpreting the natural & cultural resources of the region with government partners.,A,975,75,Environment
953030294,ANIMAL ASSISTANCE LEAGUE OF ORANGE CNTY,Colleen,AALOC@AALOC.org,CA,D200,"To aid lost and unwanted pets, help people with pet-related problems, promote responsible pet ownership and pet population control and prevent cruelty to animals through educational programs.",A,820,75,Animal-Related
460779614,FUNDACION GOL INTERNATIONAL CULTURAL,Anna,anna@ba-cup.com,CA,N64,"The primary objectives and purposes of this corporation shall be: To assist low-income and disadvantaged students, including female soccer players from the United States and other nations, to participate in cross-cultural exchanges, that promote learning foreign languages, meeting students from other nations, and promoting international soccer through participation in international soccer programs;To provide youths and adults the opportunity to play soccer regardless of gender and economic resources;To provide facilities for others to engage in the promotion of soccer, generally.",A,490,75,Recreation
815350598,MIND SHARE PARTNERS,Ann,connect@mindsharepartners.org,CA,P20,"THE MISSION OF MIND SHARE PARTNERS IS TO BUILD AWARENESS, SUPPORT, AND ACCEPTANCE FOR PEOPLE WITH MENTAL HEALTH CONDITIONS.",A,1655,75,Human Services
237129943,That Man May See Inc,Deborah,allmaysee@ucsf.edu,CA,H41I,"The mission of All May See Foundation is to raise funds for UCSF Ophthalmology making possible breakthroughs in vision research, state-of-the-art patient care, opportunities for residents and fellows, and increase understanding of eye health among a community of friends.",A,287,75,Medical Research
680298092,FIGHTING BACK PARTNERSHIP INC,Melvinia,dhoffman@fight-back.org,CA,F200,"FIGHTING BACK PARTNERSHIP IS A NON-PROFIT ORGANIZATION ""COMMITTED TO PREVENTING AND ENDING POVERTY AND ITS EFFECTS"" IN VALLEJO AND THROUGHOUT SOLANO COUNTY.",A,479,75,Mental Health
208865521,MOMS AGAINST POVERTY,Delfarib,scott@momsagainstpoverty.org,CA,P20,"MOMS AGAINST POVERTY (MAP) IS A GLOBAL 501(C)(3) NON-PROFIT ORGANIZATION WITH A MISSION TO LESSEN THE INCIDENCE AND EFFECTS OF POVERTY FOR IMPOVERISHED CHILDREN AROUND THE WORLD. THIS IS ACHIEVED THROUGH OUR DISASTER RELIEF, EDUCATION, HEALTH CARE & WELLNESS, HUNGER RELIEF & BASIC PROVISIONS, AND ORPHAN CARE PROGRAMS, ENABLING CHILDREN TO REACH THEIR FULLEST POTENTIAL.",A,1655,75,Human Services
471230166,JAMESON ANIMAL RESCUE RANCH,Monica,maral@jamesonrescueranch.org,CA,D20,"JAMESON HUMANE IS AN IMPACT-DRIVEN NONPROFIT ORGANIZATION WHOSE PROGRAM MODEL INCLUDES A VARIETY OF NOVEL SOLUTIONS AND APPROACHES TO CREATE A TRULY UNIQUE ANIMAL WELFARE ORGANIZATION THAT IS UNLIKE ANY ANIMAL RESCUE OR SANCTUARY. JAMESON HUMANE PROVIDES REGIONAL ASSISTANCE IN THE FOLLOWING AREAS TRANSITIONAL AND PERMANENT SHELTER, ADOPTION AND RESCUE SERVICES FOR CAMPANION AND FARMED ANIMALS, HUMANE EDUCATION, DISASTER PREPAREDNESS AND RESPONSE, AND COMMUNITY ASSISTANCE OF FOOD, VETERINARY CARE, SPAY/NEUTER AND OTHER SERVICES. EVERY DAY JAMESON'S WORK IS GUIDED BY HOW ANIMALS, HUMANS, AND OUR PLANET ARE ALL INEXTRICABLY CONNECTED.",A,820,75,Animal-Related
237267769,Pet Orphans of Southern California,Suzanne,vetclinic@petorphans.org,CA,D200,"IN ADDITION TO RESCUE AND ADOPTION, PET ORPHANS PROVIDES A WIDE RANGE OF SERVICES INCLUDING EDUCATION, MEDICAL/FINANCIAL, SPAY/NEUTER, AND TRAINING ASSISTANCE.",A,820,75,Animal-Related
942846388,NEVADA CITY COMMUNITY BROADCAST GROUP,Brian,nnfl2003commish@aol.com,CA,A33Z,"KVMR PROVIDES COMMUNITY MEMBERS OPPORTUNITIES TO CONNECT THROUGH THE DEVELOPMENT AND PRODUCTION OF MUSIC, NEWS, AND PUBLIC AFFAIRS PROGRAMS THAT ENTERTAIN, INFORM AND EDUCATE.",A,1336,75,Arts & Culture
941748527,Santa Rosa Players DBA,Dorothy,boxoffice@6thstreetplayhouse.com,CA,A650,"6th Street Playhouse is a performing arts theater that engages, entertains and inspires a diverse community. We do this by consistently producing plays, musicals, and educational programs that are of the highest quality and reach the broadest possible constituency.",A,1336,75,Arts & Culture
465499118,OASIS TRILINGUAL COMMUNITY SCHOOL INC,Tamara,enroll@oasistrilingualschool.org,CA,B24,"OASIS TRILINGUAL COMMUNITY SCHOOL,INC. IS ORGANIZED UNDER THE CALIFORNIA NONPROFIT BENEFIT CORPORATION LAW FOR PUBLIC AND CHARITABLE PURPOSES. THE SPECIFIC PURPOSE OF THE CORPORATION IS CREATE AND OPERATE A CO-EDUCATIONAL DAY SCHOOL, DEDICATED TO PROVIDING ITS STUDENTS WITH AN EXCELLENT ACADEMIC EDUCATION CONDUCTED IN MULTIPLE LANGUAGES, INCLUDING, BUT NOT LIMITED TO, ENGLISH, MANDARIN CHINESE AND SPANISH.",A,2322,75,Education
237222541,YUBA COMMUNITY COLLEGE DISTRICT,Wayne,foundation@yccd.edu,CA,N40,TO SEEK CHARITABLE CONTRIBUTIONS AND MANAGE FOUNDATION FUNDS FOR THE BETTERMENT OF STUDENT-CENTERED PROGRAMS AND SERVICES OF WOODLAND COMMUNITY COLLEGE AND YUBA COLLEGE.,A,490,75,Recreation
954631906,LIFESAVERS INC,Shannon,lifesavers@wildhorserescue.org,CA,D200,"Lifesavers mission is prevent American mustangs and domestic horses from being abused, adandoned, neglected and ultimately sent to slaughter through rescue, adoption, sanctuary, education and horse inspired growth and healing programs.",A,820,75,Animal-Related
451611066,The Representation Project,Caroline,debra@therepproject.com,CA,R24,"The Representation Project uses storytelling to challenge harmful gender stereotypes and norms, shift attitudes and behavior, and transform culture. Were committed to building a thriving and inclusive society through films, education, and social activism.",A,525,75,Civil Rights
