prospect_ein,contact_email,template_used,passed,checks,subject_line
954580280,contactus@esperanzaservices.com,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for housing organizations in California
274524093,info@shecan.global,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in California
043573528,info@mwjds.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Massachusetts
823476248,info@BridgeAlliance.us,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Florida
844199825,connect@renovasandiego.com,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in California
251239928,hr@fscas.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for crime/legal organizations in Pennsylvania
320497815,office@maranatha.camp,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=55 | OK: subject present,Private funders for recreation organizations in Alabama
237338790,alphillips068@wilkescc.edu,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in North Carolina
742490203,info@peakparent.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in Colorado
753166533,info@thesummitprep.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Missouri
853901332,info@jfsneny.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in South Carolina
571003750,csca@centralsc.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=55 | OK: subject present,Private funders for community improvement organizations in South Carolina
351884264,Info@ErinsHouse.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for youth development organizations in Indiana
860477969,boxoffice@herbergertheater.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in Arizona
382526523,NODA@UMN.EDU,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Minnesota
392035142,info@uwhillel.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for religion organizations in Wisconsin
132573905,office@morningsidemontessori.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in New York
251740134,megan@workerorganizing.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for international organizations in Pennsylvania
237432481,Administration@AcruxKC.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for health organizations in Missouri
841149609,office@thedairy.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in Colorado
581820875,amara@21stcenturyleaders.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Georgia
851248085,info@bethelshelters.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in South Carolina
843627777,og@reedcharitablefoundation.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for education organizations in Florida
232836787,info@art-reach.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in Pennsylvania
222479696,info@rockportmusic.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for arts & culture organizations in Massachusetts
812285433,info@jumpstartautomotive.org,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=75 | OK: subject present,Private funders for human services organizations in Georgia
570639395,info@visitgeorge.com,A,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: count=55 | OK: subject present,Private funders for community improvement organizations in South Carolina
750881589,info@jadallas.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Junior Achievement of Dallas INC
581640904,Info@safetransylvania.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Shelter Available for Family
591950683,Tickets@TheatreWinterHaven.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Theatre Winter Haven INC
824805883,info@fcactexas.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Foster Care Advocacy Center
680248670,info@crdc.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Community Revitalization &
222547057,office@lexpc.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Lexington Playcare Center Inc
844629738,info@strategiccommunitypartners.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Strategic Community Partners INC
271174765,info@nakunion.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Nak Union INC
474322966,info@theburkardschool.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for The Burkard School
010532835,info@safepassage.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Safe Passage
454708248,info@palmbeachmentalhealth.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Center for Trauma Counseling Inc
680477042,contact@friendsoffrontstreet.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Friends of Front Street Shelter
770518937,contact@sundayfriends.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Sunday Friends Foundation
463134601,ContactUs@HealthcareReady.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Healthcare Ready
204120218,hello@gablescinema.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Coral Gables Cinemateque INC
470731254,info@heritageomaha.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Heritage Services
911384261,info@cedarrivermontessori.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Cedar River Montessori School
371277129,info@mmmwater.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Marion Medical Mission
521819200,edfoundation@bcps.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for The Education Foundation of Baltimore
371732501,NHP-foundation@pamedsoc.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for The Foundation of the Pennsylvania
825141973,info@friendstampabay.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Friends of the Children- Tampa Bay INC
113703229,info@familypromisebellcounty.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Family Promise of Bell County INC
752411239,info@abilenecac.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Abilene Arts Alliance
272513071,info@beautychangeslives.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Beauty Changes Lives
463158287,info@saymynamepr.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Trail of Lights Foundation
522007652,training@mcsr.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Men Can Stop Rape
593385360,office@passportcharter.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Passport School INC
481256499,businessoffice@goodsamlivingcenter.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Home Away From Home INC
561947017,info@capefearvalley.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Cape Fear Valley Medical Foundation INC
800304869,info@yerbabuena.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Yerba Buena Community Benefit District
222510734,soi@schoolsoutinc.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for School's Out INC
815292120,info@reimaginingjustice.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Reimagining Justice INC
462458916,admin@polychondritis.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Relapsing Polychondritis Awareness
410877459,student.services@vobs.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Voyageur Outward Bound School
953629939,info@steponeschool.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Step One School
371706813,info@trinitycenterwc.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Trinity Center Walnut Creek
330600577,info@redlandsconservancy.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Redlands Conservancy
873607232,adminkg@adidastfnationals.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Track Nationals Inc
954840800,Service@LifeAcademy.Org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Roundtable Academy
222126370,info@hfcnj.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Hispanic Family Center of Southern
382369885,info@owossoplayers.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Owosso Community Players
680041170,info@habitatsoco.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Habitat for Humanity of Sonoma County
593455949,info@miracleofloveinc.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Miracle of Love INC
752367391,jets@jets-scurry.com,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Jumpstart Enrichment for Tomorrows
251738322,ashields@bethesda1919.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Bethesda Foundation for Children
237076021,bonelink@oif.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Osteogenesis Imperfecta Foundation
112229635,info@parodneckfoundation.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for The Parodneck Foundation for Self-help
272691962,hello@wassaicproject.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for The Wassaic Project INC
861446893,info@rallyaustin.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for Austin Economic Development Corporation
862159959,info@thenorwalkconservatory.org,C,PASS,OK: real name | OK: no broken merges | OK: no em dashes | OK: mission_short present | OK: subject present,Foundation funding for The Norwalk Conservatory of the Arts
