ein,organization_name,contact_first_name,contact_email,state,ntee_code,mission_description,email_quality_tier,foundation_count,display_count,sector_label
270737535,ALABAMA ASSOCIATION FOR JUSTICE,Ginger,alaj@alabamajustice.org,AL,S41,"MAKE SURE ANY PERSON WHO IS INJURED BY THE MISCONDUCT AND NEGLIGENCE OF OTHERS CAN GET JUSTICE IN THE COURTROOM, EVEN WHEN TAKING ON THE MOST POWERFUL INTERESTS; TO ELIMINATE CIVIL JUSTICE RESTRICTIONS; TO ENSURE MEMBERS HAVE THE TOOLS NEEDED TO PROVIDE A LEVEL PLAYING FIELD THROUGH TIMELY, ETHICAL AND EDUCATIONAL PROGRAMS; TO STRENGTHEN THE CIVIL JUSTICE SYSTEM SO THAT DESERVING INDIVIDUALS CAN GET JUSTICE, AND WRONGDOERS CAN BE HELD ACCOUNTABLE; TO STRIVE FOR EQUALITY IN THE ONE ROOM WHERE INDIVIDUALS AND POWERFUL INTERESTS ARE HELD ACCOUNTABLE - THE AMERICAN COURTROOM.",A,66,65,Community Improvement
631035850,LAKESIDE HOSPICE INC,Bill,shoneycutt@lakesidehospice.org,AL,P74Z,"LAKESIDE HOSPICE IS A FAITH-BASED, COMMUNITY-SUPPORTED PROGRAM, COMMITTED TO PROVIDING AND MAINTAINING THE HIGHEST QUALITY OF CARE AND IN PROVIDING CARE TO ANYONE WHO IS TERMINALLY ILL REGARDLESS OF THEIR ABILITY TO PAY. THE GOAL OF LAKESIDE HOSPICE IS THREEFOLD: (1) TO PROVIDE MEDICAL CARE TO ENABLE THE PATIENT TO REMAIN ALERT, COMFORTABLE AND CAPABLE OF PARTICIPATING IN LIFE AS FULLY AS POSSIBLE FOR AS LONG AS POSSIBLE, (2) TO PROVIDE THE PATIENT AND FAMILY WITH AS MUCH PSYCHOLOGICAL, EMOTIONAL, SOCIAL AND SPIRITUAL SUPPORT AS THEY MAY DESIRE OR NEED, AND (3) TO MAINTAIN COMMUNITY INVOLVEMENT AND AWARENESS.",A,217,75,Human Services
630894761,JEFFERSON COUNTY LIBRARY,Lindsy,eswift@bham.lib.al.us,AL,B71B,COORDINATE AND / OR PROVIDE SERVICES FOR MEMBER LIBRARIES TO IMPROVE LIBRARY ACCESS AND SERVICES THROUGHOUT JEFFERSON COUNTY,A,349,75,Education
721374587,ALABAMA CASA NETWORK INC,Jimmy,pams@alabamacasa.org,AL,R200,"THE MISSION OF THE ALABAMA CASA NETWORK, INC. IS TO EQUIP AND EMPOWER CASA PROGRAMS TO ADVOCATE FOR ALL OF ALABAMA'S ABUSED AND NEGLECTED CHILDREN.",A,298,75,Civil Rights
631143875,THE PRINCESS THEATRE,Amy,boxoffice@princesstheatre.org,AL,A61,"TO PRESENT PERFORMING ARTS BENEFITS, PROVIDE A MULTI-PURPOSE RENTAL FACILITY FOR CULTURAL ACTIVITIES, SERVE AS EDUCATION RESOURCE, AND PRESERVE THE THEATRE AND ITS HERITAGE.",A,125,75,Arts & Culture
630288816,BLACK WARRIOR COUNCIL,Patrick,tyrenee.nevith@scouting.org,AL,O410,"THE COUNCIL IS A NOT-FOR-PROFIT ORGANIZATION DEVOTED TO PROMOTING, WITHIN THE TERRITORY COVERED BY THE CHARTER FROM THE TIME IT WAS GRANTED IT BY THE BOY SCOUTS OF AMERICA AND IN ACCORDANCE WITH THE CONGRESSIONAL CHARTER, BYLAWS, AND RULES AND REGULATIONS OF THE BOY SCOUTS OF AMERICA, THE SCOUTING PROGRAM OF PROMOTING THE ABILITY OF BOYS, GIRLS, YOUNG MEN, AND WOMEN TO DO THINGS FOR THEMSELVES AND OTHERS, TRAINING THEM IN SCOUTCRAFT, AND TEACHING THEM PATRIOTISM, COURAGE, SELF-RELIANCE, AND KINDRED VIRTUES, USING THE METHODS WHICH ARE NOW IN COMMON USE BY THE BOY SCOUTS OF AMERICA.",A,89,75,Youth Development
630322672,BROTHER BRYAN MISSION,Jim,jim@bbmission.com,AL,P28Z,"BROTHER BRYAN MISSION IS A CHRIST CENTERED MINISTRY SERVING ECONOMICALLY, EMOTIONALLY, AND SPIRITUALLY IMPOVERISHED INDIVIDUALS IN THE BIRMINGHAM, ALABAMA AREA. THE MISSION'S GOAL IS FOR EACH OF ITS CLIENTS TO RETURN TO THEIR ENVIRONMENT WITH HEALTHY RELATIONSHIPS TO GOD AND MAN.",A,217,75,Human Services
631106040,BETTER BASICS INC,Galvin,ccranford@betterbasics.org,AL,I21Z,BETTER BASICS WORKS TO ERADICATE ILLITERACY AMONG CHILDREN IN CENTRAL ALABAMA. WE DELIVER READING AND MATH INSTRUCTION AND RESOURCES TO EMPOWER THE EDUCATIONALLY VULNERABLE.,A,328,75,Crime/Legal
582005291,Mobile Area Education Foundation Inc,Carolyn,staylor@maef.net,AL,Z99Z,"Develop a coalition of citizens, public officials and other interested parties to formulate and implement plans for improving education in Mobile County.",A,30,30,Unknown
630762151,THE EXPLORE CENTER INC,Robert,mdunklin@exploreum.com,AL,A570,EDUCATION OF YOUTH AND ADULTS IN SCIENCE AND THE ARTS,A,125,75,Arts & Culture
710492205,ARKANSAS ADVOCATES FOR CHILDREN,Rich,connect@aradvocates.org,AR,P010,"ADVOCATING FOR THE DEVELOPMENT AND IMPLEMENTATION OF DATA-DRIVEN PUBLIC POLICY THAT IMPROVES CHILD WELL-BEING IN ARKANSAS, WITH A FOCUS ON ECONOMIC SECURITY, EDUCATION, HEALTH, EARLY CHILDHOOD, CHILD WELFARE, JUVENILE JUSTICE, AND RACIAL EQUITY.",A,117,75,Human Services
710309373,GIRL SCOUTS - DIAMONDS OF ARKANSAS,Dawn,retail@girlscoutsdiamonds.org,AR,Z99,"TO BUILD GIRLS OF COURAGE, CONFIDENCE, AND CHARACTER WHO MAKE THE WORLD A BETTER PLACE. THE COUNCIL STRIVES TO PROVIDE A VARIETY OF GIRL SCOUT PROGRAMS AND EXCITING OPPORTUNITIES THROUGHOUT THE AREA IT SERVES IN ORDER TO ACCOMPLISH THIS MISSION.",A,10,,Unknown
710559008,HENDERSON STATE UNIVERSITY FOUNDATION,Bobbie,hsuinfo@hsu.edu,AR,B99,"THE FOUNDATION'S PURPOSE IS TO RECEIVE, SOLICIT, ACCEPT AND HOLD, ADMINISTER, INVEST AND DISBURSE PROPERTY AND FUNDS FOR THE EDUCATIONAL MISSION OF HENDERSON STATE UNIVERSITY. THE FOUNDATION PROVIDES HSU WITH RESOURCES NOT PROVIDED BY PUBLIC FUNDS.",A,166,75,Education
716058254,ARKANSAS COUNCIL ON ECONOMIC EDUCATION,Kathleen,ginsie@economicsarkansas.org,AR,O53Z,"TO EQUIP PREK-12 SCHOOLS WITH STANDARD-BASED RESOURCES AND PROFESSIONAL DEVELOPMENT TO TEACH ECONOMICS, PERSONAL FINANCE AND THE FREE ENTERPRISE SYSTEM USING PRACTICAL, INNOVATIVE AND INSPIRATIONAL METHODS.",A,51,50,Youth Development
204350824,TEXARKANA SYMPHONY ORCHESTRA INC,Mark,andrewtso@windstream.net,AR,A69,"THE MISSION OF THE TEXARKANA SYMPHONY ORCHESTRA, INC. IS TO PURSUE, FOR ALL, THE TRANSFORMATIVE POWER OF SYMPHONIC MUSIC THROUGH EXCELLENCE IN LIVE PERMORMANCE AND EDUCATION.",A,80,75,Arts & Culture
851830208,SOAR AFTER SCHOOL PROGRAM,Heather,ben@soarafterschool.com,AR,O50,"FILLING THE GAP BETWEEN THE SCHOOL DAY AND WORK DAY. SOAR PROVIDES A SAFE AND AFFORDABLE PLACE FOR KIDS TO LEAN, BUILD HEALTHY RELATIONSHIPS WITH PEERS AND ADULTS, AND PRACTICE PUBLIC SPEAKING AND LEADERSHIP SKILLS THEY WILL NEED FOR FUTURE SUCCESS.",A,51,50,Youth Development
710536689,DISABILITY RIGHTS ARKANSAS INC,Tom,Info@DisabilityRightsAr.org,AR,R23Z,TO VIGOROUSLY ADVOCATE FOR AND ENFORCE THE LEGAL RIGHTS OF PEOPLE WITH DISABILITIES IN ARKANSAS.,A,10,,Civil Rights
821296445,David E Boone Sr Ministries Inc,David,yboone@davidboonministries.org,AR,X20,"A non-profit organization providing transportation, socialization, congregate and/or home delivered meals to senior citizens.",A,79,75,Religion
275069797,Antioch Consolidated Association for,Charolette,dave@lab6.com,AR,P20,"Food distributions to those in need, adequate food maintenance to those in need, and youth development.",A,117,75,Human Services
710621263,NORTHEAST ARKANSAS HUMANE SOCIETY INC,Beth,administrator@neahs.org,AR,D200,EDUCATION OF THE PUBLIC REGARDING PROPER ANIMAL CARE. HOUSING AND ADOPTION ARRANGEMENTS FOR THOUSANDS OF NEGLECTED OR ABUSED ANIMALS. EDUCATION OF THE PUBLIC REGARDING THE NEED TO SPAY AND NEUTER PETS. PROVIDE LOW COST SPAY AND NEUTER SERVICES FOR LOW INCOME FAMILIES.,A,49,50,Animal-Related
237416304,UNIVERSAL HOUSING DEVELOPMENT CORP,Beverly,ewilson@uhdc.net,AR,L21Z,AFFORDABLE HOUSING ASSISTANCE,A,33,35,Housing
465563874,Happy Valley East,Erika,sazevedo@hveast.com,AZ,B20,"Our commitment is to provide children with an outstanding academic foundation. We are dedeicated to significantly improving student achievement in the basic skills of reading, writing and math. We also strive to model and instill in the children entrusted to our care the qualities of self-discipline, exemplary character, leadership skills, patriotism and a strong academic work ethic.",A,489,75,Education
261753089,GOLF FORE AFRICA INC,Kendall,catherine@golfforeafrica.org,AZ,Q33,TO BRING HOPE AND CHANGE TO CHILDREN AND FAMILIES LIVING IN EXTREME POVERTY IN AFRICA BY EMPOWERING THE GOLF COMMUNITY TO SUPPORT TRANSFORMATIONAL PROGRAMS THAT HOLISTICALLY ENHANCE THE FAMILIES WE SERVE.,A,168,75,International
860351566,NORTHLAND FAMILY HELP CENTER,Shaleen,nfhc@northlandfamily.org,AZ,I72Z,"TO PROVIDE A SAFE HAVEN, EDUCATION, ADVOCACY, AND COUNSELING TO PROMOTE AND RESTORE HEALTHY RELATIONSHIPS",A,90,75,Crime/Legal
237276252,HUMANE SOCIETY OF SEDONA INC,Jennifer,anorton@humanesocietyofsedona.org,AZ,D200,"The Organizations mission is to care for and shelter, as well as to provide placement services for, lost and/or abandoned small animals in the Sedona, Arizona area. The Organization also provides a spay/neuter program to control pet overpopulation.",A,255,75,Animal-Related
752990833,MONTESSORI ACADEMY INC,Julianne,office.manager@azma.academy,AZ,B29,CHARTER SCHOOL,A,489,75,Education
311655066,INTERMOUNTAIN FOUNDATION,Greg,u003eiaadmin@ichd.net,AZ,F113,"TO MANAGE REAL AND PERSONAL PROPERTY INCLUDING OVERSIGHT OF ALL CASH AND INVESTEMENTS IN SUPPORT OF INTERMOUNTAIN CENTERS FOR HUMAN DEVELOPMENT, A NONPROFIT HUMAN SERVICES ORGANIZATION.",A,77,75,Mental Health
860204268,TUCSON HOSPITALS MEDICAL EDUCATION PROG,Robert,jennifer.sammons@tmcaz.com,AZ,E60,THMEP ADMINISTERS A GRADUATE PROGRAM FOR RESIDENTS. MEMBER HOSPITALS PARTICIPATE IN THE PROGRAM AND SHARE THE COST OF OPERATION WHICH SUPPORTS THE EXEMPT PURPOSE OF THE PROGRAM OF PROVIDING ENHANCED MEDICAL EDUCATION. THMEP ALSO PROVIDES EDUCATIONAL CONFERENCES TO COMMUNITY PHYSICIANS.,A,308,75,Health
860714588,Esperanza En Escalante Inc,Phyllis,prussell@eeeveterans.org,AZ,L99Z,"To provide the facilities, program and respect to veterans and veteran families that will nurture and support the transition from homelessness to self-sufficiency. This unique 24 month program is envisioned as a bridge from homelessness to employment and/or independent living.",A,108,75,Housing
860909286,Phoenix School of Academic Excellence,Nate,mrjpalma@psae-edu.org,AZ,B25Z,"The Schools mission is to promote the academic, occupational, and personal life skills of all students based on community collaboration, parental involvement, staff commitment.",A,489,75,Education
821453897,A PLUS CHARTER SCHOOLS,Lauren,districtoffice@aplusaz.org,AZ,B29,"AN ARIZONA CHARTER SCHOOL THAT EMPOWERS STUDENTS IN REACHING THEIR GREATEST POTENTIAL BY BECOMING RESPONSIBLE INDIVIDUALS OF CHARACTER AND EXCELLENCE, ENGAGED COMMUNITY MEMBERS, AND LIFELONG LEARNERS IN AN EVER-CHANGING SOCIETY.",A,489,75,Education
860782865,Southeastern Arizona Community Unique,Stephanie,contactus@seacus.org,AZ,E92,"To provide services to the elderly and disabled in the form of congregate and home delivered meals, housekeeping services, in-home nursing care, home health aides, and other services.",A,308,75,Health
454555884,Firm Foundation Youth Homes Inc,Andy,hello@firmfoundationaz.org,AZ,O50,We are a community of family-centered homes for Arizona's foster children where the staff and the model of care work to repair the negative effects of a child's past and where the community at large is given the opportunities to infuse their strengths and blessings into the less fortunate.,A,119,75,Youth Development
742385187,NORTHLAND HOSPICE,Katherine,lgracia@northlandhospice.org,AZ,P74Z,"WE ARE A TEAM OF PROFESSIONALS STRIVING TO PREPARE OUR PATIENTS AND FAMILIES FOR THE END OF LIFE EXPERIENCE. WE SUPPORT THE PATIENT, FAMILY, AND FRIENDS IN FACING CHALLENGES OF A LIFE LIMITING ILLNESS BY OFFERING PHYSICAL, EMOTIONAL, AND SPIRITUAL SUPPORT AND COMFORT.",A,356,75,Human Services
020651198,ARIZONANS FOR CHILDREN INC,Kaye,nikki@arizonansforchildren.org,AZ,P40,"ARIZONANS FOR CHILDREN, INC. EXISTS TO FACILIATE OPPORTUNITIES AND PROVIDE EFFECTIVE SOLUTIONS TO IMPROVE AND STABILIZE THE FRAGILE LIVES OF FOSTER CHILDREN",A,356,75,Human Services
860182197,SHEET METAL AND AIR COND TRADES INDUSTRY,Carol,smacna@smacna-az.org,AZ,S41,INDUSTRY PROMOTION & EDUCATION,A,78,75,Community Improvement
202581623,PAPPAS KIDS SCHOOLHOUSE FOUNDATION INC,Al,Daynas@pappaskidssf.org,AZ,B82,EDUCATIONAL ASSISTANCE ASSIST WITH THE EDUCATIONAL NEEDS OF CHILDREN FROM HOMELESS FAMILIES.ALSO PROVIDES SCHOLARSHIPS TO CHILDREN OF HOMELESS PARENTS,A,489,75,Education
860669456,WIYN CONSORTIUM INC,Jayadev,wiyn-contact@noirlab.edu,AZ,U31C,TO ADVANCE ASTRONOMICAL RESEARCH AND EDUCATION BY CONSTRUCTING AND OPERATING THE WIYN OBSERVATORY FOR THE PURPOSE OF ALLOWING THE SCIENTISTS OF THE MEMBER PARTIES TO OBTAIN OBSERVING TIME.,A,13,,Science
860563315,THEATER WORKS INC,Catherine,boxoffice@theaterworks.org,AZ,A65Z,"WE PROVIDE OPPORTUNITIES FOR CHILDREN, PATRONS, AND ARTISTS TO EXPERIENCE THEATER THAT INSPIRES, ENRICHES, AND ENLIGHTENS THROUGH THE EXPERIENCE OF THE PERFORMING ARTS. OUR VISION IS TO BE A SIGNIFICANT CULTURAL RESOURCE FOR PEORIA AND THE WEST VALLEY, IMPROVING THE QUALITY OF LIFE THROUGH THE EXPRESSION AND EXPERIENCE OF THE PERFORMING ARTS.",A,219,75,Arts & Culture
710890534,FAMILY INVOLVEMENT CENTER INC,Jane,erin@familyinvolvementcenter.org,AZ,P40,SEE SCHEDULE O,A,356,75,Human Services
473027793,ARIZONA PRIVATE SCHOOL TUITION,Michael,Info@APSTO.org,AZ,B82,PROVIDE SCHOLARSHIPS FOR K-12 TO ATTEND PRIVATE SCHOOLS.,A,489,75,Education
860960036,Cornerstone Mission Project INC,Lisa,cornerstonemissionaz@yahoo.com,AZ,P29,Temporary housing & assistance to homeless,A,356,75,Human Services
953560037,THE MILTON H ERICKSON FOUNDATION INC,Jeffrey,support@erickson-foundation.org,AZ,F800,"THE ORGANIZATION IS DEDICATED TO PROMOTING AND ADVANCING THE CONTRIBUTIONS MADE TO THE HEALTH SCIENCES BY THE LATE MILTON H. ERICKSON, M.D., THROUGH TRAINING MENTAL HEALTH AND HEALTH PROFESSIONALS WORLD-WIDE THROUGH SEMINARS AND MAINTAINING AN ARCHIVE.",A,77,75,Mental Health
860211414,COCHISE COLLEGE FOUNDATION,Denise,advising@cochise.edu,AZ,B41,"THE COCHISE COLLEGE FOUNDATION PROMOTES STUDENT SUCCESS THROUGH SCHOLARSHIPS, FACILITIES DEVELOPMENT, AND PROGRAM SUPPORT. FOR THE FISCAL YEAR ENDING 6/30/2024 THERE WERE 976 SCHOLARSHIP AND 1 PROGRAM SUPPORT RECIPIENTS RECEIVING A TOTAL OF $9,807,169.",A,489,75,Education
860483792,RONALD MCDONALD HOUSE CHARITIES OF,Kerry,Photo-BlogPH-4@2x-rak106hb8l8orky0nnjcqngwhic6nk5l61cze7oz3s.webp,AZ,P20Z,MAINTAINING AND OPERATING ONE OR MORE FACILITIES IN THE VALLEY TO PROVIDE TEMPORARY HOUSING FOR SERIOUSLY ILL CHILDREN AND THEIR FAMILIES WHILE THE CHILDREN ARE RECEIVING TREATMENT AT A NEARBY HOSPITAL.,A,356,75,Human Services
204921369,FLAGSTAFF SHELTER SERVICES INC,Anne,hello@flagshelter.org,AZ,L41,Flagstaff Shelter Services saves and changes the lives of homeless individuals by offering them shelter and pathways into lives of dignity that benefit the community.,A,108,75,Housing
860477969,PHOENIX PERFORMING ARTS CENTER INC,Laurene,boxoffice@herbergertheater.org,AZ,A610,"WE ARE ARIZONA'S CENTER STAGE, ENGAGING THE COMMUNITY THROUGH DIVERSE EXPERIENCES THAT IGNITE EMOTION, STIMULATE CONVERSATION, AND INSPIRE CONNECTIONS WITH THE ARTS.",A,219,75,Arts & Culture
474784379,WOMENS HEALTH INNOVATIONS OF ARIZONA,Michelle,hello@whiarizona.com,AZ,P50,WHI OF ARIZONA Brings a team of professional that are dedicated to changing the dialogue about perinatal mood disorders and helping women and families that need support that have nowhere else to run.,A,356,75,Human Services
860972675,MAGGIE'S PLACE INC,Laura,email@maggiesplace.org,AZ,P450,"MAGGIE'S PLACE PROVIDES SAFE HOUSING AND A NURTURING COMMUNITY FOR HOMELESS PREGNANT WOMEN, EMPOWERING THEM TO THRIVE THROUGHOUT THEIR LIFETIME.",A,356,75,Human Services
870816107,New Path Couples Therapy Inc,Harry,clientcare@newpathfamily.com,CA,P46,Our mission is to connect couples to valuable resources that foster growth empathy and deeper connection in their relationships.,A,1655,75,Human Services
844054436,ECOLE CLAIRE FONTAINE,Joelle,bonjour@laclairefontaine.org,CA,A25,"OUR PHILOSOPHY HONORS THE INNATE WISDOM OF CHILDREN, NURTURING THEIR CONFIDENCE AND DIGNITY. OUR MISSION CULTIVATES THEIR BLOSSOMING NOURISHING BODY WITH ORGANIC FOOD & PLAY, MIND TO HEIGHTEN THE CAPACITY TO THINK & QUESTION, AND SOUL WITH KINDNESS, PLACING A PREMIUM ON CHILDREN'S HAPPINESS.",A,1336,75,Arts & Culture
204251986,Del Sol School Inc,Robert,dss@delsolschool.com,CA,P33,"DEL SOL SCHOOL IS A NON-PROFIT EDUCATION CORPORATION WITH LICENSED CHILDCARE FOR STAFF ON SITE, PRIVATE SCHOOL, SUMMER SCHOOL AND CAMP PROGRAMS. DEL SOL SCHOOL WORKS COLLABORATIVELY WITH FAMILIES TO PROVIDE QUALITY EDUCATIONAL PROGRAMS AND DEVELOP ACTIVE LEARNERS.",A,1655,75,Human Services
272352500,GENTE ORGANIZADA,Jesus,jsanchez@genteorganizada.org,CA,B99,"A COMMUNITY-LED SOCIAL ACTION NON-PROFIT ORGANIZATION BASED IN POMONA WHOSE MISSION IS TO BRING TOGETHER GENERATIONS TO ACCESS, BUILD, AND WIELD THEIR COLLECTIVE POWER TO ACHIEVE EDUCATIONAL, ECONOMIC, AND SOCIAL JUSTICE IN OUR COMMUNITIES.",A,2322,75,Education
942372185,Kala Art Institute,Ellen,ellen@kala.org,CA,A20,"Kala Art Institute's mission is to help artists sustain their creative work over time through its Artist-in-Residence and Fellowship Programs, and to engage the community through exhibitions, public programs and education.",A,1336,75,Arts & Culture
952872549,HELP OF OJAI INC,Jayn,mariad@helpofojai.org,CA,P52Z,"Help of Ojai's (the Organization) mission is to combine community and individual resources to respond to the identified, unmet basic human needs of the Ojai Valley residents. The Organization is dedicated to assisting Ojai Valley citizens through various programs, including Home Delivered Meals, hot noon congregate meal, various supportive services and local travel. In addition, the Organization runs the local homeless service center and low-income assistance program. Help of Ojai's primary goal is to meet basic needs with 65% of its efforts being targeted at providing food, shelter and access to medical care. On the other hand, 20%, 11% and 4% of Help of Ojai's efforts are targeted at providing case management, support services and activities-based programs, respectively.",A,1655,75,Human Services
954571388,South Central Los Angeles Ministry Project Inc,Diana,social@southcentrallamp.org,CA,P60,"Our Mission is to provide programs that empower women and their families to reach their full potential in a supportive, nurturing environment through education, building self-esteem, and strengthening community relationships.",A,1655,75,Human Services
953221061,OPEN PATHS COUNSELING CENTER,Sierra,inquiry@openpaths.org,CA,F80Z,OPEN PATHS COUNSELING CENTER'S MISSION IS TO MEET THE EVOLVING MENTAL HEALTH NEEDS OF THE COMMUNITY THROUGH QUALITY COUNSELING FOR INDIVIDUALS AND FAMILIES AT AFFORDABLE FEES; FREE THERAPY PROGRAMS FOR AT-RISK CHILDREN AND YOUTH IN LOCAL SCHOOLS; AND A HIGHLY-RESPECTED THERAPIST TRAINING PROGRAM.,A,479,75,Mental Health
770518231,COASTLINE CHRISTIAN ACADEMY,Mary,principal@coastlinechristianacademy.com,CA,B24,"IT IS OUR MISSION TO HELP BELIEVING PARENTS RAISE THEIR CHILDREN IN THE ""NUTURE AND ADMONITION OF THE LORD"" BY TRAINING EACH STUDENT IN THE KNOWLEDGE OF GOD AND SCRIPTURAL WAY OF LIFE, COUPLED WITH THE HIGHEST STANDARDS OF ACADEMIC INSTRUCTION.",A,2322,75,Education
953385830,Fallbrook Child Development Center Inc,Katie,irojas@fallbrookcdc.org,CA,P330,"We provide quality early childhood education and day care for children ages one to five years. We strive to promote each childs intellectual, emotional, social, and physical development in preparation for kindergarten.",A,1655,75,Human Services
952465881,CALIFORNIA ASSOCIATION OF INDEPENDENT,Deborah,cais@caisca.org,CA,B56Z,"THE CALIFORNIA ASSOCIATION OF INDEPENDENT SCHOOLS ESTABLISHES AMBITIOUS EDUCATIONAL STANDARDS, FOSTERS RESPECT FOR THE DIVERSITY AND DIGNITY OF HUMANITY, AND PROMOTES COLLABORATION AND SOCIAL RESPONSIBILITY. THE ASSOCIATION SUPPORTS AND CHALLENGES ITS SCHOOLS THROUGH AN INNOVATIVE ACCREDITATION PROGRAM THAT PROVOKES DEEP REFLECTION, ANALYSIS, AND INSTITUTIONAL COMMITTMENT TO ACTION, AS WELL AS THROUGH THE OFFERING OF PROFESSIONAL DEVELOPMENT, RELEVANT RESEARCH, AND INFORMED COUNSEL TO THE HEADS AND TRUSTEES WHO ENDEAVOR TO LEAD THOSE SCHOOLS EFFECTIVELY.STRENGTHENING SCHOOLS SINCE ITS FOUNDING IN 1941, CAIS STRIVES TO BRING A COMPELLING AND COMPASSIONATE VOICE TO STATEWIDE AND NATIONAL CONVERSATIONS ABOUT EDUCATION, ADVOCATING FOR THE CONTINUAL IMPROVEMENT OF LEARNING ENVIRONMENTS FOR ALL CHILDREN AND ADOLESCENTS BOTH IN CAIS SCHOOLS AND BEYOND.",A,2322,75,Education
680325165,SONOMA CHARTER SCHOOL,Belli,ross@vom.com,CA,B20,"SONOMA CHARTER SCHOOL SEEKS TO ACHIEVE ACADEMIC EXCELLENCE THROUGH ENGAGED LEARNING IN A SETTING THAT INVOLVES STUDENTS, TEACHERS, AND PARENTS.",A,2322,75,Education
941375807,TAMALPAIS - STRAWBERRY,Corey,rosetsp1@yahoo.com,CA,B21Z,EDUCATION,A,2322,75,Education
