prospect_ein,contact_email,to_email,subdomain,template_used,subject_line,from_address,status,message_id,timestamp,error
320338616,info@sacoo.org,info@sacoo.org,info,A,Private funders for international in Oregon,Alec Kleinman <alec@info.thegrantscout.com>,sent,946f4544-b3a5-4742-86ea-9d6d77f2a6ff,2026-02-18T15:04:39.051316+00:00,
272083749,information@hotelhope.org,information@hotelhope.org,insights,C,Foundation funding for Hotel Hope,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:04:49.627879+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
800147620,info@myhaam.org,info@myhaam.org,mail,A,Private funders for community organizations in Texas,Alec Kleinman <alec@mail.thegrantscout.com>,sent,f8134da7-d24f-442e-9b48-5ad05db30ecb,2026-02-18T15:04:58.924187+00:00,
521720580,welcome@jfnnj.org,welcome@jfnnj.org,outreach,C,Foundation funding for Jewish Home Foundation of North Jersey,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,efb1f527-1ac4-43cf-9f0f-1344fac40515,2026-02-18T15:05:08.290710+00:00,
237094283,rlombardi@elcct.org,rlombardi@elcct.org,team,A,Private funders for environment in Connecticut,Alec Kleinman <alec@team.thegrantscout.com>,sent,23435168-e5b2-42d0-bfb9-7939f86eb376,2026-02-18T15:05:19.623751+00:00,
931111589,adminpdx@portlandhousingcenter.org,adminpdx@portlandhousingcenter.org,ai,A,Private funders for housing in Oregon,Alec Kleinman <alec@ai.thegrantscout.com>,sent,7f48f3e2-74de-4d86-9c8b-c69900093264,2026-02-18T15:05:28.660219+00:00,
911992593,info@gageacademy.org,info@gageacademy.org,connect,A,Private funders for arts and culture in Washington,Alec Kleinman <alec@connect.thegrantscout.com>,sent,0f878672-cea4-46d0-bda3-aa643c8f2282,2026-02-18T15:05:37.956616+00:00,
486149549,hello@littleleadersgck.com,hello@littleleadersgck.com,contact,C,Foundation funding for Community Day Care Center,Alec Kleinman <alec@contact.thegrantscout.com>,sent,0cdc705a-efbe-457c-ac01-fefe5b635ef0,2026-02-18T15:05:48.545837+00:00,
411897642,scott@jenningsclc.org,scott@jenningsclc.org,email,A,Private funders for education in Minnesota,Alec Kleinman <alec@email.thegrantscout.com>,sent,b989ae66-52b4-47e7-a988-2b215c85c222,2026-02-18T15:05:59.223622+00:00,
382807457,kimberly@nmshousing.org,kimberly@nmshousing.org,hello,C,Foundation funding for Northwest Michigan Supportive Housing,Alec Kleinman <alec@hello.thegrantscout.com>,sent,2ded0f38-228d-4c2e-8aaf-a2866e83b6e1,2026-02-18T15:06:10.394745+00:00,
871541942,thewoods@evans-management.com,thewoods@evans-management.com,info,A,Private funders for housing in California,Alec Kleinman <alec@info.thegrantscout.com>,sent,98506903-f344-4077-b349-0e1ae13af9ad,2026-02-18T15:06:19.444341+00:00,
472427287,info@eugenecivicalliance.org,info@eugenecivicalliance.org,insights,A,Private funders for recreation in Oregon,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:06:29.766752+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
480849392,crathke@locustgrovevillage.com,crathke@locustgrovevillage.com,mail,A,Private funders for health in Kansas,Alec Kleinman <alec@mail.thegrantscout.com>,sent,a60fb34c-69ce-40bf-8b18-8ef1d1375391,2026-02-18T15:06:38.999561+00:00,
141789139,checkout@beaconlibrary.org,checkout@beaconlibrary.org,outreach,C,Foundation funding for Howland Public Library,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,d3896846-07df-4bae-9366-fa8c7cda96f0,2026-02-18T15:06:49.737420+00:00,
721282436,lmitchell@wbecsouth.org,lmitchell@wbecsouth.org,team,A,Private funders for civil rights in Louisiana,Alec Kleinman <alec@team.thegrantscout.com>,sent,253c342c-c24e-4840-9683-f9a70403eac0,2026-02-18T15:06:59.057093+00:00,
274553768,info@colossianforum.org,info@colossianforum.org,ai,A,Private funders for religion in Michigan,Alec Kleinman <alec@ai.thegrantscout.com>,sent,db0aec30-0294-4e29-864f-918c9de8d13a,2026-02-18T15:07:09.340596+00:00,
760832248,marketing@nomabid.orgEvents,marketing@nomabid.orgEvents,connect,A,Private funders for community improvement in District of Columbia,Alec Kleinman <alec@connect.thegrantscout.com>,sent,cfcadd05-749d-4b91-8fbf-63be18d3c70f,2026-02-18T15:07:18.510939+00:00,
990241019,office@mauichristian.org,office@mauichristian.org,contact,C,Foundation funding for Doris Todd Christian Academy,Alec Kleinman <alec@contact.thegrantscout.com>,sent,6f8f9e8f-7479-47ac-bbe8-7e027ec357f3,2026-02-18T15:07:28.027621+00:00,
061760636,info@ypie.org,info@ypie.org,email,A,Private funders for education in New York,Alec Kleinman <alec@email.thegrantscout.com>,sent,eb907ea2-b17a-4fde-a6dc-0d84a28a56e1,2026-02-18T15:07:39.109109+00:00,
586001278,office@hambidge.org,office@hambidge.org,hello,C,Foundation funding for Hambidge Center for Creative Arts,Alec Kleinman <alec@hello.thegrantscout.com>,sent,f77655d2-8e27-4e56-b8b8-8eb5d0474b1d,2026-02-18T15:07:49.995808+00:00,
540524844,toglesby@ohioffa.org,toglesby@ohioffa.org,info,A,Private funders for youth development in Indiana,Alec Kleinman <alec@info.thegrantscout.com>,sent,48c9264b-f05b-4c65-b1bc-50e27c8195a2,2026-02-18T15:08:01.089036+00:00,
133861648,info@cydnyc.org,info@cydnyc.org,insights,C,Foundation funding for Comprehensive Youth Development,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:08:09.645142+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
833861819,Director@soloncommunityliving.org,Director@soloncommunityliving.org,mail,A,Private funders for housing in Ohio,Alec Kleinman <alec@mail.thegrantscout.com>,sent,214d6d04-e3b4-4091-89e7-47704b527f90,2026-02-18T15:08:18.998264+00:00,
850534394,info@pcea.net,info@pcea.net,outreach,C,Foundation funding for Printed Circuit Engineering Association,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,a6a4f1e9-2f43-49c8-a9ea-6412260318b3,2026-02-18T15:08:28.495096+00:00,
208675318,rlouisxvi@communityrightfulcenter.org,rlouisxvi@communityrightfulcenter.org,team,A,Private funders for human services in Florida,Alec Kleinman <alec@team.thegrantscout.com>,sent,eabf52aa-4001-4956-a235-6b0d01346c3c,2026-02-18T15:08:37.581473+00:00,
911852210,Gayle.peoplestransit@midconetwork.com,Gayle.peoplestransit@midconetwork.com,ai,C,Foundation funding for People's Transit,Alec Kleinman <alec@ai.thegrantscout.com>,sent,2877c805-a9a0-4f34-8656-142b7eb3fd2c,2026-02-18T15:08:47.654352+00:00,
630288816,tyrenee.nevith@scouting.org,tyrenee.nevith@scouting.org,connect,A,Private funders for youth development in Alabama,Alec Kleinman <alec@connect.thegrantscout.com>,sent,09904c23-6f81-4951-8fcb-9e8f2d662d8b,2026-02-18T15:08:58.954676+00:00,
821296445,yboone@davidboonministries.org,yboone@davidboonministries.org,contact,A,Private funders for religion in Arkansas,Alec Kleinman <alec@contact.thegrantscout.com>,sent,77efc747-23d2-4bc0-8676-520a8ab8d41b,2026-02-18T15:09:09.751238+00:00,
810365511,vrowlison@deapmt.org,vrowlison@deapmt.org,email,A,Private funders for human services in Montana,Alec Kleinman <alec@email.thegrantscout.com>,sent,d54f8bce-23d6-42bf-9e26-ce28bd592dd2,2026-02-18T15:09:20.050742+00:00,
521280683,hotline@capcc.org,hotline@capcc.org,hello,A,Private funders for mental health in Maryland,Alec Kleinman <alec@hello.thegrantscout.com>,sent,1e368634-4ee7-41e3-a607-19dec07d0450,2026-02-18T15:09:29.327721+00:00,
260306309,info@medicalmentor.org,info@medicalmentor.org,info,A,Private funders for education in New York,Alec Kleinman <alec@info.thegrantscout.com>,sent,57b8581a-110c-4495-ab80-bd84de34ff3b,2026-02-18T15:09:39.952734+00:00,
261240327,operations@thrivingfamiliesalliance.org,operations@thrivingfamiliesalliance.org,insights,C,Foundation funding for Promise Partners,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:09:49.312137+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
010284906,jsweeney@ycsame.org,jsweeney@ycsame.org,mail,A,Private funders for human services in Maine,Alec Kleinman <alec@mail.thegrantscout.com>,sent,cb3b9087-1cfc-4fc8-8be9-83a12e36e8f0,2026-02-18T15:10:00.210545+00:00,
463432541,info@MVYRADIO.org,info@MVYRADIO.org,outreach,C,Foundation funding for Friends of Mvyradio,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,d8c7a0b8-e52e-4e33-bf65-57d8b2e161af,2026-02-18T15:10:10.925564+00:00,
460325432,intake@c-connections.com,intake@c-connections.com,team,A,Private funders for human services in South Dakota,Alec Kleinman <alec@team.thegrantscout.com>,sent,5bcd7443-3547-410a-9626-3ecf1eca0d14,2026-02-18T15:10:20.849223+00:00,
841403727,wingsaseaglesmin@earthlink.net,wingsaseaglesmin@earthlink.net,ai,C,Foundation funding for Wings As Eagles Ministries,Alec Kleinman <alec@ai.thegrantscout.com>,sent,b253aaee-8344-48b0-bf97-508a4b2b0f5f,2026-02-18T15:10:32.785894+00:00,
911216755,frisbe@frisbe.org,frisbe@frisbe.org,connect,A,Private funders for education in Washington,Alec Kleinman <alec@connect.thegrantscout.com>,sent,e9000621-5cfc-4740-bdd1-6a447ce6174e,2026-02-18T15:10:41.255429+00:00,
200105776,info@afa.tc,info@afa.tc,contact,A,Private funders for education in Minnesota,Alec Kleinman <alec@contact.thegrantscout.com>,sent,af74e79d-08fe-474a-9e1b-09944d5c2567,2026-02-18T15:10:50.662647+00:00,
270476510,volunteer@randyshavercancerfund.org,volunteer@randyshavercancerfund.org,email,A,Private funders for medical research in Minnesota,Alec Kleinman <alec@email.thegrantscout.com>,sent,43b27031-4a7b-44b7-9c74-1cc368f08648,2026-02-18T15:11:01.176273+00:00,
237399484,info@ASCCP.org,info@ASCCP.org,hello,C,Foundation funding for The American Society for Colposcopy and Cervical Pathology,Alec Kleinman <alec@hello.thegrantscout.com>,sent,66326d72-a505-4917-94bf-5bffa16e6352,2026-02-18T15:11:12.792119+00:00,
203592795,director@rchealthfoundation.org,director@rchealthfoundation.org,info,A,Private funders for health in Virginia,Alec Kleinman <alec@info.thegrantscout.com>,sent,5e2cdd0c-6f03-4af3-b658-00cdf06554d5,2026-02-18T15:11:21.583955+00:00,
237037310,info@tucsonbotanical.org,info@tucsonbotanical.org,insights,A,Private funders for environment in Arizona,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:11:31.700241+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
363636933,information@wellnesshouse.org,information@wellnesshouse.org,mail,C,Foundation funding for Wellness House,Alec Kleinman <alec@mail.thegrantscout.com>,sent,431f9edb-30e1-4cae-bb70-4932e8964256,2026-02-18T15:11:43.908177+00:00,
811354444,info@hishandsonafrica.org,info@hishandsonafrica.org,outreach,A,Private funders for religion in California,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,1c6dfc9a-3e1b-463d-a6fd-26f48b661201,2026-02-18T15:11:53.088613+00:00,
431304714,foundation@jkv.org,foundation@jkv.org,team,C,Foundation funding for The John Knox Village Foundation,Alec Kleinman <alec@team.thegrantscout.com>,sent,251b4fe2-30f9-47fb-96c5-e26cf9be1da7,2026-02-18T15:12:03.492730+00:00,
541041973,info@vee.org,info@vee.org,ai,A,Private funders for environment in Virginia,Alec Kleinman <alec@ai.thegrantscout.com>,sent,8355cfc8-9ca1-488f-ad3e-b32f28185a00,2026-02-18T15:12:12.923233+00:00,
752426687,support@ATCAS.myliaison.com,support@ATCAS.myliaison.com,connect,C,Foundation funding for Commission on Accreditation of Athletic,Alec Kleinman <alec@connect.thegrantscout.com>,sent,a32d142c-1228-4973-acb0-c5b7147c6376,2026-02-18T15:12:24.444769+00:00,
042621656,info@naturesclassroom.org,info@naturesclassroom.org,contact,A,Private funders for environment in Massachusetts,Alec Kleinman <alec@contact.thegrantscout.com>,sent,b7d4b414-4e5c-4223-84e6-0f8b6237b510,2026-02-18T15:12:35.844262+00:00,
363374370,ddismuke@shelter-care.org,ddismuke@shelter-care.org,email,C,Foundation funding for Shelter Care Ministries,Alec Kleinman <alec@email.thegrantscout.com>,sent,e6e5270a-3542-4056-a3b9-876d9772ba05,2026-02-18T15:12:47.799654+00:00,
204350824,andrewtso@windstream.net,andrewtso@windstream.net,hello,A,Private funders for arts and culture in Arkansas,Alec Kleinman <alec@hello.thegrantscout.com>,sent,3c4fe802-f726-44e9-859c-7b9148ce099d,2026-02-18T15:12:56.103871+00:00,
455586998,admin@mywcms.org,admin@mywcms.org,info,A,Private funders for health in North Carolina,Alec Kleinman <alec@info.thegrantscout.com>,sent,d9e06234-f595-43f0-a5bf-95a92606a93a,2026-02-18T15:13:08.027867+00:00,
953385830,irojas@fallbrookcdc.org,irojas@fallbrookcdc.org,insights,A,Private funders for human services in California,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:13:16.811746+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
391133513,events@mmoca.org,events@mmoca.org,mail,C,Foundation funding for Madison Museum of Contemporary Art,Alec Kleinman <alec@mail.thegrantscout.com>,sent,ea1c3579-84cd-43f7-b887-aa2fdb926cb8,2026-02-18T15:13:26.657689+00:00,
383042396,info@cac-ottawa.org,info@cac-ottawa.org,outreach,A,Private funders for human services in Michigan,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,5cb4b631-cb34-42d0-a6fa-613f5d779b65,2026-02-18T15:13:36.725869+00:00,
650016849,Membership@nays.org,Membership@nays.org,team,C,Foundation funding for Jupiter Tequesta Athletic Association I,Alec Kleinman <alec@team.thegrantscout.com>,sent,2a46e1a4-78f3-44cd-a5c0-5d992c5bc4ac,2026-02-18T15:13:47.576081+00:00,
521332737,info@believeintomorrow.org,info@believeintomorrow.org,ai,A,Private funders for health in Maryland,Alec Kleinman <alec@ai.thegrantscout.com>,sent,7079481a-9e54-42f3-b663-acbb0ab0760e,2026-02-18T15:13:58.000298+00:00,
561839309,info@carolinaadoption.org,info@carolinaadoption.org,connect,C,Foundation funding for Carolina Adoption Services,Alec Kleinman <alec@connect.thegrantscout.com>,sent,318af83d-7b62-4bef-96a4-6ec341318436,2026-02-18T15:14:07.061925+00:00,
133311294,info@tadatheater.com,info@tadatheater.com,contact,A,Private funders for arts and culture in New York,Alec Kleinman <alec@contact.thegrantscout.com>,sent,5e7867b9-37e6-47a0-9469-a6b52d2569b7,2026-02-18T15:14:17.374714+00:00,
741819910,info@pvastx.org,info@pvastx.org,email,A,Private funders for animal welfare in Texas,Alec Kleinman <alec@email.thegrantscout.com>,sent,a7d27e16-41f0-434e-a2b7-a8425c55e2f9,2026-02-18T15:14:28.687944+00:00,
840776736,Info@ccballet.org,Info@ccballet.org,hello,A,Private funders for arts and culture in Colorado,Alec Kleinman <alec@hello.thegrantscout.com>,sent,096f6a10-84ef-4176-8a97-0f5680ce3027,2026-02-18T15:14:40.347877+00:00,
874389463,info@coastalgatewayhc.org,info@coastalgatewayhc.org,info,C,Foundation funding for Coastal Gateway Health Center,Alec Kleinman <alec@info.thegrantscout.com>,sent,7789455e-2bcf-43c5-9690-433f403e1f04,2026-02-18T15:14:49.327894+00:00,
851230597,khoover@mhanet.org,khoover@mhanet.org,insights,A,Private funders for health in Mississippi,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:14:59.626963+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
260833850,info@Bayoudistrictfoundation.com,info@Bayoudistrictfoundation.com,mail,C,Foundation funding for Bayou District Foundation,Alec Kleinman <alec@mail.thegrantscout.com>,sent,d782c562-8f80-466d-92aa-aec2a330614b,2026-02-18T15:15:08.976766+00:00,
351445497,admin@hcseniors.org,admin@hcseniors.org,outreach,A,Private funders for human services in Indiana,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,22f421e0-632e-481c-b554-c44bed9d43d4,2026-02-18T15:15:18.926216+00:00,
202136431,ADMIN@theshalomprojectnc.org,ADMIN@theshalomprojectnc.org,team,C,Foundation funding for The Shalom Project,Alec Kleinman <alec@team.thegrantscout.com>,sent,f1e4c49f-faf9-4e6e-b9b9-d27658fd3870,2026-02-18T15:15:30.487374+00:00,
912020506,info@highlineschoolsfoundation.org,info@highlineschoolsfoundation.org,ai,A,Private funders for philanthropy in Washington,Alec Kleinman <alec@ai.thegrantscout.com>,sent,f3d95ec3-4175-448b-8e30-f097d63a3b76,2026-02-18T15:15:41.548539+00:00,
562500062,info@moabcharterschool.org,info@moabcharterschool.org,connect,C,Foundation funding for Moab Charter School,Alec Kleinman <alec@connect.thegrantscout.com>,sent,abe9ebd0-0ba8-4f76-8643-ff4382fdb43e,2026-02-18T15:15:51.080494+00:00,
770593658,info@istation.org,info@istation.org,contact,A,Private funders for human services in Michigan,Alec Kleinman <alec@contact.thegrantscout.com>,sent,cbfa2534-b7c1-4307-8171-bd5b77620458,2026-02-18T15:16:00.450786+00:00,
381539997,info@mi4hfdtn.org,info@mi4hfdtn.org,email,C,Foundation funding for Michigan 4-h Foundation,Alec Kleinman <alec@email.thegrantscout.com>,sent,ffa6838c-cdd9-444e-9208-9dc482df5132,2026-02-18T15:16:09.637353+00:00,
350876341,the-league@the-league.org,the-league@the-league.org,hello,A,Private funders for health in Indiana,Alec Kleinman <alec@hello.thegrantscout.com>,sent,8d0e517a-cee2-43db-a401-f0739156dfe1,2026-02-18T15:16:21.767513+00:00,
300437443,info@hopeclubhouse.org,info@hopeclubhouse.org,info,C,Foundation funding for Hope Clubhouse of Southwest Fl,Alec Kleinman <alec@info.thegrantscout.com>,sent,b561eaab-d924-4796-b781-4027153c4a9d,2026-02-18T15:16:32.573847+00:00,
237420685,socialmedia@dallaspeguins.com,socialmedia@dallaspeguins.com,insights,A,Private funders for recreation in Texas,Alec Kleinman <alec@insights.thegrantscout.com>,error,,2026-02-18T15:16:44.347928+00:00,"The insights.thegrantscout.com domain is not verified. Please, add and verify your domain on https://resend.com/domains"
112444833,LOMS_map_1@2x.svg,LOMS_map_1@2x.svg,mail,A,Private funders for arts and culture in New York,Alec Kleinman <alec@mail.thegrantscout.com>,sent,5f9e6794-78aa-4fbb-a9d1-eb15ea008235,2026-02-18T15:16:53.354995+00:00,
611276558,info@bethanyhouseinc.org,info@bethanyhouseinc.org,outreach,A,Private funders for human services in Kentucky,Alec Kleinman <alec@outreach.thegrantscout.com>,sent,d0747032-11b7-473f-8503-b3acbf99dfbe,2026-02-18T15:17:01.817230+00:00,
030179595,info@saraholbrookcc.org,info@saraholbrookcc.org,team,C,Foundation funding for Sara M Holbrook Community,Alec Kleinman <alec@team.thegrantscout.com>,sent,d4b7181b-590a-4da6-a1ca-91cfe0edcedd,2026-02-18T15:17:10.543491+00:00,
