beta_client_ein,shared_funder,peer_org_name,peer_org_ein,peer_org_state,sector_hint,grant_amount,outreach_angle,source
203472700,THE PFIZER FOUNDATION INC,AMREF HEALTH AFRICA INC,131867411,NY,VACCINE PREVENTABLE ILLNESS - COMMUNITY HEALTH WORKFORCE CAPACITY BUILDING PROJECT,4000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,AMREF HEALTH AFRICA INC,131867411,NY,INFECTIOUS DISEASE STRATEGY,4000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,PATH,911157127,WA,ACCELERATE INTRODUCTION OF INNOVATIVE MATERNAL IMMUNIZATION IN LMICS,3000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,DIRECT RELIEF,951831116,CA,ADDRESS VACCINE PREVENTABLE ILLNESS FOR UNDERSERVED POPULATIONS IN U.S.,2500000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,UNITED STATES ASSOCIATION FOR UNHCR,521662800,DC,UKRAINE CIRSIS HUMANITARIAN RESPONSE,2000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,INTERNATIONAL RESCUE COMMITTEE,135660870,NY,YEAR TWO FOR INFECTIOUS DISEASE PROJECT,1000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,UNITED STATES ASSOCIATION FOR UNHCR,521662800,DC,UKRAINE CIRSIS HUMANITARIAN RESPONSE,1000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
203472700,THE PFIZER FOUNDATION INC,UNITED STATES FUND FOR UNICEF,131760110,NY,UKRAINE CIRSIS HUMANITARIAN RESPONSE,1000000.00,Shared funder: THE PFIZER FOUNDATION INC,F990
061468129,The Hearst Foundation,NAMI National,431201653,VA,Support operations,300000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,Johns Hopkins University,237424444,MD,Support of general operations,300000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,Seattle Opera,910760426,WA,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,New Alternatives for Children,133149298,NY,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,Keep Memory Alive,880515534,NV,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,ArchCare,133896624,NY,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,Rewild,262887967,TX,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,The Santa Fe Opera,850131810,NM,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,The Carnegie Hall Corporation,131923626,NY,Support operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,The Hearst Foundation,Hunter College Foundation Inc,133598671,NY,Support of general operations,250000.00,Shared funder: The Hearst Foundation,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,PRO BONO PARTNERSHIP OF ATLANTA INC,202614676,GA,GENERAL CHARITABLE PURPOSE,17500.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,PRO BONO PARTNERSHIP OF ATLANTA INC,202614676,GA,GENERAL CHARITABLE PURPOSE,17500.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,PRO BONO PARTNERSHIP OF ATLANTA INC,202614676,GA,GENERAL CHARITABLE PURPOSE,17500.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,LAWYERS ALLIANCE FOR NEW YORK,132666432,NY,GENERAL CHARITABLE PURPOSE,15000.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,LAWYERS ALLIANCE FOR NEW YORK,132666432,NY,GENERAL CHARITABLE PURPOSE,15000.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,LAWYERS ALLIANCE FOR NEW YORK,132666432,NY,GENERAL CHARITABLE PURPOSE,15000.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,WORLD CENTRAL KITCHEN,273521132,DC,GENERAL CHARITABLE PURPOSE,10558.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,EQUAL JUSTICE WORKS,521469738,DC,GENERAL CHARITABLE PURPOSE,6809.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,HUMAN RIGHTS FIRST,133116646,NY,GENERAL CHARITABLE PURPOSE,6000.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
061468129,SEYFARTH SHAW CHARITABLE FOUNDATION,HOUSTON FOOD BANK,742181456,TX,GENERAL CHARITABLE PURPOSE,5000.00,Shared funder: SEYFARTH SHAW CHARITABLE FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,BILL HILLARY & CHELSEA CLINTON FOUNDATION,311580204,AR,TO STRENGTHEN THE CAPACITY OF PEOPLE IN THE UNITED STATES AND THROUGHOUT THE WORLD TO MEET THE CHALLENGES OF GLOBAL INTERDEPENDENCE.,175000.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,BONIAD AYENEH INC,202597950,CA,"TO EMPOWER THE SOCIETY WITH EDUCATION, AWARENESS AND PREVENTION REGARDING SOCIAL MALADIES, SUCH AS HUMAN RIGHTS VIOLATIONS, THE DISEASE OF ADDICTION, AIDS, DOMESTIC VIOLENCE AND THE PLIGHT OF STREET CHILDREN AMONG OTHERS, MOSTLY IN THE FARSI SPEAKING COMMUNITIES WORLDWIDE.",52500.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,MINNEAPOLIS FOUNDATION,416029402,MN,WORKS TO PROVIDE EQUITABLE ACCESS AND NEW PATHWAYS FOR SUCCESS FOR UNDERREPRESENTED COMMUNITIES BOTH NATIONALLY AND INTERNATIONALLY. REGISTERED COMPONENT OF THE MINNEAPOLIS FOUNDATION,44000.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,MINNEAPOLIS FOUNDATION,416029402,MN,WORKS TO PROVIDE EQUITABLE ACCESS AND NEW PATHWAYS FOR SUCCESS FOR UNDERREPRESENTED COMMUNITIES BOTH NATIONALLY AND INTERNATIONALLY. REGISTERED COMPONENT OF THE MINNEAPOLIS FOUNDATION,28000.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,BIANCA RAE FOUNDATION,464309544,CA,TO PROVIDE GUIDANCE AND LEADERSHIP TO SOUTHERN CALIFORNIA YOUTH AND A FOCUS ON PROVIDING RESOURCES FOR HOMELESS ANIMALS.,13500.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,BIANCA RAE FOUNDATION,464309544,CA,TO PROVIDE GUIDANCE AND LEADERSHIP TO SOUTHERN CALIFORNIA YOUTH AND A FOCUS ON PROVIDING RESOURCES FOR HOMELESS ANIMALS.,6000.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,BOYS & GIRLS CLUBS OF CHICAGO,362166997,IL,ENABLE ALL YOUG PEOPLE. ESPECIALLY THOSE WHO IN NEED TO REACH THEIR FULL POTENTIAL IN THE GREATER CHICAGO AREA.,2500.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
462730379,THE NIMA TAGHAVI FOUNDATION,BIANCA RAE FOUNDATION,464309544,CA,TO PROVIDE GUIDANCE AND LEADERSHIP TO SOUTHERN CALIFORNIA YOUTH AND A FOCUS ON PROVIDING RESOURCES FOR HOMELESS ANIMALS.,1300.00,Shared funder: THE NIMA TAGHAVI FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,PROJECT HOME,232555950,PA,TRANSITIONAL HOUSING SUPPORT,6078120.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,SHARE FOOD PROGRAM,232360819,PA,SHARE CAPITAL CAMPAIGN,5000000.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,NATIONAL NURSE-LED CARE CONSORTIUM,010560081,PA,BASIC NEEDS FUND FOR HOME VISITED FAMILIES,3119653.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,OPEN SPACE INSTITUTE LAND TRUST INC,133028060,NY,PHASE 2 DRWI LAND PROTECTION CAPITAL RE-GRANT FUND,2702140.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,NATIONAL NURSE-LED CARE CONSORTIUM,010560081,PA,BASIC NEEDS FUND FOR HOME VISITED FAMILIES,2298560.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,NATIONAL WILDLIFE FEDERATION,530204616,VA,ALLIANCE FOR WATERSHED EDUCATION,2150000.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,JOHN BARTRAM ASSOCIATION,237393771,PA,"BUILD A NEW 12,000 SQUARE FOOT ECOSYSTEMS EDUCATION CENTER",2005000.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,PENNSYLVANIA HORTICULTURAL SOCIETY,231352265,PA,GENERAL OPERATING FUNDS TO SUPPORT THE PHILADELPHIA HORTICULTURAL SOCIETY?S COMMUNITY PROGRAMS,2000000.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,REINVESTMENT FUND INC,232331946,PA,PHASE 3: PLANNING AND CAPITAL TO SUPPORT HIGH QUALITY EARLY LEARNING FACILITY EXPANSION,1931260.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,THE WILLIAM PENN FOUNDATION,REINVESTMENT FUND INC,232331946,PA,PHASE 3: PLANNING AND CAPITAL TO SUPPORT HIGH QUALITY EARLY LEARNING FACILITY EXPANSION,1920990.00,Shared funder: THE WILLIAM PENN FOUNDATION,F990
061468129,The Heineman-Russell Family Foundation,Memorial Sloan Kettering Cancer Center,352464610,NY,General Support,600000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Yale University,060646973,CT,Yale Law School Leadership Initiative,250000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Yale University,060646973,CT,Yale Law School Leadership Initiative,250000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Center for Strategic and International Studies,521501082,DC,General Support,100000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Partners for Justice,821202125,NY,General Support,100000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Memorial Sloan Kettering Cancer Center,352464610,NY,General Support,75000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,President and Fellows of Harvard College,042103580,MA,General Support,50000.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Partners for Justice,821202125,NY,General Support,27546.00,Shared funder: The Heineman-Russell Family Foundation,F990
061468129,The Heineman-Russell Family Foundation,Brandeis University,042103552,MA,General Support,15000.00,Shared funder: The Heineman-Russell Family Foundation,F990
942259716,GREEN MOUNTAIN FOUNDATION,SHIN SHIN EDUCATIONAL FOUNDATION,770524748,CA,DONATION,12000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,SHIN SHIN EDUCATIONAL FOUNDATION,770524748,CA,DONATION,10000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,COMMITTEE OF 100,133627542,NY,DONATION,3500.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,GLOBAL GREEN DEVELOPMENT ALLIANCE,841774657,CA,DONATION,3000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,GLOBAL GREEN DEVELOPMENT ALLIANCE,841774657,CA,DONATION,3000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,AARP FOUNDATION,911985066,CA,DONATION,2000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,FALLEN OFFICER FOUNDATION,134282250,CA,DONATION,2000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,MEMORIAL SLOAN KETTERING CANCER CENTER,352464610,NY,DONATION,2000.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,FALLEN OFFICER FOUNDATION,134282250,CA,DONATION,1500.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
942259716,GREEN MOUNTAIN FOUNDATION,COMMITTEE OF 100,133627542,NY,DONATION,1500.00,Shared funder: GREEN MOUNTAIN FOUNDATION,F990
061468129,The Darrell Harvey Family Foundation Inc,BOYS & GIRLS CLUB OF STAMFORD INC,060646911,CT,General & Unrestricted,5000.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ACHIEVEMENT FIRST INC,651203744,CT,General & Unrestricted,2500.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ST GEORGES SCHOOL,050259009,RI,Annual Fund,1925.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ST GEORGES SCHOOL,050259009,RI,General & Unrestricted,1896.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ST GEORGES SCHOOL,050259009,RI,General & Unrestricted,1896.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ST MARKS SCHOOL OF SOUTHBOROUGH INC,042103623,MA,General & Unrestricted,1865.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ST MARKS SCHOOL OF SOUTHBOROUGH INC,042103623,MA,General & Unrestricted,1500.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ST MARKS SCHOOL OF SOUTHBOROUGH INC,042103623,MA,General & Unrestricted,1500.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND INC,060263565,CT,General & Unrestricted,1000.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,The Darrell Harvey Family Foundation Inc,ACHIEVEMENT FIRST INC,651203744,CT,General & Unrestricted,1000.00,Shared funder: The Darrell Harvey Family Foundation Inc,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,SYRACUSE UNIVERSITY,150532081,NY,UNRESTRICTED,105000.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,SYRACUSE UNIVERSITY,150532081,NY,UNRESTRICTED,100000.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,231352685,PA,UNRESTRICTED,75000.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,231352685,PA,UNRESTRICTED,75000.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,NORTHWESTERN UNIVERSITY,362167817,IL,UNRESTRICTED,50360.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,NORTHWESTERN UNIVERSITY,362167817,IL,UNRESTRICTED,26000.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,JEWISH FEDERATION OF GREATER METROWEST NJ,221487222,NJ,UNRESTRICTED,23110.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,JEWISH FEDERATION OF GREATER METROWEST NJ,221487222,NJ,UNRESTRICTED,19061.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,COMMUNITY FOOD BANK OF NEW JERSEY INC,222423882,NJ,UNRESTRICTED,17000.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE PRESENT FAMILY FOUNDATION INC,NEW JERSEY SEEDS INC,223181507,NJ,UNRESTRICTED,10100.00,Shared funder: THE PRESENT FAMILY FOUNDATION INC,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,TALLADEGA COLLEGE,630288870,AL,CREATION OF THE TALLADEGA COLLEGE CYBER SECURITY CENTER,438413.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,TALLADEGA COLLEGE,630288870,AL,CREATION OF THE CYBER SECURITY CENTER,376827.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,CONNECTICUT PUBLIC BROADCASTING INC,060758938,CT,CREATING LATINO EDUCATIONAL PROGRAMMING,150000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,HORIZONS BRIDGEPORT,834544991,CT,SUPPORT THE NOTRE DAME AFFILIATE AND EXPANSION OF THE HIGH SCHOOL PROGRAM,80000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,HORIZONS BRIDGEPORT,834544991,CT,SUPPORT FOR THE NOTRE DAME AFFILIATE,80000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,CONNECTICUT PUBLIC BROADCASTING INC,060758938,CT,EXPANDING THE FELLOWS PROGRAM,80000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,NEW ENGLAND SCIENCE & SAILING FOUNDATION INC,300245251,CT,DEVELOPMENT OF CURRICULAR UNITS,75000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,BUILDING ONE COMMUNITY,275024317,CT,SUPPORTING THE ACADEMIC ENRICHMENT PROGRAM,70000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,BUILDING ONE COMMUNITY,275024317,CT,ACADEMIC ENRICHMENT PROGRAM,70000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
061468129,THE SCRIPPS FAMILY FUND FOR EDUCATION,NEW YORK HISTORICAL SOCIETY,131624124,NY,EDUCATION PROGRAMS,60000.00,Shared funder: THE SCRIPPS FAMILY FUND FOR EDUCATION,F990
202707577,DUKE ENERGY FOUNDATION,AMERICAN ONLINE GIVING FOUNDATION INC,810739440,DE,GRANTS,17088594.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,AMERICAN ONLINE GIVING FOUNDATION INC,810739440,DE,EMPLOYEE MATCHING GIFT DONATIONS,7373977.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,AMERICAN ONLINE GIVING FOUNDATION INC,810739440,DE,EMPLOYEE MATCHING GIFT DONATIONS - PROCESSOR,5366943.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,FOUNDATION FOR THE CAROLINAS,566047886,NC,VIBRANT ECONOMIES,1359000.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,FOUNDATION FOR THE CAROLINAS,566047886,NC,"JUSTICE, EQUITY, & INCLUSION",815000.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,FOUNDATION FOR THE CAROLINAS,566047886,NC,PUBLIC ASSISTANCE PROGRAM - STLF,763000.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,CENTRAL PIEDMONT COMMUNITY COLLEGE FOUNDATION INC,560890420,NC,VIBRANT ECONOMIES,500000.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,AMERICAN ONLINE GIVING FOUNDATION INC,810739440,DE,PUBLIC ASSISTANCE STLF,426682.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,SCHOLARSHIP AMERICA INC,042296967,MN,SCHOLARSHIP,279440.00,Shared funder: DUKE ENERGY FOUNDATION,F990
202707577,DUKE ENERGY FOUNDATION,ECONOMIC DEVELOPMENT PARTNERSHIP OF NORTH CAROLINA INC,464840814,NC,VIBRANT ECONOMIES,250000.00,Shared funder: DUKE ENERGY FOUNDATION,F990
061468129,THE SMART FAMILY FUND,RECIDIVIZ INC,852039256,CA,RECIDIVIZ FUNDING REQUEST 2023,300000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,VOTINGWORKS,832910494,CA,ACCELERATE PATH TO NEW STANDARD,235000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,VOTINGWORKS,832910494,CA,VOTINGWORKS FUNDING REQUEST 2023,200000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,LETS GET READY INC,311698832,NY,LETS GET READY - ONGOING GRANT 2022,100000.00,Shared funder: THE SMART FAMILY FUND,F990
