ein,foundation_name,state,website_url,pct_in_state,median_grant,avg_grant,total_giving_5yr,total_recipients_5yr,grants_in_horizons_cities,horizons_cities_funded,target_grants_count,similar_nonprofits_funded,target_grants_to_similar_orgs,eligibility_status,eligibility_notes,primary_sector,assets
516015638,CRESTLEA FOUNDATION INC,DE,WWW.CRESTLEA.ORG,100.0,19024,21315,4038064,77,22,5,3,47,1,"UNLIKELY","Delaware/SE Chester County PA only; no Horizons affiliate",P,20663449
250965388,FISA FOUNDATION,PA,WWW.FISAFOUNDATION.ORG,96.2,20000,22967,4480794,67,20,4,21,39,8,"POSSIBLE","SW PA; women/girls/disabilities; Horizons Pittsburgh may qualify",P,46217713
830590696,DOGWOOD HEALTH TRUST,NC,WWW.DHT.ORG,97.7,50000,123881,180618147,333,14,8,91,123,17,"UNLIKELY","Western NC 18 counties only; no Horizons affiliate in that region",P,1896083073
592592846,Foundation for a Healthy St Petersburg,FL,www.healthystpete.foundation,94.3,11875,42365,7552333,52,12,2,18,33,8,"UNLIKELY","Pinellas County FL only; no Horizons affiliate there",P,161224435
200097152,THE CAMERON FOUNDATION,VA,WWW.CAMFOUND.ORG,98.0,15000,30677,11037597,56,11,3,40,19,5,"UNLIKELY","Petersburg VA Tri-Cities region; no Horizons affiliate there",A,159832127
141798234,Gerry Foundation Inc,NY,https://upstategiving.com/gerry-foundation,97.5,2428,67318,13150657,22,5,1,0,9,0,"UNLIKELY","Upstate NY/Chautauqua area; no Horizons affiliate there",P,107244998
350882856,BALL BROTHERS FOUNDATION,IN,www.ballfdn.org,99.5,28900,86116,37294554,64,4,1,30,26,5,"UNLIKELY","Muncie/Delaware County IN only; no Horizons affiliate there",B,170691544
943254834,KADIMA FOUNDATION,CA,"",82.1,25000,115746,7116049,13,4,1,5,9,0,"POSSIBLE","SF Bay Area focus; funds youth education and training programs",A,10446467
942826655,THE OAKLAND ATHLETICS COMMUNITY FUND,CA,HTTPS://WWW.MLB.COM/ATHLETICS/COMMUNITY,88.1,5000,10261,1118499,51,3,2,0,18,0,"UNLIKELY","Oakland/Bay Area sports focus; small grants ($5K median)",B,2346790
680168017,SIMPSON PSB FUND,CA,www.simpsonpsbfund.org,96.4,20000,181309,24839341,40,2,1,19,22,2,"NOT ELIGIBLE","Does NOT accept unsolicited proposals; invitation-only funding",B,137487321
770095125,THE FANSLER FOUNDATION,CA,FANSLERFOUNDATION.COM,100.0,33400,47533,5659465,15,0,0,91,16,17,"POSSIBLE","Central CA 6 counties; assists developmentally challenged youth; 91 similar nonprofits",P,22920375
356021003,McMillen Foundation Inc,IN,https://mcmillenfoundationfortwayne.org,97.4,38750,75093,5387855,19,0,0,4,7,0,"UNLIKELY","Fort Wayne IN focus; no Horizons affiliate there",P,28527200
205860939,THE AL STROOBANTS FOUNDATION,VA,https://www.alstroobantsfoundation.org,98.9,15000,27226,4955120,47,0,0,2,12,0,"UNLIKELY","Central VA only (Lynchburg/Amherst/Bedford counties); no Horizons affiliate",P,29774888
161441497,EAST HILL FOUNDATION,NY,WWW.EASTHILLFDN.ORG,99.5,13000,16711,1901494,46,0,0,1,25,0,"UNLIKELY","Erie/Niagara counties Western NY only; no Horizons affiliate there",P,21899486
261098287,Larry Paul Fleschner Charitable,IN,https://www.terrehaute.in.gov,89.5,10000,12681,361075,7,0,0,0,3,0,"UNLIKELY","Terre Haute IN focus; small foundation; no Horizons affiliate",P,2255072
306298041,DON W MILLER SCHOLARSHIP FOUNDATION DTD,CT,https://scholarshiproar.com/daad-scholarships-germany,100.0,56250,53625,214500,0,0,0,4,0,0,"UNLIKELY","Scholarship focus; incorrect website link; very small foundation",S,771101
